50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4e7f6474-b8f2-4bc3-90dc-ea4e3ca2f103,1,,,68329,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,89e9f5ee-a0a7-401b-9eda-5128a7706c6b,2,,,68329,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25946, 'name': 'Andrés Palop Cervera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26017, 'name': 'Francisco Javier Vicente Navarro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26018, 'name': 'Julien Escudé'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 26013, 'name': 'Antonio Puerta Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 20150, 'name': 'Christian Bjørnshøj Poulsen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26015, 'name': 'Renato Dirnei Florencio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 25943, 'name': 'Luís Fabiano Clemente'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 25960, 'name': 'Frédéric Oumar Kanouté'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Sevilla,213,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,57b60ad7-0608-4f3e-bd21-8a9f54204767,3,,,68329,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['48ca1759-519a-4fd2-869a-1bbcfe2f9831'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,48ca1759-519a-4fd2-869a-1bbcfe2f9831,4,,,68329,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['57b60ad7-0608-4f3e-bd21-8a9f54204767'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b6b6633b-2d3a-4512-b966-e3b763745dcd,1946,,,68329,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['4553f96b-3d8e-4fbe-86b5-8e4ccd81b04d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4553f96b-3d8e-4fbe-86b5-8e4ccd81b04d,1947,,,68329,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['b6b6633b-2d3a-4512-b966-e3b763745dcd'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,,0.321769,,,,,,,,,,,,,,,1da40f52-5f86-4b06-8027-a1e3ea1f22c0,5,,"[61.0, 41.0]",68329,0,,,,1.0943289,,Right Foot,,,"[62.6, 44.1]",,Ground Pass,,3.4885528,,,Luís Fabiano Clemente,25943.0,,,,,Kick Off,1,From Kick Off,Frédéric Oumar Kanouté,25960.0,Left Center Forward,2,Sevilla,213,['1c7d81b4-adae-47ab-99f3-d1d0e51dc6d8'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.421,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.661539,,,,,,,,,,,,,,,08700924-9250-4dc0-a3ac-8dee935a4be1,8,,"[63.0, 43.7]",68329,0,,,,-2.7617679,,Right Foot,,,"[37.7, 33.6]",,Ground Pass,,27.241512,,,Julien Escudé,26018.0,,,,,,1,From Kick Off,Luís Fabiano Clemente,25943.0,Right Center Forward,2,Sevilla,213,['de8d67fc-9e6b-4099-86e7-fbe752dfb620'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.823,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,1.936522,,,,,,,,,,,,,,,6c09ce6f-e726-4619-95b1-20b37fb538c4,11,,"[37.0, 35.1]",68329,0,,,,1.5586389,,Left Foot,,,"[37.4, 68.0]",,Ground Pass,,32.90243,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Julien Escudé,26018.0,Left Center Back,2,Sevilla,213,['0cc341f7-2e8f-44b1-8d46-91465dbef0da'],3,,,,,,,,,,,,,,,,Sevilla,213,00:00:03.570,Pass,,2006/2007
,,,,,,,,,,,,,,,,,,5.384408,,,,,,,,,,,,,,,7423aac7-cf09-4b85-9cd5-4d32538a46ac,14,,"[38.7, 70.3]",68329,0,,,,-0.20183434,,Right Foot,,,"[99.3, 57.9]",,High Pass,,61.855637,Incomplete,,Luís Fabiano Clemente,25943.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Sevilla,213,"['7e4e15f9-2b47-4ec9-9583-749670dc8c65', '92133c57-f995-4b15-8b49-393a56a04bf1']",7,,,,,,,,,,,,,,,,Sevilla,213,00:00:07.826,Pass,,2006/2007
