bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6ec331ad-048f-4291-a084-8d040cc139c6,1,,,266406,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f527b21d-c0e7-4e6a-8d38-9b1e4bfa75fb,2,,,266406,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,16fb410a-0137-4af0-afb5-3153766f5b50,3,,,266406,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['5bfeada9-4823-429b-9f1b-4215e2572b50'],0,,,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5bfeada9-4823-429b-9f1b-4215e2572b50,4,,,266406,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['16fb410a-0137-4af0-afb5-3153766f5b50'],0,,,,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fcf7806c-2f18-4b77-b4fd-6dc998684858,1852,,,266406,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Villarreal,222,['af8add70-623f-4736-a921-cf1fdb405a88'],0,,,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,af8add70-623f-4736-a921-cf1fdb405a88,1853,,,266406,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Villarreal,222,['fcf7806c-2f18-4b77-b4fd-6dc998684858'],0,,,,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.219295,,,,,,,,,,,,,,,bc7a63ff-321d-4ae5-8294-1d0fd13b9357,5,,"[60.0, 40.0]",266406,0,True,,,2.1939957,,Right Foot,,,,"[57.7, 43.2]",Ground Pass,3.940812,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Rafael Alcântara do Nascimento,6998.0,Left Center Midfield,2,Barcelona,217,['a82fa2cb-3eae-4abf-8aa8-38c8af3e67fe'],1,,,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.319,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.162535,,,,,,,,,,,,,,,7d4f9849-1268-485d-9c1d-deaa9eff5fae,7,,"[58.4, 41.3]",266406,0,,,,-2.7139406,,Right Foot,,,,"[43.7, 34.6]",Ground Pass,16.154875,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['8dcc4d94-30c8-4e7d-b7c5-48f877ce3a02'],1,,,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.545,Pass,,2014/2015
,,,,,,,,,,,,,,,,2.250693,,,,,,,,,,,,,,,5362b98c-aade-41b4-9873-14c1c9f03083,10,,"[43.6, 34.1]",266406,0,,,,-1.3691932,,Right Foot,,,,"[49.2, 6.7]",Ground Pass,27.966408,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['bcc962e1-1ed8-4fa5-b10a-b468ceee2277'],3,,,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.623,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.309703,,,,,,,,,,,,,,,3670b83d-36ea-49ac-9ffb-cee4dd9369d9,13,,"[49.9, 7.2]",266406,0,,,,1.6767807,,Left Foot,,,,"[47.9, 26.0]",Ground Pass,18.906084,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['d81bf68b-8285-457b-bb26-1873275fb81c'],6,,,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.592,Pass,,2014/2015
