bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5fabe690-9a46-4ae7-8f19-ac8c2914a8d1,1,,,,267327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ee075e37-5262-4de9-ab2d-3d76b3e01ede,2,,,,267327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 27348, 'name': 'Ricky van Wolfswinkel'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c2ca043d-ed81-404e-b3b9-037b56d804a4,3,,,,267327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5ef285c5-63cb-41bf-88d4-9aaeaaa7b77f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5ef285c5-63cb-41bf-88d4-9aaeaaa7b77f,4,,,,267327,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c2ca043d-ed81-404e-b3b9-037b56d804a4'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,67d7331c-3b7d-49ba-a56b-2abc02f9ace1,1567,,,,267327,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Barcelona,217,['4715ef10-2556-4f48-8dca-e1e1b915891b'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4715ef10-2556-4f48-8dca-e1e1b915891b,1568,,,,267327,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Barcelona,217,['67d7331c-3b7d-49ba-a56b-2abc02f9ace1'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.2714,,,,,,,,,,,,,,,c49f7044-cfe1-409a-a34d-65e37c3d94c8,5,,,"[61.0, 40.1]",267327,0,,,,1.6421038,,Right Foot,,,,"[60.8, 42.9]",,Ground Pass,2.8071337,,,Rubén Castro Martín,6832.0,,,,,,Kick Off,1,From Kick Off,Daniel Ceballos Fernández,6697.0,Left Midfield,2,Real Betis,218,['3291aada-92d4-4329-92ad-fa857c20a0f3'],1,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:01.085,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.454616,,,,,,,,,,,,,,,e5c3d91c-de04-4492-8e5f-2e90e54c4f5e,8,,,"[59.7, 43.2]",267327,0,,,,-3.0472786,,Right Foot,,,,"[37.5, 41.1]",,Ground Pass,22.299103,,,Heiko Westermann,27349.0,,,,,,,1,From Kick Off,Rubén Castro Martín,6832.0,Left Center Forward,2,Real Betis,218,['504c3bee-312c-430f-9a1b-603c477d1992'],1,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:01.517,Pass,,2015/2016
,,,,,,,,,,,,,,,,5.3592,,,,,,,,,,,,,,,85630b22-c034-4c30-8fb6-023bd8d64232,12,,,"[40.0, 46.3]",267327,0,,,,-0.3700471,,Right Foot,,,,"[102.9, 21.9]",,High Pass,67.466805,Incomplete,,Ricky van Wolfswinkel,27348.0,,,,,,,1,From Kick Off,Heiko Westermann,27349.0,Left Center Back,2,Real Betis,218,"['1e02de30-18dc-40fb-bea0-f001a72760d3', '5e8522e1-a6fb-43e6-8cee-03aa1124aae6', '65fc602e-d2b1-488f-bd63-9f14b784a586']",4,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:04.440,Pass,True,2015/2016
,,,,,,,,,,,,,,,,0.7006,,,,,,,,,,,,,,,b92c62b7-0f06-49ce-8870-f4fecaff8c6e,17,,,"[20.0, 59.1]",267327,0,,,,-1.0584068,,Right Foot,,,,"[24.5, 51.1]",,Ground Pass,9.17878,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['5f95c5ee-d92f-4218-8e06-72526d7475f7'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.581,Pass,,2015/2016
