50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1bf17563-6330-4261-99de-fd86eae409f1,1,,,,69275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26170, 'name': 'Francisco Javier Chica Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 24744, 'name': 'Juan Daniel Forlín'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6886, 'name': 'Dídac Vilá Rosselló'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 23916, 'name': 'Luis García Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 26609, 'name': 'Pablo Daniel Osvaldo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Espanyol,214,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,df0d0ca4-5faa-4727-ad01-53edb452b5d6,2,,,,69275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1301eaf0-db12-41ed-b45f-80429a4b038e,3,,,,69275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['15786c09-887d-409a-bbdd-152a6b8d9e59'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,15786c09-887d-409a-bbdd-152a6b8d9e59,4,,,,69275,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['1301eaf0-db12-41ed-b45f-80429a4b038e'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,07b182f9-4ee1-468d-b842-6c41b14933b6,1756,,,,69275,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Barcelona,217,['2b34dd9d-09a4-4fe2-9c76-fc10e7fbb8ad'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b34dd9d-09a4-4fe2-9c76-fc10e7fbb8ad,1757,,,,69275,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Barcelona,217,['07b182f9-4ee1-468d-b842-6c41b14933b6'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2010/2011
,,,,,,,,,,,,,,,,,,0.6061,,,,,,,,,,,,,,458658e1-a7cd-411a-97ec-0dba039ad0c0,5,,,"[60.0, 40.0]",69275,0,,,,1.3554386,,Right Foot,,,,"[60.7, 43.2]",,Ground Pass,,3.275668,,,Joan Verdú Fernández,26211.0,,,,,,Kick Off,1,From Kick Off,Pablo Daniel Osvaldo,26609.0,Center Forward,2,Espanyol,214,['21da0280-054e-4804-a1f5-56fb42f7cd95'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.738,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.776163,,,,,,,,,,,,,,685b24e7-c546-46c4-92b2-e82738d9c6a4,9,,,"[61.8, 42.1]",69275,0,,,,-1.3558406,,Right Foot,,,,"[69.9, 5.0]",,High Pass,,37.973938,,,José María Callejón Bueno,7029.0,,,,,,,1,From Kick Off,Joan Verdú Fernández,26211.0,Left Wing,2,Espanyol,214,['0fca70b4-a265-43ff-9798-d3cf36062695'],2,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:02.511,Pass,,2010/2011
,,,,,,,,,,,,,,,,,,1.2429,,,,,,,,,,,,,,2662c0d4-5250-4e4d-986a-70f166bccc3f,17,,,"[104.6, 4.2]",69275,0,,,,1.3931127,,Left Foot,True,,,"[109.7, 32.6]",,Low Pass,,28.85429,Incomplete,,Pablo Daniel Osvaldo,26609.0,,,,,,,1,From Kick Off,José María Callejón Bueno,7029.0,Right Wing,2,Espanyol,214,"['5e63fc3c-fe1d-400e-84bb-71c59ece6e6c', 'a4187488-64aa-4e56-972b-59d3011ae735', 'c37203e8-8883-442e-a1d8-1e0e9cb4d307']",9,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:09.581,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,,1.2985,,,,,,,,,,,,,,83f136b8-1426-4d59-8b98-5be0fe8a996c,21,,,"[78.8, 0.1]",69275,0,,,,1.3900968,,,,,,"[80.7, 10.5]",,Low Pass,,10.572133,,,Javier Márquez Moreno,24783.0,,,,,,Throw-in,1,From Throw In,Dídac Vilá Rosselló,6886.0,Left Back,3,Espanyol,214,['14eeb0ac-1a2c-47e3-835a-2ba7893e1154'],18,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:18.784,Pass,,2010/2011
