50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,844cd979-33af-49e6-a5d7-d4038c86f9dd,1,,,,70225,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2afec6ef-6795-4724-aa7c-c23d0191ca35,2,,,,70225,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26849, 'name': 'Júlio César Jacobi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 25994, 'name': 'David Cortés Caballero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 26781, 'name': 'Diego Mainz García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26851, 'name': 'Borja Gómez Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 9}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 26162, 'name': 'Moisés Hurtado Pérez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 26850, 'name': 'Franco Daniel Jara'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 26171, 'name': 'Carlos Jorge Neto Martins'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 26779, 'name': 'Daniel González Benítez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Granada,1049,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b4132795-8fa7-405a-804b-0f5e294b9d69,3,,,,70225,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f4f0f83e-9203-4c16-a988-24157769c596'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f4f0f83e-9203-4c16-a988-24157769c596,4,,,,70225,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b4132795-8fa7-405a-804b-0f5e294b9d69'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6ee71db9-30ca-4b15-aedd-28f06321f343,2123,,,,70225,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Barcelona,217,['2fd49e66-eb37-4691-8f7d-0dde3f565931'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2fd49e66-eb37-4691-8f7d-0dde3f565931,2124,,,,70225,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Barcelona,217,['6ee71db9-30ca-4b15-aedd-28f06321f343'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.5736,,,,,,,,,,,,,,,,c8a4caa3-b736-4f7d-ae3b-43cb1e0196fb,5,,,"[61.0, 41.0]",70225,0,,,,,2.3561945,,Right Foot,,,,"[60.2, 41.8]",,Ground Pass,,1.1313709,,,,Carlos Jorge Neto Martins,26171.0,,,,,Kick Off,1,From Kick Off,Odion Jude Ighalo,5458.0,Center Forward,2,Granada,1049,['dc55885d-19ee-4f74-b1f1-64bb9e6f9da3'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.156,Pass,,2011/2012
,,,,,,,,,,,,,,,1.165876,,,,,,,,,,,,,,,,3fafb0da-050e-4f98-b793-15ca11e49635,8,,,"[60.8, 41.3]",70225,0,,,,,2.7934694,,Right Foot,,,,"[48.4, 45.8]",,Ground Pass,,13.191285,,,,Moisés Hurtado Pérez,26162.0,,,,,,1,From Kick Off,Carlos Jorge Neto Martins,26171.0,Center Attacking Midfield,2,Granada,1049,['7f130cc1-adc2-40b4-9480-1a56f45ade35'],1,,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.662,Pass,,2011/2012
,,,,,,,,,,,,,,,2.452526,,,,,,,,,,,,,,,,c476840b-5f61-4626-9724-734eb82678f8,11,,,"[48.4, 45.8]",70225,0,,,,,-2.4668517,,Right Foot,,,,"[23.4, 25.8]",,Ground Pass,,32.01562,,,,Borja Gómez Pérez,26851.0,,,,,,1,From Kick Off,Moisés Hurtado Pérez,26162.0,Right Defensive Midfield,2,Granada,1049,['b7564854-9c38-4791-86db-08d4d05a30ea'],3,,,,,,,,,,,,,,,,,,Granada,1049,00:00:03.496,Pass,,2011/2012
,,,,,,,,,,,,,,,3.0922,,,,,,,,,,,,,,,,66242fd1-bb50-4707-a3a4-318563e6b86f,14,,,"[23.6, 24.3]",70225,0,,,,,-0.21095134,,Left Foot,,,,"[71.7, 14.0]",,High Pass,,49.190445,,Incomplete,,Odion Jude Ighalo,5458.0,,,,,,1,From Kick Off,Borja Gómez Pérez,26851.0,Left Center Back,2,Granada,1049,"['af609869-54b6-4c8f-b658-0adf6ac146b7', 'b3872ff7-be25-4f59-90db-0eb756bab68f']",7,,,,,,,,,,,,,,,,,,Granada,1049,00:00:07.611,Pass,,2011/2012
