50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.3571,,,,,,,,,,,,,,,c7043518-e5a5-4dbe-80d1-9785b0e5ae61,16,,"[37.1, 67.6]",267464,0,,,,,-0.26876011,,Head,,,,"[60.7, 61.1]",,High Pass,,24.478765,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Atlético Madrid,212,"['062ab444-a22c-4beb-9250-3014821df7b6', '608677cb-6426-4e39-88d7-ab965de8e35a']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.412,Pass,,2016/2017
,,,,,,,,,,,,,,,,,,,2.2361,,,,,,,,,,,,,,,608677cb-6426-4e39-88d7-ab965de8e35a,17,,"[59.4, 19.0]",267464,0,,,,,-0.06587676,,Right Foot,,,,"[88.2, 17.1]",,High Pass,,28.862606,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,2,Atlético Madrid,212,"['7a2653d1-f355-4d87-80e3-341aa08616b9', 'c7043518-e5a5-4dbe-80d1-9785b0e5ae61']",9,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:09.769,Pass,,2016/2017
,,,,,,,,,,,,,,,,,,,1.5805,,,,,,,,,,,,,,,6eb8aa77-a600-43a2-b70c-d499a30df413,19,,"[69.9, 7.1]",267464,0,,,,,0.5292468,,Head,,,,"[85.8, 16.4]",,High Pass,,18.420097,,Incomplete,,Yannick Ferreira Carrasco,5633.0,,,,,Recovery,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,2,Atlético Madrid,212,"['cc1b38f4-2c4b-4342-84ae-9bf201ae17c3', 'f7ad16d8-79c8-40ec-8b2b-4b8c6c5fd3f2']",14,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:14.085,Pass,,2016/2017
,,,,,,,,,,,,,,,,,,,2.8788,,,,,,,,,,,,,,,f7ad16d8-79c8-40ec-8b2b-4b8c6c5fd3f2,21,,"[34.3, 63.7]",267464,0,,,,,-0.12149172,,Right Foot,,,,"[68.7, 59.5]",,High Pass,,34.655445,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,Recovery,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Atlético Madrid,212,"['155481fd-9607-4381-8ada-6962831dbb75', '1ffb3655-0e70-4a2d-b566-7df940048656', '6eb8aa77-a600-43a2-b70c-d499a30df413']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.665,Pass,,2016/2017
,,,,,,,,,,,,,,,,,,,1.4009,,,,,,,,,,,,,,,dae67e8a-6d7a-43a9-bf97-a9cf9ac9c26d,28,,"[65.4, 51.9]",267464,0,,,,,-1.4702194,,Left Foot,,,,"[66.5, 41.0]",,Low Pass,,10.955364,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['0010440d-c3f7-4c8b-ae87-8849d20d6724', '6c5894fc-ae8c-4d19-bc3c-cee510ed9339']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.734,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,,,1.8564,,,,,,,,,,,,,,,fdc3d8c0-6e13-4c0a-b6ac-702c8f5905ae,33,,"[70.2, 27.1]",267464,0,,,,,3.1312304,,Right Foot,,,,"[50.9, 27.3]",,Ground Pass,,19.301037,,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,3,Barcelona,217,"['054e94c7-20eb-4654-9d4a-e0514851b6e8', '5325812b-7d3e-4bc2-b646-f5f5d4a315c5', 'cc611beb-f62c-421c-aef8-e3c822493b65']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.136,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,,,1.8525,,,,,,,,,,,,,,,a41212b7-282e-44f2-8ad5-80089d504b0d,37,,"[51.3, 27.1]",267464,0,,,,,1.9163519,,Left Foot,,,,"[45.9, 42.1]",,Ground Pass,,15.942396,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,3,Barcelona,217,"['7ff6a1de-56ea-47c8-bdfc-80fcb5386242', 'c5fed4ea-47e7-47e5-991c-78d8ce00d797']",27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.051,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,,,1.554408,,,,,,,,,,,,,,,14b5a397-6686-491a-acd5-261c168a752c,40,,"[45.9, 42.1]",267464,0,,,,,1.6052654,,Left Foot,,,,"[45.2, 62.4]",,Ground Pass,,20.312065,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['f21f7e33-22fe-4449-91e6-bab761c90935'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.147,Pass,,2016/2017
,,,,,,,,,,,,,,,,,,,1.354878,,,,,,,,,,,,,,,eaa2dae8-243f-4071-802d-d63bb33a310b,43,,"[55.4, 59.3]",267464,0,,,,,-1.7969488,,Right Foot,,,,"[50.2, 36.7]",,Ground Pass,,23.190516,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['46ef2569-8283-4935-9158-afa27db4d654'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.898,Pass,,2016/2017
,,,,,,,,,,,,,,,,,,,1.7227,,,,,,,,,,,,,,,5560ea5f-0c20-4036-a4c8-74134643a61b,46,,"[54.8, 37.3]",267464,0,,,,,1.3635356,,Right Foot,,,,"[59.3, 58.7]",,Ground Pass,,21.868013,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['e5cbb2dc-e2a2-4440-af24-1cbf01d6f8b4'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.975,Pass,,2016/2017
