50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9f48bc8-32f9-407d-8109-4f73b735bd1d,1,,,16265,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01e72363-a52a-4bf7-beda-505fc8f2f8ac,2,,,16265,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 22452, 'name': 'Aihen Muñoz Capellán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 6676, 'name': 'Igor Zubeldia Elorza'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3042, 'name': 'Mikel Merino Zazón'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6695, 'name': 'Juan Miguel Jiménez López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3521521b-4696-4718-9a02-e9566994d10a,3,,,16265,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5c76f7a3-c2b6-430a-9129-6fa61c739dcc'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c76f7a3-c2b6-430a-9129-6fa61c739dcc,4,,,16265,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['3521521b-4696-4718-9a02-e9566994d10a'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e152a8cb-d99f-424e-acf5-14694a622e87,2135,,,16265,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,103,Real Sociedad,210,['aafe536c-1f95-477a-90ea-11ec9726ebca'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aafe536c-1f95-477a-90ea-11ec9726ebca,2136,,,16265,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,103,Real Sociedad,210,['e152a8cb-d99f-424e-acf5-14694a622e87'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,1.4227,,,,,,,,,,,,,cb198019-b128-4554-b614-8a97897af9ed,5,,"[61.0, 41.0]",16265,0,,,,3.1415927,,Right Foot,,,"[48.0, 41.0]",,Ground Pass,,13.0,,,,,Ivan Rakitić,5470.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['83aaec81-b1e5-486b-8344-91ebadb83697'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.314,Pass,,2018/2019
,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,92eca2fe-43c8-4eeb-ba22-b10c52c779f9,8,,"[48.0, 41.0]",16265,0,,,,-0.95054686,,Right Foot,,,"[53.0, 34.0]",,Ground Pass,,8.602325,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Center Defensive Midfield,2,Barcelona,217,['e00a181d-412e-40b4-8e58-590f29e73d2d'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.515,Pass,,2018/2019
,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,600d1323-204d-4324-9785-b157b3f9c623,12,,"[51.0, 33.0]",16265,0,,,,2.7367008,,Right Foot,,,"[44.0, 36.0]",,Ground Pass,,7.615773,,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,2,Barcelona,217,"['148a2b6b-1cb9-403e-9f94-0b8070aacfb8', '7e69abcb-eb13-496b-8c5d-a035489f3a4b']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.498,Pass,True,2018/2019
,,,,,,,,,,,,,,1.5941,,,,,,,,,,,,,9927fa7b-5241-43c3-b145-4884831d6109,15,,"[44.0, 37.0]",16265,0,,,,1.4570043,,Right Foot,,,"[48.0, 72.0]",,Low Pass,,35.22783,,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Center Defensive Midfield,2,Barcelona,217,['d77f0b75-dfae-4cd4-8b81-5c6f2af6faad'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.138,Pass,,2018/2019
