50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.65181,,,,,,,,,,,,,,,0898bd85-cb09-4911-acfd-d034eb8085a4,2026,,"[115.1, 21.2]",15973,53,,,,,1.6142472,,Left Foot,True,,,"[114.4, 37.3]",,Ground Pass,,16.11521,Incomplete,,,,,,,,,2,From Throw In,Ousmane Dembélé,5477.0,Left Wing,94,Barcelona,217,['539569d2-f2a9-4031-9e7f-3b476c016e92'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:32.332,Pass,,2018/2019
,,,,,,,,,,,,,,,1.625987,,,,,,,,,,,,,,,a908eea6-ab2c-4733-864b-f99afeeddabc,2031,,"[6.0, 36.0]",15973,54,,,,,-0.97632134,,Right Foot,,,,"[15.6, 21.8]",,Ground Pass,,17.140594,,Xabier Etxeita Gorritxategi,6788.0,,,,,,Goal Kick,2,From Goal Kick,Axel Werner,9747.0,Goalkeeper,95,Huesca,902,['6081433e-58ec-47b1-8092-bc7a4a1cd806'],2,,,,,,,,,,,,,,,,,,Huesca,902,00:09:02.663,Pass,,2018/2019
,,,,,,,,,,,,,,,1.626786,,,,,,,,,,,,,,,ba7ad716-4235-4105-bee3-562f436d71e1,2034,,"[16.6, 22.4]",15973,54,,,,,-0.08531869,,Right Foot,,,,"[47.0, 19.8]",,High Pass,,30.510983,Incomplete,Moisés Gómez Bordonado,11675.0,,,,,,,2,From Goal Kick,Xabier Etxeita Gorritxategi,6788.0,Left Center Back,95,Huesca,902,"['134521fc-a5de-486e-b4a5-e6fc8f4464d4', '4de4247e-6e6e-43ae-8d3d-e6023eec8af7']",6,,,,,,,,,,,,,,,,,,Huesca,902,00:09:06.681,Pass,,2018/2019
,,,,,,,,,,,True,,,,1.464823,,,,,,,,,,,,,,,134521fc-a5de-486e-b4a5-e6fc8f4464d4,2036,,"[73.1, 60.3]",15973,54,,,,,1.0102868,,Right Foot,,,,"[79.0, 69.7]",,High Pass,,11.098198,,Ivan Rakitić,5470.0,,,,,,Interception,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,96,Barcelona,217,"['96930210-1b7b-404e-bb52-d50787d7b0b8', 'ba7ad716-4235-4105-bee3-562f436d71e1']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:08.307,Pass,,2018/2019
,,,,,,,,,,,,,,,1.669664,,,,,,,,,,,,,,,05b7537d-be8d-4d39-af86-936c25537d6a,2040,,"[87.4, 63.7]",15973,54,,,,,0.1669108,,Right Foot,,,,"[105.8, 66.8]",,Ground Pass,,18.659313,,Sergi Roberto Carnicer,6379.0,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,96,Barcelona,217,['5f2a9f68-f49e-432d-81a4-d60902d92fd8'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:15.500,Pass,,2018/2019
,,,,,,,,,,,,,,,0.969609,,,,,,,,,,,,,,,31b34dc9-3d3b-4335-b47e-012477bf0133,2043,,"[105.8, 63.4]",15973,54,,,,,-2.2560935,,Right Foot,,,,"[95.5, 50.8]",,Ground Pass,,16.274212,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,96,Barcelona,217,['b5a9ecc8-5160-4e87-bf9d-156859e7ba7e'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:18.065,Pass,,2018/2019
,,,,,,,,,,,,,,,0.04284,,,,,,,,,,,,,,,5ee463a1-f16b-47fd-8d84-784072fcb440,2047,,"[95.2, 47.4]",15973,54,,,,,-1.0040671,,Left Foot,,,,"[95.9, 46.3]",,Ground Pass,,1.3038405,Incomplete,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,96,Barcelona,217,"['4a828c4e-a117-4bf1-82cb-58198f63140c', 'dd976a46-1876-4ff6-9905-5492feda67c5']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:20.381,Pass,,2018/2019
,,,,,,,,,,,,,,,0.916298,,,,,,,,,,,,,,,4f28f946-f23b-42bd-9043-e79edb5e7118,2050,,"[16.8, 40.7]",15973,54,,,,,-0.18857226,,Left Foot,,,,"[29.9, 38.2]",,Ground Pass,,13.336416,,Damián Marcelo Musto,11674.0,,,,,,Recovery,2,Regular Play,Jorge Pulido Mayoral,11677.0,Right Center Back,96,Barcelona,217,['e8d72e21-b19f-4084-9012-1878c2aa3a03'],21,,,,,,,,,,,,,,,,,,Huesca,902,00:09:21.348,Pass,,2018/2019
,,,,,,,,,,,,,,,1.638117,,,,,,,,,,,,,,,20740c70-1708-4587-9338-99dc3cf7d443,2057,,"[64.0, 42.7]",15973,54,,,,,-1.4753426,,Left Foot,,,,"[64.9, 33.3]",,Ground Pass,,9.4429865,,Samuel Yves Umtiti,5492.0,,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,96,Barcelona,217,['920d80bd-0e2e-49b4-a739-d532709e2d02'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:29.218,Pass,,2018/2019
,,,,,,,,,,,,,,,1.494887,,,,,,,,,,,,,,,17702b9c-d59b-4f9a-a982-7e0459c0f373,2059,,"[64.9, 33.5]",15973,54,,,,,0.87433493,,Left Foot,,,,"[79.2, 50.6]",,Ground Pass,,22.291254,,Sergi Roberto Carnicer,6379.0,,,,,,,2,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,96,Barcelona,217,['b5ae4cb4-5fd8-47d1-94f2-1688591afc60'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:30.856,Pass,,2018/2019
