ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,40d68363-a5b2-42b1-b9bd-d8e7c19ad977,1,,,3773593,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,31f408d6-6b40-4580-87f4-0484c92d1ba3,2,,,3773593,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6892, 'name': 'Pau Francisco Torres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 24085, 'name': 'Pervis Josué Estupiñán Tenorio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 16335, 'name': 'Samuel Chimerenka Chukwueze'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 11675, 'name': 'Moisés Gómez Bordonado'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6ba789ef-2496-4d59-aa2e-2d8d4a407498,3,,,3773593,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['028006f7-17f9-4e14-9b23-0ae42f62ed69'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,028006f7-17f9-4e14-9b23-0ae42f62ed69,4,,,3773593,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6ba789ef-2496-4d59-aa2e-2d8d4a407498'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8399af13-5003-4ef9-88d1-f87a18e34580,2076,,,3773593,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,80,Villarreal,222,['7edbfb18-1984-40e2-b478-9f804c5bf48a'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7edbfb18-1984-40e2-b478-9f804c5bf48a,2077,,,3773593,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,80,Villarreal,222,['8399af13-5003-4ef9-88d1-f87a18e34580'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,1.187,,,,,,,,,,,,,,,831a197f-895a-4a8b-970c-45b722a0752e,5,,"[61.0, 40.1]",3773593,0,,,2.4884233,,Right Foot,,,,"[49.5, 48.9]",,Ground Pass,,14.480677,,,,Francis Joseph Coquelin,3437.0,,,,,Kick Off,1,From Kick Off,Francisco Alcácer García,6402.0,Left Center Forward,2,Villarreal,222,['21eaeaf1-47ce-4242-b0bf-bea26a66a653'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.457,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.785509,,,,,,,,,,,,,,,1adf165d-2594-4b9a-9fb3-4c62ac161bd6,8,,"[48.8, 48.3]",3773593,0,,,-2.6207478,,Right Foot,,,,"[29.8, 37.4]",,Ground Pass,,21.904566,,,,Pau Francisco Torres,6892.0,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Left Center Midfield,2,Villarreal,222,['bf9c6d0b-f4cd-425d-a084-f60ba1f2fee5'],1,,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.994,Pass,,2020/2021
,,,,,,,,,,,,,,,,3.300778,,,,,,,,,,,,,,,a367100b-1c4b-47aa-8761-3d79315e27ab,11,,"[37.0, 35.2]",3773593,0,,,0.5661364,,Left Foot,,,,"[91.6, 69.9]",,High Pass,,64.69351,,,,Gerard Moreno Balaguero,6766.0,,,,,,1,From Kick Off,Pau Francisco Torres,6892.0,Left Center Back,2,Villarreal,222,['5bf31ec0-a0fb-453e-b510-afeefc773524'],6,,,,,,,,,,,,,,,,,Villarreal,222,00:00:06.322,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.4282,,,,,,,,,,,,,,,5efb4355-3b5c-4984-ae07-9e2c50026c66,13,,"[92.2, 70.1]",3773593,0,,,0.05823006,,Head,,,,"[114.5, 71.4]",,Low Pass,,22.33786,,,,Samuel Chimerenka Chukwueze,16335.0,,,,,,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Right Center Forward,2,Villarreal,222,['2bb0a142-b64e-4d6f-8a10-1e0063cfe6fa'],9,,,,,,,,,,,,,,,,,Villarreal,222,00:00:09.645,Pass,,2020/2021
