bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39068037-baf8-4125-8192-8db32aefe366,1,,,267058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c5ab3270-ce31-497e-b25a-77ebbacef4fe,2,,,267058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 10488, 'name': 'Jon Miquel Toral Harper'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 16338, 'name': 'Uche Henry Agbo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5725, 'name': 'Mehdi Carcela-González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6846, 'name': 'Andreas Hoelgebaum Pereira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 27639, 'name': 'Artem Kravets'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Granada,1049,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,df9e6ff9-ad7a-42e6-a0b3-7f3d61f8a11d,3,,,267058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ea207cdb-bb68-46b4-80c0-2118ac1ab19d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ea207cdb-bb68-46b4-80c0-2118ac1ab19d,4,,,267058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['df9e6ff9-ad7a-42e6-a0b3-7f3d61f8a11d'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e09c07f3-767c-4e12-b7f3-abe7b2b9a6db,1839,,,267058,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Barcelona,217,['af679045-3f30-4b83-b883-cfd4665c79ed'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,af679045-3f30-4b83-b883-cfd4665c79ed,1840,,,267058,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Barcelona,217,['e09c07f3-767c-4e12-b7f3-abe7b2b9a6db'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,1.3307,,,,,,,,,,,,,75b559cd-b232-4ef7-a62e-3d89e16b7bd8,5,,"[61.0, 40.1]",267058,0,,,,,-2.3690143,,Right Foot,,,"[53.1, 32.4]",Ground Pass,,11.031773,,,,Jon Miquel Toral Harper,10488.0,,,,,Kick Off,1,From Kick Off,Artem Kravets,27639.0,Center Forward,2,Granada,1049,['d0e50c0f-e174-49f3-81f2-28bc70a6d930'],1,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.187,Pass,,2016/2017
,,,,,,,,,,,,,,,0.866199,,,,,,,,,,,,,c4b6e973-8d4f-4f6e-9b6b-f889b000faad,7,,"[52.8, 34.8]",267058,0,,,,,2.0801866,,Left Foot,,,"[46.6, 45.9]",Ground Pass,,12.714166,,,,Uche Henry Agbo,16338.0,,,,,,1,From Kick Off,Jon Miquel Toral Harper,10488.0,Right Center Midfield,2,Granada,1049,['03226157-3f3a-4295-9ddd-c597cb43fcf1'],2,,,,,,,,,,,,,,,,,Granada,1049,00:00:02.518,Pass,,2016/2017
,,,,,,,,,,,,,,,1.56656,,,,,,,,,,,,,17733a2d-4bfb-4581-8df1-f71e353868b9,10,,"[46.6, 46.2]",267058,0,,,,,-2.318238,,Right Foot,,,"[31.4, 29.8]",Ground Pass,,22.36068,,,,Matthieu Saunier,13730.0,,,,,,1,From Kick Off,Uche Henry Agbo,16338.0,Left Center Midfield,2,Granada,1049,['99f35732-15d7-4fd3-ac41-4c8258b77320'],3,,,,,,,,,,,,,,,,,Granada,1049,00:00:03.513,Pass,,2016/2017
,,,,,,,,,,,,,,,0.741687,,,,,,,,,,,,,370341ed-25f4-41af-a4b9-e8829b85eca1,13,,"[31.4, 29.8]",267058,0,,,,,1.8438051,,Right Foot,,,"[27.9, 42.3]",Ground Pass,,12.980755,,,,David Rodríguez Lombán,6702.0,,,,,,1,From Kick Off,Matthieu Saunier,13730.0,Left Center Back,2,Granada,1049,['4c880003-4aef-45cb-9101-8515df361b22'],5,,,,,,,,,,,,,,,,,Granada,1049,00:00:05.304,Pass,,2016/2017
