50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.9491,,,,,,,,,,,,ef74faf9-e309-48c3-943e-879b24b3ec09,17,,,"[53.3, 39.2]",69326,0,,,,-1.0704259,,Right Foot,,,"[72.0, 5.0]",,Ground Pass,,38.978584,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['1945614f-ea77-46b8-9fc4-0053c6df4ffe'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.277,Pass,,2011/2012
,,,,,,,,,,,,,,,0.5688,,,,,,,,,,,,8e666bd2-4449-4092-b85a-07b03b8b7853,20,,,"[72.0, 5.0]",69326,0,,,,1.3108562,,Right Foot,,,"[74.5, 14.4]",,Ground Pass,,9.726768,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['67ec6502-16ee-4ec7-adf1-fdab2ee47c4f'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.626,Pass,,2011/2012
,,,,,,,,,,,,,,,1.5478,,,,,,,,,,,,04d48314-eaf3-4b08-8e34-3471cf70fe4c,23,,,"[74.5, 14.4]",69326,0,,,,-2.7448199,,Right Foot,,,"[56.6, 6.9]",,Ground Pass,,19.40773,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['0c55c918-ded3-48f3-9241-fa50913798fb'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.234,Pass,,2011/2012
,,,,,,,,,,,,,,,0.8651,,,,,,,,,,,,2c0b603b-1f2c-4bd0-9cbf-12309f051d27,26,,,"[56.6, 6.9]",69326,0,,,,1.5707964,,Left Foot,,,"[56.6, 24.3]",,Ground Pass,,17.4,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['410b8387-c1cb-498c-b78c-6a15af09fd6f'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.430,Pass,,2011/2012
,,,,,,,,,,,,,,,1.0067,,,,,,,,,,,,7f6a1355-c80e-4ca2-9fb8-b7517c99b37e,29,,,"[56.6, 24.1]",69326,0,,,,-1.6608745,,Right Foot,,,"[55.2, 8.6]",,Ground Pass,,15.563097,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['6700e100-e7af-4a0c-b951-e215fdf79c74'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.336,Pass,,2011/2012
,,,,,,,,,,,,,,,1.0703,,,,,,,,,,,,d1d895c6-5449-4f36-a3c8-70fd43ee42ad,33,,,"[50.1, 9.0]",69326,0,,,,2.890377,,Left Foot,,,"[38.8, 11.9]",,Ground Pass,,11.66619,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['4b3a9bcc-4b49-4c8a-bb18-8bfe3bdcc0ca'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.533,Pass,,2011/2012
,,,,,,,,,,,,,,,2.4953,,,,,,,,,,,,faa752b4-5a67-4c95-9ef0-9dbd97a84812,36,,,"[41.1, 21.8]",69326,0,,,,1.5886515,,Right Foot,,,"[40.5, 55.4]",,Ground Pass,,33.60536,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['0491ef0e-54fd-4887-bde9-10cbdd727425'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.823,Pass,,2011/2012
,,,,,,,,,,,,,,,1.5252,,,,,,,,,,,,90929091-28b0-49b4-a5c2-007f4e72392c,39,,,"[40.5, 55.4]",69326,0,,,,-1.8115233,,Right Foot,,,"[33.7, 27.7]",,Ground Pass,,28.522448,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a07b0e68-0350-4eb4-9c81-5627e78194f0'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.394,Pass,,2011/2012
,,,,,,,,,,,,,,,2.0912,,,,,,,,,,,,813e80e6-a3b3-45d2-8c1a-bb2d0e01b2a5,42,,,"[47.4, 32.1]",69326,0,,,,1.5393107,,Right Foot,,,"[48.2, 57.5]",,Ground Pass,,25.412596,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['4da43a95-d8cf-4610-9e66-787f46e149a1'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.730,Pass,,2011/2012
,,,,,,,,,,,,,,,0.9363,,,,,,,,,,,,7cebff77-8c9a-4d89-b842-5da7bc6816dd,45,,,"[49.9, 68.7]",69326,0,,,,-1.2467574,,Right Foot,,,"[54.3, 55.6]",,Ground Pass,,13.81919,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['345e2f45-f9ba-4205-a985-a6f5c739644a'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.647,Pass,,2011/2012
