50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.279386,,,,,,,,,,,,,,,,8649f363-bb78-499f-b5ab-59af22dc55a3,17,,"[64.4, 51.4]",70219,0,,,,,1.75793,,Right Foot,,,,"[61.2, 68.3]",,Ground Pass,,17.20029,,,,Pablo Sebastián Valeira Álvarez,26837.0,,,,,,,1,From Kick Off,Ángel Lafita Castillo,26020.0,Center Attacking Midfield,2,Real Zaragoza,395,['adda447f-203b-4862-bd6f-3cede5c60d2c'],11,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:11.180,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.7427,,,,,,,,,,,,,,,,efb9723c-ba4a-4baf-968e-98fb5b84151c,20,,"[61.5, 68.7]",70219,0,,,,,0.28555468,,Right Foot,,,,"[72.4, 71.9]",,Ground Pass,,11.360018,,,,Franco Zuculini,7701.0,,,,,,,1,From Kick Off,Pablo Sebastián Valeira Álvarez,26837.0,Right Back,2,Real Zaragoza,395,['4cb8a496-09f3-41cb-b5e5-bd6410e0f46a'],13,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:13.425,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.959085,,,,,,,,,,,,,,,,2edeeaf1-c966-485b-9e0e-5b09ea55a168,24,,"[70.9, 71.9]",70219,0,,,,,-2.146809,,Left Foot,,,,"[64.6, 62.2]",,Low Pass,,11.566331,,,,Ádám Pintér,10815.0,,,,,,,1,From Kick Off,Franco Zuculini,7701.0,Right Wing,2,Real Zaragoza,395,"['1424fb40-db47-427e-b66e-5f2a483fd001', 'c41070a4-0628-4894-b4ca-6b707c782752']",14,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:14.860,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.811974,,,,,,,,,,,,,,,,0ee9ad36-f9b0-4895-995e-732143200ad0,27,,"[64.6, 62.2]",70219,0,,,,,0.66485864,,Right Foot,,,,"[84.5, 77.8]",,High Pass,,25.285767,,,,Carlos Reina Aranda,26522.0,,,,,,,1,From Kick Off,Ádám Pintér,10815.0,Left Defensive Midfield,2,Real Zaragoza,395,['e98abd49-2696-4d5b-b7b7-d57f0fbc0419'],15,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:15.886,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.1542,,,,,,,,,,,,,,,,1b787a95-eb4c-44f7-bed4-730325a7f726,30,,"[85.9, 77.8]",70219,0,,,,,-0.047262076,,Left Foot,,,,"[100.7, 77.1]",,High Pass,,14.816545,,,,Franco Zuculini,7701.0,,,,,,,1,From Kick Off,Carlos Reina Aranda,26522.0,Center Forward,2,Real Zaragoza,395,['cc483f83-5f95-442f-8870-9ff28799c39a'],18,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:18.278,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.954721,,,,,,,,,,,,,,,,7f5a2ac1-eca7-4179-b553-0aa8d0c964ed,34,,"[111.0, 76.9]",70219,0,,,,,-1.2418344,,Right Foot,,,,"[119.5, 52.0]",,High Pass,,26.310835,,Out,,,,,,,,,,1,From Kick Off,Franco Zuculini,7701.0,Right Wing,2,Real Zaragoza,395,['d303bfb5-85cc-436f-a235-d81147a1e2dd'],21,,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:21.427,Pass,True,2011/2012
,,,,,,,,,,,,,,,,3.176494,,,,,,,,,,,,,,,,cbf1097e-6d0d-4d06-8468-369f776000fb,35,,"[7.0, 45.0]",70219,0,,,,,0.860756,,Right Foot,,,,"[37.0, 79.9]",,Ground Pass,,46.021843,,,,Daniel Alves da Silva,4324.0,,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['c791df3f-3e2f-4ec0-9454-b7ec08cd7bc1'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.669,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.505952,,,,,,,,,,,,,,,,2c5c329a-67e8-480f-8d25-46d53b6fb963,38,,"[41.2, 79.4]",70219,0,,,,,-2.582347,,Right Foot,,,,"[27.3, 70.7]",,Ground Pass,,16.39817,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Goal Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['7ab0640d-392f-496f-88fa-d1e66bbcc5aa'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.853,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.960141,,,,,,,,,,,,,,,,0b870688-f2f3-46df-8c1f-54cbf5314a1d,41,,"[32.7, 59.4]",70219,0,,,,,-1.5918459,,Right Foot,,,,"[31.9, 21.4]",,Ground Pass,,38.00842,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Goal Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['d6066c25-9636-4ad8-b734-31c823689fdd'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.450,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.640601,,,,,,,,,,,,,,,,352f10f7-87bf-4ff5-9c7b-a3cfedd2a93b,45,,"[32.2, 27.8]",70219,0,,,,,1.3917199,,Right Foot,,,,"[40.4, 73.1]",,High Pass,,46.036182,,,,Daniel Alves da Silva,4324.0,,,True,,,,1,From Goal Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,"['9309024e-3954-4342-9468-c06775074232', 'dd3a1905-dcab-4c1a-be6b-2bbb15d99881']",45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.826,Pass,True,2011/2012
