ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.952695,,,,,,,,,,,,,e8d2091f-05ab-4257-b110-fc64cc458817,18,,"[38.3, 50.9]",267395,0,,,,-1.9142398,,Right Foot,,,,"[27.5, 20.7]",,Ground Pass,,32.07304,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,"['bbed7525-c59d-496b-9f99-fab89ade70dc', 'f1d0d37f-caa1-4f66-ba88-65059e826a7e']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.076,Pass,True,2016/2017
,,,,,,,,,,,,,,,,2.696028,,,,,,,,,,,,,253872e9-4188-4b3c-86e4-4c2ba9374f5a,22,,"[23.2, 21.4]",267395,0,,,,2.2249877,,Left Foot,,,,"[8.4, 40.7]",,Ground Pass,,24.32139,,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,"['b218b859-87b5-4e4c-95b5-437716157bd2', 'fab5b5c5-dc08-4d88-8c01-e1e8b8850a8f']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.641,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.4799,,,,,,,,,,,,,e458771d-8667-4bb3-ab1d-ba37104ace17,26,,"[7.5, 41.9]",267395,0,,,,-0.844154,,Right Foot,,,,"[24.3, 23.0]",,Ground Pass,,25.287348,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,"['584bf47e-0ae7-4832-938e-190f5b5f4a6c', 'e2268113-3c7d-4659-9ecc-436dbe5799c8']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.453,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.741663,,,,,,,,,,,,,d246249a-16c1-4dd6-be36-c5dddff6d786,29,,"[24.3, 23.0]",267395,0,,,,2.2083452,,Right Foot,,,,"[10.3, 41.9]",,Ground Pass,,23.520416,,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['680003cb-90d5-4b22-b687-cd7a2bca9961'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.026,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.055593,,,,,,,,,,,,,2d42a5f3-797d-4841-b4d7-43107f769f04,33,,"[19.2, 44.0]",267395,0,,,,0.62726605,,Right Foot,,,,"[58.1, 72.2]",,High Pass,,48.046333,,,,Aleix Vidal Parreu,6400.0,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,"['26e06270-d919-4073-8ecf-2a681c94b4ec', '71300712-280a-4b14-8d58-e04f36d0bd9b']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.562,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.042056,,,,,,,,,,,,,8bfa522a-0d56-45a6-a845-66848f419df2,36,,"[55.9, 72.5]",267395,0,,,,-1.1309538,,Right Foot,,,,"[63.9, 55.5]",,Ground Pass,,18.788294,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Aleix Vidal Parreu,6400.0,Right Back,2,Barcelona,217,['0ade0021-d005-4f5b-9cd8-c93719d1f533'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.521,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.869538,,,,,,,,,,,,,9cf06faa-45ff-4cf9-9579-e30205532756,40,,"[79.5, 58.3]",267395,0,,,,0.8501539,,Left Foot,,,,"[93.2, 73.9]",,Ground Pass,,20.761744,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['4200c5fe-9e93-4d1f-94fe-5b8564cc95c7', 'c5122dad-5c95-457d-bfb5-bf6e0e66e6ef']",37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.153,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.536,,,,,,,,,,,,,510cc3c6-ac3e-44f5-b772-f89c8a04e83b,46,,"[120.0, 80.0]",267395,1,,,,-1.8528441,c79e4874-08b3-4f6a-bb4a-6c895483e775,Left Foot,,,,"[109.8, 44.8]",,Low Pass,,36.648056,,,,Luis Alberto Suárez Díaz,5246.0,True,True,,Straight,,Corner,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['9dde492e-fa20-4b48-b27a-e8d20f546d68'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.422,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.9159,,,,,,,,,,,,,77bacd3d-3050-49e8-af97-a14abe9a6717,56,,"[46.1, 29.5]",267395,1,,,,-0.44075084,,Right Foot,,,,"[51.4, 27.0]",,Ground Pass,,5.860034,,,,Jonathan Viera Ramos,10755.0,,,,,,Free Kick,1,From Free Kick,Roque Mesa Quevedo,3610.0,Left Center Midfield,4,Las Palmas,208,['b45fd47f-fd69-492d-a748-66f9f97348fc'],47,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:47.901,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.8374,,,,,,,,,,,,,e05d9a33-1415-4257-bbf1-a6662e08a41b,58,,"[51.4, 27.0]",267395,1,,,,2.2281854,,Right Foot,,,,"[47.0, 32.7]",,Ground Pass,,7.2006946,,,,Roque Mesa Quevedo,3610.0,,,,,,,1,From Free Kick,Jonathan Viera Ramos,10755.0,Center Attacking Midfield,4,Las Palmas,208,['b6b11097-b632-4b0a-b045-a553f389b10a'],48,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:48.817,Pass,,2016/2017
