50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,804ee44a-0deb-4115-93b0-bd053ab1ccbc,1,,,267183,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,282767c6-be25-4a3f-919e-ae709e597086,2,,,267183,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,55ba6e3e-c364-4855-904c-3ea27eb8bdfc,3,,,267183,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['61ccc289-f3bc-403f-bebb-838314e1f8f6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61ccc289-f3bc-403f-bebb-838314e1f8f6,4,,,267183,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['55ba6e3e-c364-4855-904c-3ea27eb8bdfc'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,973fe0ec-beee-4b7e-a96e-f289639ee48c,1857,,,267183,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Barcelona,217,['bdb584e6-9d4c-4c6a-bf21-6f9a60ad8a3a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bdb584e6-9d4c-4c6a-bf21-6f9a60ad8a3a,1858,,,267183,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Barcelona,217,['973fe0ec-beee-4b7e-a96e-f289639ee48c'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,92be8f5c-4bc3-4821-a140-1cafb7d99e65,5,,"[61.0, 40.1]",267183,0,,,,-2.3711188,,Right Foot,,,,"[57.6, 36.8]",,Ground Pass,,4.738143,,,Neymar da Silva Santos Junior,4320.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['863e6584-7b68-4c40-9e64-55c2caf8f8e3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.100,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.404755,,,,,,,,,,,,,76e45926-55a8-43b5-914e-27ca2b71d451,7,,"[55.3, 37.5]",267183,0,,,,2.8277576,,Right Foot,,,,"[43.9, 41.2]",,Ground Pass,,11.985408,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['34b4210f-53b3-4c9f-b05b-3fa56dc3475e'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.680,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,2.430733,,,,,,,,,,,,,74aa8527-5156-4e36-b9ee-8c20836e7402,10,,"[43.9, 41.2]",267183,0,,,,-1.5707964,,Right Foot,,,,"[43.9, 15.2]",,Ground Pass,,26.0,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['7b11983a-242a-4250-9d8f-18831ee2c4f5'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.289,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.632324,,,,,,,,,,,,,3ca46d47-2396-4f90-a253-879b0b4148fe,13,,"[43.9, 15.2]",267183,0,,,,2.2699041,,Left Foot,,,,"[30.7, 30.9]",,Ground Pass,,20.511703,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['8516abfd-9c28-4c52-bab7-575adf16d34e'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.944,Pass,,2014/2015
