50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.357,,,,,,,,,,,,116e92cd-ec8e-42c5-98b7-67e76766daa9,309,,"[61.0, 68.0]",9575,5,,,,-2.3561945,,Right Foot,,,"[49.0, 56.0]",,Ground Pass,,16.970562,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,Regular Play,Gerard Deulofeu Lázaro,3726.0,Right Midfield,11,Barcelona,217,['b5213360-23a2-44e6-91da-49aed881a1f5'],26,,,,,,,,,,,,,,,,Barcelona,217,00:05:26.260,Pass,,2017/2018
,,,,,,,,,,,,,,,1.046,,,,,,,,,,,,bf5a472c-b6ac-4e36-b752-120f59999de9,312,,"[50.0, 53.0]",9575,5,,,,-1.0838971,,Right Foot,,,"[59.0, 36.0]",,Ground Pass,,19.235384,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,11,Barcelona,217,['6b8f1501-ff9d-402e-8234-52ea9cf44388'],29,,,,,,,,,,,,,,,,Barcelona,217,00:05:29.066,Pass,,2017/2018
,,,,,,,,,,,,,,,2.408,,,,,,,,,,,,ed87084d-0f64-4a66-b86a-fbdc884b43cb,315,,"[58.0, 40.0]",9575,5,,,,-2.070143,,Left Foot,,,"[52.0, 29.0]",,Ground Pass,,12.529964,,,Samuel Yves Umtiti,5492.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Right Center Midfield,11,Barcelona,217,"['d2a5c416-6929-47ac-8d82-a6c1799286d9', 'd9638942-717c-4518-9400-fa03523d8862']",30,,,,,,,,,,,,,,,,Barcelona,217,00:05:30.112,Pass,True,2017/2018
,,,,,,,,,,,,,,,1.433,,,,,,,,,,,,49ff068e-b06b-4648-8a76-148af07d40cd,318,,"[53.0, 27.0]",9575,5,,,,-0.5984189,,Left Foot,,,"[75.0, 12.0]",,Ground Pass,,26.627054,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,11,Barcelona,217,['b7664e84-bc52-4c7c-87c9-28bf68b6f8a8'],33,,,,,,,,,,,,,,,,Barcelona,217,00:05:33.938,Pass,,2017/2018
,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,3920ff8d-4022-447b-8524-8799a84e8be4,321,,"[77.0, 6.0]",9575,5,,,,1.1071488,,Left Foot,,,"[85.0, 22.0]",,Ground Pass,,17.888544,,,Francisco Alcácer García,6402.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,11,Barcelona,217,['284576f0-4e4f-4d1a-9965-f8e49cedafab'],36,,,,,,,,,,,,,,,,Barcelona,217,00:05:36.202,Pass,,2017/2018
,,,,,,,,,,,,,,,0.102,,,,,,,,,,,,bd42cab3-cc56-4fae-8a00-f29de67a232d,325,,"[85.0, 22.0]",9575,5,,,,-1.2924967,,Right Foot,,,"[89.0, 8.0]",,Ground Pass,,14.56022,Incomplete,,,,,,,,,,1,Regular Play,Francisco Alcácer García,6402.0,Left Midfield,11,Barcelona,217,"['1fdf51eb-c109-44ba-a866-c9cf2863f049', 'b6acd80d-6969-46c2-8adf-2b5e300a0970']",38,,,,,,,,,,,,,,,,Barcelona,217,00:05:38.030,Pass,True,2017/2018
,,,,,,,,,,,,,,,2.004,,,,,,,,,,,,e8a5949b-0351-4bcc-923f-d46363fa33d0,327,,"[35.0, 72.0]",9575,5,,,,-0.42285392,,Right Foot,,,"[55.0, 63.0]",,Low Pass,,21.931713,Incomplete,,,,,,,,,Recovery,1,Regular Play,Antonio Barragán Fernández,6663.0,Right Back,11,Barcelona,217,['23f066ab-7e51-41c3-be98-5a3a7602b7db'],40,,,,,,,,,,,,,,,,Real Betis,218,00:05:40.073,Pass,,2017/2018
,,,,,,,,,,,,,,,2.302,,,,,,,,,,,,3fbb4a83-06e8-491b-88bd-50df9dfcd8ce,330,,"[67.0, 19.0]",9575,5,,,,2.5127964,,Left Foot,,,"[56.0, 27.0]",,High Pass,,13.601471,,,Javier Alejandro Mascherano,5506.0,,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Right Center Midfield,11,Barcelona,217,"['befbc779-0036-4c15-8c22-cc8f31e4ec5c', 'fbc60efe-3bb4-46c5-9f59-38dcf6458022']",42,,,,,,,,,,,,,,,,Barcelona,217,00:05:42.926,Pass,True,2017/2018
,,,,,,,,,,,,,,,2.349,,,,,,,,,,,,41884924-dec3-44b4-b5fc-e23b6ae5aed9,333,,"[45.0, 27.0]",9575,5,,,,-0.45333868,,Right Foot,,,"[84.0, 8.0]",,High Pass,,43.382023,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,11,Barcelona,217,['7f913853-fb24-4500-b8ed-1698e4291320'],51,,,,,,,,,,,,,,,,Barcelona,217,00:05:51.286,Pass,,2017/2018
,,,,,,,,,,,,,,,1.183,,,,,,,,,,,,51627862-8435-419b-a2da-3c5614114824,337,,"[80.0, 9.0]",9575,5,,,,2.2655346,,Left Foot,,,"[70.0, 21.0]",,Ground Pass,,15.6205,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,11,Barcelona,217,['c65ee277-aa48-40e8-a8c0-56cf4268e962'],56,,,,,,,,,,,,,,,,Barcelona,217,00:05:56.737,Pass,,2017/2018
,,,,,,,,,,,,,,,0.889,,,,,,,,,,,,a78f2fc0-01e6-4d8b-986e-8d4c961f4c69,340,,"[78.0, 23.0]",9575,5,,,,1.6756732,,Right Foot,,,"[76.0, 42.0]",,Ground Pass,,19.104973,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Right Center Midfield,11,Barcelona,217,['34855aec-4b5e-4872-ae55-61ad402fb097'],58,,,,,,,,,,,,,,,,Barcelona,217,00:05:58.749,Pass,,2017/2018
,,,,,,,,,,,,,,,0.491,,,,,,,,,,,,919a01c5-bc6c-4b29-8d12-d68daf9fadde,347,,"[82.0, 34.0]",9575,6,,,,0.7853982,,Left Foot,,,"[90.0, 42.0]",,Ground Pass,,11.313708,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,11,Barcelona,217,['68e793d3-59c2-4d1b-8602-523a4571e037'],2,,,,,,,,,,,,,,,,Barcelona,217,00:06:02.796,Pass,,2017/2018
,,,,,,,,,,,,,,,0.661,,,,,,,,,,,,d63f07a5-7884-43df-a183-f145514f3d69,351,,"[87.0, 38.0]",9575,6,,,,-2.4329665,,Right Foot,,,"[80.0, 32.0]",,Ground Pass,,9.219544,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Center Attacking Midfield,11,Barcelona,217,"['63842a55-aee0-4fe0-87ef-5210f556d6cd', 'f4c98842-e1b5-4beb-84ad-e2c854870f74']",4,,,,,,,,,,,,,,,,Barcelona,217,00:06:04.978,Pass,True,2017/2018
,,,,,,,,,,,,,,,2.281,,,,,,,,,,,,de2f4796-e188-4455-8c9f-0f02eb97a202,355,,"[73.0, 29.0]",9575,6,,,,1.4219064,,Right Foot,,,"[79.0, 69.0]",,Low Pass,,40.4475,,,Nélson Cabral Semedo,6374.0,,,True,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Right Center Midfield,11,Barcelona,217,"['086aa129-f133-49e2-9bc3-d108d5a7fb7b', 'abdeb416-5c71-4181-ae23-b17f231ce8cc']",6,,,,,,,,,,,,,,,,Barcelona,217,00:06:06.903,Pass,True,2017/2018
,,,,,,,,,,,,,,,0.874,,,,,,,,,,,,f9acbaa3-0a5d-43fd-87fc-71a24d2b73c2,358,,"[78.0, 72.0]",9575,6,,,,-1.7681919,,Right Foot,,,"[75.0, 57.0]",,Ground Pass,,15.297058,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,11,Barcelona,217,['b96af87c-9fb8-4e56-ac0e-05bb1b3bc03d'],10,,,,,,,,,,,,,,,,Barcelona,217,00:06:10.552,Pass,,2017/2018
,,,,,,,,,,,,,,,0.584,,,,,,,,,,,,2f043323-ec64-483e-b642-4fd332eeec53,361,,"[78.0, 57.0]",9575,6,,,,0.32175055,,Right Foot,,,"[87.0, 60.0]",,Ground Pass,,9.486833,,,Gerard Deulofeu Lázaro,3726.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,11,Barcelona,217,['5091b77f-2e2b-4fea-af32-54b85b8351f6'],13,,,,,,,,,,,,,,,,Barcelona,217,00:06:13.201,Pass,,2017/2018
,,,,,,,,,,,,,,,0.971,,,,,,,,,,,,bd062343-967d-47fb-b8bd-c5a21e082440,364,,"[87.0, 59.0]",9575,6,,,,3.0309355,,Right Foot,,,"[78.0, 60.0]",,Ground Pass,,9.055386,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Gerard Deulofeu Lázaro,3726.0,Right Midfield,11,Barcelona,217,"['e8de27cc-d02f-43f5-a7a6-80bb267f500f', 'eed86390-0b2f-46ec-9467-7239d4f80fef']",13,,,,,,,,,,,,,,,,Barcelona,217,00:06:13.785,Pass,True,2017/2018
