50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.367834,,,,,,,,,,,,,,,3677b1ff-0217-4c20-9abc-9114accab8c4,17,,"[27.4, 28.6]",69138,0,,,,1.5339708,,Right Foot,,,,"[28.8, 66.6]",,Low Pass,,38.02578,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['96c75091-9a0d-42fa-89d2-ef723db01585'],16,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.841,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.220034,,,,,,,,,,,,,,,6ec012cf-fda5-44a3-aa92-5c4b3ee57f71,21,,"[36.9, 70.1]",69138,0,,,,0.52894974,,Right Foot,,,,"[51.1, 78.4]",,Ground Pass,,16.447796,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['d38a7dc0-d101-4624-8343-30ace4e268b3'],21,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.519,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.9451,,,,,,,,,,,,,,,baed0e03-20e6-4475-9479-8467e759a67f,25,,"[51.0, 79.4]",69138,0,,,,-2.7332246,,Right Foot,,,,"[30.2, 70.4]",,Ground Pass,,22.663628,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['94b65ec8-ba6f-448e-bb6c-92322409fb5b'],24,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.399,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.491403,,,,,,,,,,,,,,,7fdd768c-5165-4d8a-a9ad-2c48e3641477,28,,"[30.2, 70.4]",69138,0,,,,-1.6459557,,Right Foot,,,,"[27.7, 37.2]",,Low Pass,,33.293995,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['eef27049-5e40-48db-9430-965623cdc7e3'],26,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.454,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.660061,,,,,,,,,,,,,,,eec9b0bf-98a1-4d88-bd77-bca9f0501549,31,,"[32.5, 30.5]",69138,0,,,,-1.505,,Right Foot,,,,"[34.2, 4.7]",,Ground Pass,,25.855947,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['dd8f408b-99b9-431c-be04-7298985b4e62'],31,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.255,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.260673,,,,,,,,,,,,,,,688f94e6-0080-456a-82f9-1034701e48d7,35,,"[38.1, 6.4]",69138,0,,,,0.971978,,Left Foot,,,,"[54.0, 29.7]",,Ground Pass,,28.208155,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['8c86b8bd-5305-4cdd-8973-98dad4499998'],33,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.443,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.060921,,,,,,,,,,,,,,,af3131da-ecfd-4324-830c-5cd47b364c28,38,,"[54.0, 20.8]",69138,0,,,,-1.1565784,,Left Foot,,,,"[59.1, 9.2]",,Ground Pass,,12.671622,,,,Seydou Kéita,20169.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ce31ed8e-ef9a-4fbb-9f0c-6374fa76238b'],35,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.521,Pass,,2008/2009
,,,,,,,,,,,,,,,,,3.029297,,,,,,,,,,,,,,,569cb42a-a8ab-4553-9198-11aebc6ea8c9,42,,"[63.1, 7.2]",69138,0,,,,1.1546589,,Left Foot,,,,"[74.9, 33.9]",,Ground Pass,,29.191265,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,['e84cae84-de09-4f6a-90be-6d483e11b683'],37,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.504,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.876607,,,,,,,,,,,,,,,aefc9deb-d053-41be-acf2-1c0880d182ed,45,,"[71.1, 33.7]",69138,0,,,,2.4781666,,Right Foot,,,,"[53.7, 47.3]",,Ground Pass,,22.084383,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['da11c280-26df-41d3-9317-35e16d297a34'],41,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.738,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.959273,,,,,,,,,,,,,,,49317547-ced7-4b83-89b2-b2c8711b8eea,48,,"[52.9, 48.4]",69138,0,,,,1.0006171,,Right Foot,,,,"[69.7, 74.6]",,Ground Pass,,31.123625,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['6372ea4f-1445-463a-8c51-83b0b5af5e3b'],44,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.101,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.9923,,,,,,,,,,,,,,,b218f4d8-7d6a-46c0-b14f-e21e097c12ce,51,,"[73.2, 77.1]",69138,0,,,,0.12318266,,Left Foot,,,,"[83.7, 78.4]",,Ground Pass,,10.58017,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['9fb06dcf-728f-4c79-9ebd-c2b66de2df23'],46,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.567,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.088614,,,,,,,,,,,,,,,56443c37-c047-4f4b-acfb-d597fcf98636,55,,"[85.6, 78.4]",69138,0,,,,-3.0565271,,Left Foot,,,,"[72.7, 77.3]",,Ground Pass,,12.946815,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['85a436a5-c0c3-440a-9b5e-cdc6c4600a0e'],47,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.639,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.5943,,,,,,,,,,,,,,,60696f4b-4982-4e9a-9b37-8a8c9d61ef17,58,,"[72.7, 77.3]",69138,0,,,,-0.57790196,,Right Foot,,,,"[79.6, 72.8]",,Ground Pass,,8.237719,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['9a1835e3-9c39-43b0-81c4-b71e55ef5e98'],48,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.768,Pass,,2008/2009
