50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,2.785647,,,,,,,,,,,,,,d9c495d1-1fe4-4cad-bb82-dc564ad41b7e,17,,"[38.8, 58.8]",265857,0,,,,-1.1199396,,Right Foot,,,,"[64.7, 5.3]",,High Pass,,59.43955,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,True,,,,1,From Kick Off,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,2,Real Madrid,220,['f15b6934-998b-4c0e-97ea-2dbe92f528bc'],9,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:09.132,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,1.0239,,,,,,,,,,,,,,d7a20f5f-a8f5-45d3-8254-57722fb560d3,24,,"[112.2, 4.6]",265857,0,,,,1.495034,,Left Foot,True,,,"[114.5, 34.9]",,Low Pass,,30.387169,,Incomplete,,Karim Benzema,19677.0,,,,,,,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,2,Real Madrid,220,"['dbc0c620-8215-484d-accb-df61c6e4d732', 'ec269816-3282-4989-b400-f110af2a3f3a']",18,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.860,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.902963,,,,,,,,,,,,,,4772a5a5-8935-4c45-9373-7911e1f301f6,30,,"[23.7, 62.6]",265857,0,,,,1.1614759,,Right Foot,,,,"[29.6, 76.2]",,Ground Pass,,14.824641,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,"['8b1d8b34-2fdd-4684-9f12-e80e49c2ae60', 'd574b188-44b5-4c8c-abe6-8e6bb4284569']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.364,Pass,True,2013/2014
,,,,,,,,,,,,,,,,,,0.903826,,,,,,,,,,,,,,45e4d02e-085c-4928-8eb5-11bdb7539d14,33,,"[29.3, 75.1]",265857,0,,,,-2.2886283,,Right Foot,,,,"[23.1, 68.0]",,Ground Pass,,9.426028,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Right Wing,3,Barcelona,217,['1882732c-165b-4a34-9754-7451c76db525'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.316,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.7841,,,,,,,,,,,,,,6b02dc71-cf53-4fd6-9989-a136894499bd,36,,"[23.1, 67.9]",265857,0,,,,-0.015036461,,Right Foot,,,,"[36.4, 67.7]",,Ground Pass,,13.301504,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['22a3058e-e5d1-4d53-9bad-37cbf75546b1', '2d7383bd-fdd1-41ac-a39c-ecc3e19a7076']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.102,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,1.738236,,,,,,,,,,,,,,b0924f9c-e1b9-4480-893f-de1ba52c4cc6,39,,"[86.6, 5.9]",265857,0,,,,-0.30400094,,Right Foot,,,,"[101.9, 1.1]",,Ground Pass,,16.035275,,Out,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,Recovery,1,Regular Play,Marcelo Vieira da Silva Júnior,5552.0,Left Back,3,Barcelona,217,['15473c47-0634-46a4-9a85-c51e755cc2ea'],28,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:28.128,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.800786,,,,,,,,,,,,,,fad09bbc-803c-4c8c-ae84-55fad1e95c1d,41,,"[22.4, 80.0]",265857,0,,,,-0.7588557,,,,,,"[28.2, 74.5]",,Low Pass,,7.993122,,,,Sergio Busquets i Burgos,5203.0,,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['060bd02e-fbaa-44f2-9146-7420e296be79'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.456,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.707359,,,,,,,,,,,,,,51a2c0ea-d1cc-436e-b62d-e1a6e52e5458,44,,"[26.1, 75.1]",265857,0,,,,2.7418115,,Right Foot,,,,"[19.0, 78.1]",,Ground Pass,,7.7077885,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['d2c3a09e-7445-404e-9562-cb3713135b41'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.697,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,0.636458,,,,,,,,,,,,,,f05829b7-aec0-4619-9fbd-f8a55fc5c3cf,48,,"[20.2, 78.2]",265857,0,,,,0.037020117,,Right Foot,,,,"[25.6, 78.4]",,Low Pass,,5.4037023,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['0e0e617b-9892-47fe-b622-463323651547', 'd6f30a8b-2ee0-4c48-ab95-98d57b1841c3']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.085,Pass,True,2013/2014
,,,,,,,,,,,,,,,,,,0.768278,,,,,,,,,,,,,,01e12478-f90e-4cc2-9a82-aa2249c3eb31,54,,"[27.0, 78.2]",265857,0,True,,,-1.2141762,,Right Foot,,,,"[30.8, 68.0]",,Ground Pass,,10.884851,,,,Xavier Hernández Creus,20131.0,,,,,,Free Kick,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['272f5d68-6d1d-4090-859c-40545da8765c'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.470,Pass,,2013/2014
