50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.303694,,,,,,,,,,,,0fe850bc-d84d-472f-b580-6c24b0b94b34,15,,"[57.6, 29.8]",303493,0,,,,,1.997986,,Left Foot,,,,"[51.5, 43.2]",High Pass,,14.723111,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,3,Barcelona,217,['e8f1bbbb-5ea6-40c6-9c3b-1604d553bbfc'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.762,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.06577,,,,,,,,,,,,f29e62dc-2f89-4d57-ad40-f2f17f938edf,19,,"[48.9, 42.3]",303493,0,,,,,1.0368422,,Left Foot,,,,"[57.0, 56.0]",Low Pass,,15.915401,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['0f69a16c-afa8-4f8f-95a5-e16f7729c328', 'efdf13ca-0bbf-45b8-a7c5-32c4b08008aa']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.712,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,,0.781331,,,,,,,,,,,,9aa4a780-5e7d-4aa2-8146-09d1ce44a121,22,,"[63.7, 57.1]",303493,0,,,,,-3.0901675,,Right Foot,,,,"[50.1, 56.4]",Ground Pass,,13.618003,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['5282ad02-9316-46b6-b572-df8dfb6325a0'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.990,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.265741,,,,,,,,,,,,f0f97328-b50c-42db-a125-bc697531793a,25,,"[55.4, 53.9]",303493,0,,,,,-1.5437759,,Right Foot,,,,"[56.6, 9.5]",High Pass,,44.416214,,,,Jordi Alba Ramos,5211.0,,True,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Left Center Midfield,3,Barcelona,217,['617f06cc-ce4f-43d6-aff0-75f8f30a2739'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.092,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,0.718376,,,,,,,,,,,,4485b9c6-b6ff-40ae-b7d8-9e89830a92ff,28,,"[56.5, 12.7]",303493,0,,,,,0.8536151,,Left Foot,,,,"[64.0, 21.3]",Ground Pass,,11.410959,,,,Antoine Griezmann,5487.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['cea7407f-a6bd-47b4-b717-debb85e1ef83'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.091,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.578056,,,,,,,,,,,,42c92031-53c7-420a-8548-85e8097e99a8,31,,"[63.4, 20.5]",303493,0,,,,,-1.4711276,,Left Foot,,,,"[65.2, 2.5]",Ground Pass,,18.089777,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Wing,3,Barcelona,217,['ff4c1960-584d-4d41-9c12-12158bf5abaa'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.849,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.031733,,,,,,,,,,,,1a7fb57a-e909-4307-ae90-81353a952c2d,34,,"[64.0, 2.5]",303493,0,,,,,2.9631822,,Right Foot,,,,"[51.8, 4.7]",Ground Pass,,12.396773,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Right Center Midfield,3,Barcelona,217,['a92815a4-8c2b-4674-9058-ed1187ce998c'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.839,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.574452,,,,,,,,,,,,3a76e678-7c07-492d-85c6-2b9e5a14e92f,37,,"[50.0, 5.4]",303493,0,,,,,2.468305,,Left Foot,,,,"[33.2, 18.8]",Ground Pass,,21.489532,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['63289288-783e-49f3-a957-f0345225eefa'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.143,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.450675,,,,,,,,,,,,d6151c40-4cab-48e8-b792-37b338cb16e7,40,,"[29.7, 20.0]",303493,0,,,,,1.4864488,,Left Foot,,,,"[32.6, 54.3]",Ground Pass,,34.422375,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['c1516708-9109-42ca-b18a-0ffde66a2b7a'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.490,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.291665,,,,,,,,,,,,b8023c5c-1581-49e6-b90b-6ace0b1722a8,43,,"[32.6, 53.9]",303493,0,,,,,-1.6748495,,Right Foot,,,,"[29.3, 22.3]",Ground Pass,,31.771843,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['01c79cff-5b2c-46d6-9abe-ba5e319590be'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.544,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.277051,,,,,,,,,,,,4cecd0f6-ec47-47ee-a406-391abe718077,46,,"[31.7, 21.4]",303493,0,,,,,-0.19440454,,Left Foot,,,,"[51.0, 17.6]",Ground Pass,,19.670536,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['5ae78755-a154-46bb-b954-042060dd1072'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.754,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.474459,,,,,,,,,,,,0d76515e-b8f2-48e0-9df7-6824768b05db,50,,"[42.7, 21.3]",303493,0,,,,,1.9158889,,Right Foot,,,,"[31.7, 51.9]",Low Pass,,32.51707,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Right Center Midfield,3,Barcelona,217,"['09d92ca1-49aa-41fe-a90a-2ccc28746240', '118c5c21-015d-44af-a7cc-63ba1d55c816']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.122,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,,1.589621,,,,,,,,,,,,863ffbac-f864-4ca4-8dbb-53d28d961c03,53,,"[34.8, 46.8]",303493,0,,,,,-1.0646212,,Right Foot,,,,"[50.1, 19.2]",Ground Pass,,31.55709,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['dce0be7f-b35c-4397-903f-5201aacb36fd'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.556,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.71535,,,,,,,,,,,,6cc2aa88-5be7-4e1a-9c7b-ecc5672d134d,57,,"[66.2, 26.1]",303493,0,,,,,1.4757082,,Right Foot,,,,"[69.5, 60.7]",Ground Pass,,34.757015,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Right Center Midfield,3,Barcelona,217,"['2d8e0181-8894-41c7-b86d-f73515ab6214', '72f8f563-e346-448d-ba4b-cdfa2e96a2e7']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.930,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,,0.649194,,,,,,,,,,,,4c2894aa-831a-4dfd-9987-af911278312f,61,,"[69.6, 65.6]",303493,1,,,,,1.407556,,Left Foot,,,,"[71.0, 74.1]",Ground Pass,,8.614523,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,"['174a66ba-0b61-428c-8bf9-5000052dcf62', '334e8477-d8a7-462f-aaf2-962ef3c8bae3']",0,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.511,Pass,True,2019/2020
