ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,"[66.9, 50.6]",,,,,,,,,,,,0.286789,,,,,,,,,,,,,,c3a4d0c1-73b6-4bf0-8b81-a502ec6e3a69,2457,,"[66.9, 50.6]",69319,56,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,139,Barcelona,217,"['b6b522a1-b1a4-4e00-9733-486d06494a0d', 'e8fa5a45-973b-4dc2-a7cd-d65dc590fb84']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:11:44.788,Carry,,2011/2012
,,"[67.8, 61.5]",,,,,,,,,,,,0.185784,,,,,,,,,,,,,,0f9333d7-06b0-48c7-ab8e-f010ef3c07f3,2460,,"[67.8, 61.5]",69319,56,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ibrahim Afellay,4891.0,Left Wing,139,Barcelona,217,"['e644ca4b-fdd8-4699-ba78-883c919f391d', 'fb460629-b304-4a9b-b464-408fe0335f39']",45,,,,,,,,,,,,,,,,,Barcelona,217,00:11:45.983,Carry,,2011/2012
,,"[56.2, 45.7]",,,,,,,,,,,,3.445122,,,,,,,,,,,,,,089781d3-3d0a-487b-bf55-cae6bda2c178,2463,,"[56.2, 45.7]",69319,56,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,139,Barcelona,217,"['0b75b2bb-b34f-4da7-95bb-102443722b19', '8eb6782b-2c0d-49ba-aa68-5f31f3d713a0']",47,,,,,,,,,,,,,,,,,Barcelona,217,00:11:47.451,Carry,,2011/2012
,,"[67.4, 75.0]",,,,,,,,,,,,3.650245,,,,,,,,,,,,,,16bfb41f-9f2e-43c7-b3f0-423f3092c4c3,2466,,"[67.4, 75.0]",69319,56,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,139,Barcelona,217,"['13971dc6-01ae-4be0-9b8d-8c352105c460', 'b578f3f3-fcf9-4b09-94b3-4164a03608b5']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:11:52.058,Carry,,2011/2012
,,"[71.8, 64.2]",,,,,,,,,,,,0.9485,,,,,,,,,,,,,,c761cdf6-91e2-442b-a0c5-4ec374058cd2,2479,,"[74.3, 64.2]",69319,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,141,Barcelona,217,"['14935dcd-3ad3-4319-940c-52158268d6e3', '5cb42d86-0444-4d8a-a3d2-472626fa46cc']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:12:44.174,Carry,,2011/2012
,,"[56.4, 43.0]",,,,,,,,,,,,0.967101,,,,,,,,,,,,,,5c76e2bf-d035-4480-bc43-b73f0baab1f9,2482,,"[56.4, 49.3]",69319,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Seydou Kéita,20169.0,Left Center Midfield,141,Barcelona,217,"['9fda38d4-e89d-4d1d-9b50-8058808cd837', 'b706e5ad-9239-4b6a-9d96-73079956e33d']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:12:46.506,Carry,,2011/2012
,,"[59.4, 17.4]",,,,,,,,,,,,4.223657,,,,,,,,,,,,,,488f9ce1-df45-4a9a-bfa8-1bd639a4f81b,2485,,"[63.4, 15.7]",69319,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adriano Correia Claro,22102.0,Left Back,141,Barcelona,217,"['2a0d0a2a-ca7f-4230-87a1-97711ca78fcc', 'bf5505fd-cb99-44b8-8a59-4a6c27e43cdf']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:12:49.290,Carry,,2011/2012
,,"[45.1, 40.1]",,,,,,,,,,,,2.956447,,,,,,,,,,,,,,6574480e-3429-4642-a026-1b48a67da862,2488,,"[43.6, 36.5]",69319,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,141,Barcelona,217,"['a617058f-847e-41d2-9c2d-a360f14cd6fe', 'c8936e6d-e365-4008-8c36-3a64bf48428c']",54,,,,,,,,,,,,,,,,,Barcelona,217,00:12:54.457,Carry,,2011/2012
,,"[81.6, 34.4]",,,,,,,,,,,,4.021645,,,,,,,,,,,,,,e9b79ad8-6e9f-4a29-acaf-486e4d50201a,2493,,"[74.9, 53.9]",69319,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,141,Barcelona,217,"['21f1ca98-7a94-417d-9cd6-2be4a2d9fba6', '713c98f5-cac0-4088-9404-03eecf4ac20e']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:12:59.413,Carry,,2011/2012
,,"[36.8, 19.1]",,,,,,,,,,,,0.36,,,,,,,,,,,,,,09c0e2c1-b684-4a49-ac3c-92a9cf64b6a5,2500,,"[37.0, 18.9]",69319,58,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alejandro Pozuelo Melero,16558.0,Right Center Forward,142,Real Betis,218,"['8f6fcccd-f715-4d72-bbc0-53d393907c1d', 'b444070a-6e76-409a-a6e6-f89bbabf50ab']",10,,,,,,,,,,,,,,,,,Real Betis,218,00:13:10.769,Carry,,2011/2012
