bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,"[73.0, 66.9]",,,,,,,,,,,,0.387925,,,,,,,,,,,,,,,847b22ec-d8c5-4179-89b6-d89884d2c68e,646,,"[72.4, 67.1]",303696,19,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marcos Llorente Moreno,6840.0,Right Center Forward,29,Atlético Madrid,212,"['20294ebf-f1fd-4f97-906c-48492faa944c', 'db0b9e8b-7d6a-4bf2-9afb-2cca89cca699']",49,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:49.318,Carry,,2019/2020
,,,,,,"[103.0, 59.0]",,,,,,,,,,,,0.368843,,,,,,,,,,,,,,,3d9e00aa-cea2-4342-95f7-7018d6f51fa6,654,,"[102.7, 58.4]",303696,20,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marcos Llorente Moreno,6840.0,Right Center Forward,30,Atlético Madrid,212,"['07b430cc-e0ad-453a-a1f1-0dc433c925ae', '5db9ba4f-1c75-4d82-9f54-ee4367f08176', 'b44cba4d-df0e-4bdd-914d-16d52b319094']",21,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:21.989,Carry,True,2019/2020
,,,,,,"[98.0, 70.0]",,,,,,,,,,,,2.233318,,,,,,,,,,,,,,,cecda913-fe97-4086-a176-ba6d1920dfe2,659,,"[98.0, 73.1]",303696,20,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Santiago Arias Naranjo,5696.0,Right Back,30,Atlético Madrid,212,"['2ff8d066-6c01-4080-9a36-cddf8510e5e6', '3b53fb51-c911-4b06-9692-97e816a7df20']",24,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:24.175,Carry,,2019/2020
,,,,,,"[21.1, 53.7]",,,,,,,,,,,,1.316043,,,,,,,,,,,,,,,5b859cec-1e5d-4839-9d13-ded2e7ff32ef,666,,"[16.0, 54.2]",303696,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,31,Barcelona,217,"['df338566-f7e3-44a1-b523-fde98b7222be', 'ef3d249d-d103-4afb-afb3-6f8d18989091']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:42.976,Carry,,2019/2020
,,,,,,"[15.9, 40.3]",,,,,,,,,,,,1.761902,,,,,,,,,,,,,,,0b271b20-2797-4634-b098-3aad5daad8ed,669,,"[9.7, 41.9]",303696,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,31,Barcelona,217,"['caca5ccb-4511-4477-a59c-18a624f9f523', 'd5d5a2c7-5caa-4bc8-a0a0-257dc218b16a']",45,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:45.943,Carry,,2019/2020
,,,,,,"[40.4, 25.7]",,,,,,,,,,,,4.596339,,,,,,,,,,,,,,,a715e912-6283-4bb6-9974-9bec8afe7084,672,,"[21.9, 26.8]",303696,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,31,Barcelona,217,"['2714d001-cd42-448c-bec9-22eac04b3691', '824502be-8ad4-4725-9bc9-e6d108a1bc00']",48,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:48.831,Carry,,2019/2020
,,,,,,"[58.3, 69.5]",,,,,,,,,,,,3.119187,,,,,,,,,,,,,,,82ca9057-1c7c-4d9b-9690-86c1afba013b,675,,"[62.4, 73.0]",303696,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nélson Cabral Semedo,6374.0,Right Back,31,Barcelona,217,"['6d1a2ff4-b766-4235-8f5f-26f9a7deef3b', 'd14f1b8c-2c78-41d9-8350-06e049cfc6f5']",55,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:55.503,Carry,,2019/2020
,,,,,,"[37.2, 54.8]",,,,,,,,,,,,1.290153,,,,,,,,,,,,,,,59cc4196-2989-4fe8-b36c-9d47d9c6ca5f,678,,"[37.0, 56.0]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,31,Barcelona,217,"['46a4927f-3656-4fd2-ba6b-289a538ed37b', '5589eb4b-7cd1-4067-91ee-3f852851d1a5']",0,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:00.175,Carry,,2019/2020
,,,,,,"[54.3, 9.3]",,,,,,,,,,,,3.625339,,,,,,,,,,,,,,,b76f73a5-0782-4e25-a27d-aecd6b409d6f,681,,"[47.7, 10.4]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Left Center Midfield,31,Barcelona,217,"['3c43ff5f-9f96-428a-b24a-8e2e65faf7c1', '76af669e-30a7-4270-83d6-0daac07b5020']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:03.251,Carry,,2019/2020
,,,,,,"[56.9, 33.3]",,,,,,,,,,,,1.345452,,,,,,,,,,,,,,,a209cbb0-1415-4820-823f-fecdf1aa0d15,684,,"[56.7, 25.4]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,31,Barcelona,217,"['96323138-1c5e-485e-8b31-56019958c058', '9b4c9905-75ff-4c2d-9de0-f6d5e4be3c1c']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:07.907,Carry,,2019/2020
,,,,,,"[63.3, 57.4]",,,,,,,,,,,,0.901483,,,,,,,,,,,,,,,23a33b78-f371-4b18-a6cf-4b241219c246,687,,"[62.0, 54.5]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,31,Barcelona,217,"['116dd41b-57b7-46b4-9771-0ee1957add58', 'bf23216a-542a-4e66-8c06-e7c4ccb17e11']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:10.811,Carry,,2019/2020
,,,,,,"[75.4, 70.1]",,,,,,,,,,,,0.803398,,,,,,,,,,,,,,,93f2ee63-3339-4777-af69-a78ffc45ed84,690,,"[77.1, 70.4]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nélson Cabral Semedo,6374.0,Right Back,31,Barcelona,217,"['2db94010-12c6-4e2b-b632-3951134d2c68', '7d172d18-2687-4226-a612-1461067e1ebb', 'a51f9b16-e68c-4e64-9ae2-d337b7ed1b5b']",12,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:12.987,Carry,True,2019/2020
,,,,,,"[76.9, 55.6]",,,,,,,,,,,,1.819474,,,,,,,,,,,,,,,ed63b45d-872e-4ddb-b7d0-aab6b82c9722,694,,"[69.8, 57.1]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,31,Barcelona,217,"['776ad61a-a2c8-4f84-b01d-86da4b4fb214', 'a2da9fd6-7030-44fd-a996-6582b1857473']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:14.694,Carry,,2019/2020
,,,,,,"[71.0, 48.0]",,,,,,,,,,,,0.981651,,,,,,,,,,,,,,,30e335df-90ea-4567-9e6e-4a984aca4756,697,,"[70.7, 49.1]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,31,Barcelona,217,"['0e580713-d4a4-44e9-b186-32d405203551', 'c26b841d-55f8-4059-91bb-1d0f578f0086']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:17.641,Carry,,2019/2020
,,,,,,"[73.6, 29.5]",,,,,,,,,,,,1.055734,,,,,,,,,,,,,,,b4aac7ff-eab1-44a4-a859-389d6acc1caa,700,,"[66.8, 34.0]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,31,Barcelona,217,"['5451e817-66e0-49ad-aba7-485bd02d8651', '9fc9eb0f-6d77-4f8e-ad3b-a99674849926']",19,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:19.842,Carry,,2019/2020
,,,,,,"[93.3, 14.7]",,,,,,,,,,,,1.957492,,,,,,,,,,,,,,,460af998-e999-43c1-8d9f-1035cce7006f,703,,"[82.6, 17.8]",303696,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Left Center Midfield,31,Barcelona,217,"['16c59af9-124a-424b-9929-85e6cf446128', '6245e746-e617-48e5-9e33-79343a76e170', 'abf861ab-5842-4088-bc37-c40e722063cf']",22,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:22.185,Carry,True,2019/2020
