50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.7862,,,,,,,,,,,,,edc81be4-c09e-4641-ad7b-5139c625f7da,1175,,"[51.1, 65.8]",69181,26,,,,,-0.44872335,,Right Foot,,,"[64.6, 59.3]",,Ground Pass,14.983324,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,64,Barcelona,217,['9ee07fd6-ba68-4cca-b73d-0f8ce90c9c62'],16,,,,,,,,,,,,,,,,Barcelona,217,00:26:16.605,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.764093,,,,,,,,,,,,,1c08fe63-2bae-46f1-9c3c-55d95c7b9d03,1181,,"[65.4, 64.4]",69181,26,,True,,,-1.360163,,Right Foot,,,"[78.1, 5.0]",,High Pass,60.74249,,,,Sylvio Mendes Campos Junior,25854.0,,True,,,Free Kick,1,From Free Kick,Gianluca Zambrotta,15774.0,Right Back,65,Barcelona,217,['7a20d167-31e1-417b-a697-408fdfba2daa'],34,,,,,,,,,,,,,,,,Barcelona,217,00:26:34.619,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.0506,,,,,,,,,,,,,0360a0a3-0a90-4c8a-a916-577774231e1a,1183,,"[77.4, 4.5]",69181,26,,True,,,2.1962814,,Head,,,"[70.9, 13.5]",,Low Pass,11.101802,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Free Kick,Sylvio Mendes Campos Junior,25854.0,Left Back,65,Barcelona,217,['c2522683-b4d2-46f0-9404-8a71a916a15c'],35,,,,,,,,,,,,,,,,Barcelona,217,00:26:35.459,Pass,,2007/2008
,,,,,,,,,,,,,,,,,4.2883,,,,,,,,,,,,,1bd91cd5-0904-44d6-a276-5360a341faf0,1185,,"[70.9, 13.5]",69181,26,,,,,-0.2608025,,Right Foot,,,"[102.0, 5.2]",,Ground Pass,32.188507,,Incomplete,,Thierry Henry,15516.0,,,,,,1,From Free Kick,Anderson Luís de Souza,19757.0,Left Center Midfield,65,Barcelona,217,"['b46c6ba9-30ce-40d9-a942-b7f55e416150', 'c7ae416f-859f-43b2-9ab4-c0e066f6d632']",36,,,,,,,,,,,,,,,,Barcelona,217,00:26:36.674,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.9922,,,,,,,,,,,,,ddc5f0e2-d37b-4d51-be9a-fa4ddcac8d46,1190,,"[34.9, 76.9]",69181,26,,,,,-1.2381766,,Right Foot,,,"[38.7, 65.9]",,Ground Pass,11.637869,,,,Pablo Orbaiz Lesaka,26086.0,,,,,,1,From Free Kick,Andoni Iraola Sagarna,26031.0,Right Back,65,Barcelona,217,['ef8c131f-3bdc-4be8-9bdc-ae8a35c42225'],44,,,,,,,,,,,,,,,,Athletic Club,215,00:26:44.645,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.5682,,,,,,,,,,,,,5c91b308-edc8-4fbd-b3d1-8629df2c1701,1192,,"[38.7, 65.9]",69181,26,,,,,-0.25845495,,Right Foot,,,"[56.1, 61.3]",,Ground Pass,17.997778,,Incomplete,,Markel Susaeta Laskurain,6390.0,,,,,,1,From Free Kick,Pablo Orbaiz Lesaka,26086.0,Right Defensive Midfield,65,Barcelona,217,"['5e68761e-8320-4184-9ea0-0883ca66e539', '80f4dd3d-462c-43c2-8cd1-c4dfd6c8dc8f']",45,,,,,,,,,,,,,,,,Athletic Club,215,00:26:45.637,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.7506,,,,,,,,,,,,,5e68761e-8320-4184-9ea0-0883ca66e539,1194,,"[64.9, 19.7]",69181,26,,,,,-1.5857205,,Right Foot,,,"[64.8, 13.0]",,Ground Pass,6.700746,,,,Sylvio Mendes Campos Junior,25854.0,,,,,Recovery,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,65,Barcelona,217,"['5c91b308-edc8-4fbd-b3d1-8629df2c1701', 'b35a4823-cffe-472d-b40d-5c6ec0c1d2e3']",47,,,,,,,,,,,,,,,,Barcelona,217,00:26:47.206,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.1552,,,,,,,,,,,,,04007654-35e5-4284-b496-68ba937df839,1198,,"[64.8, 13.0]",69181,26,,,,,2.204173,,Left Foot,,,"[49.6, 33.7]",,Ground Pass,25.681316,,,,Lilian Thuram,15071.0,,,,,,1,From Free Kick,Sylvio Mendes Campos Junior,25854.0,Left Back,65,Barcelona,217,['c4baaadf-64f0-4413-9324-51d703e18311'],48,,,,,,,,,,,,,,,,Barcelona,217,00:26:48.036,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.162598,,,,,,,,,,,,,6848c8a7-4e24-4a8e-af42-3ae9e0f0c8be,1201,,"[49.6, 33.7]",69181,26,,,,,-0.3142319,,Right Foot,,,"[57.6, 31.1]",,Ground Pass,8.411897,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Lilian Thuram,15071.0,Right Center Back,65,Barcelona,217,['942d72ae-1429-478e-96b2-ec45928f8343'],50,,,,,,,,,,,,,,,,Barcelona,217,00:26:50.284,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.3506,,,,,,,,,,,,,79728e64-c8f6-4b6e-8e60-89256004b871,1204,,"[64.6, 36.9]",69181,26,,,,,1.4494443,,Right Foot,,,"[66.1, 49.2]",,Ground Pass,12.391126,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,65,Barcelona,217,['c6a7f59e-7456-472c-a031-3e2af95e5386'],54,,,,,,,,,,,,,,,,Barcelona,217,00:26:54.544,Pass,,2007/2008
