bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[65.1, 49.2]",,,,,,,,,,,,0.08,,,,,,,,,,,,,fb508a36-bb8f-4de1-b799-25054d1a0e46,1373,,"[64.6, 50.3]",9948,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,71,Barcelona,217,"['070edadb-1007-46cc-a61e-fa0acf6613d9', '610d5268-ad06-42d9-9891-1a5b11cf9133', 'd3f12d26-8a8c-464f-9906-62a532f039f5']",42,,,,,,,,,,,,,,,,,Barcelona,217,00:31:42.794,Carry,True,2017/2018
,,,,,"[52.9, 50.1]",,,,,,,,,,,,3.340641,,,,,,,,,,,,,8e78ac31-f8d2-4a6d-bce0-30f4e0e214d5,1376,,"[46.1, 54.4]",9948,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,71,Barcelona,217,"['c63811ae-81a3-4d21-b40c-88f0a5e96b8b', 'de3d96b9-2d47-4cc1-bfa8-976ab0c120b3']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:31:44.287,Carry,,2017/2018
,,,,,"[67.8, 72.6]",,,,,,,,,,,,1.556924,,,,,,,,,,,,,36798b95-0278-45a7-8894-a9a3cac269b0,1381,,"[62.1, 74.2]",9948,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,71,Barcelona,217,"['82ac8041-6e8a-4db3-9472-c9ba2add149d', 'f9b5e8a5-4710-468c-b1db-e8e40953926c']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:31:50.049,Carry,,2017/2018
,,,,,"[69.2, 62.8]",,,,,,,,,,,,3.189464,,,,,,,,,,,,,bb792bc1-da28-4da5-83ff-e88a7c09efc8,1384,,"[78.1, 70.1]",9948,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,71,Barcelona,217,"['6472073a-5703-466b-b239-6d5f9459af5c', 'af5f2429-e155-48de-96ed-136077a14eb2']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:31:52.385,Carry,,2017/2018
,,,,,"[63.7, 15.6]",,,,,,,,,,,,1.540547,,,,,,,,,,,,,09ac6f74-9976-4ead-9640-a6e7ed9e4dc7,1389,,"[60.5, 17.2]",9948,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yerry Fernando Mina González,6196.0,Left Center Back,71,Barcelona,217,"['77b2303f-9590-45f2-8aa5-4811c8230acb', '9d6913ea-1c34-42c5-952d-3853bf34fd8e']",58,,,,,,,,,,,,,,,,,Barcelona,217,00:31:58.533,Carry,,2017/2018
,,,,,"[83.6, 3.9]",,,,,,,,,,,,1.066686,,,,,,,,,,,,,9f1e4cf9-f1f3-47db-b104-325564891f1b,1392,,"[82.7, 3.9]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,71,Barcelona,217,"['a8cc9e09-05ef-42d0-867c-ccff353e7286', 'da74c12a-84f1-4227-8efe-0fd43dd65b50']",1,,,,,,,,,,,,,,,,,Barcelona,217,00:32:01.486,Carry,,2017/2018
,,,,,"[91.4, 14.5]",,,,,,,,,,,,3.616661,,,,,,,,,,,,,898e4e2c-5dd4-4ae4-810c-b1f6770ff9f7,1395,,"[78.1, 13.4]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,71,Barcelona,217,"['874adc2b-9446-46db-9d1b-b62e7314ed4b', 'd58f8a17-0536-46e4-9dd5-7a5b722ba46f']",3,,,,,,,,,,,,,,,,,Barcelona,217,00:32:03.820,Carry,,2017/2018
,,,,,"[92.8, 18.9]",,,,,,,,,,,,0.5143,,,,,,,,,,,,,b3f3b04c-2ce2-4ba2-bb1e-5416d19e183f,1398,,"[91.2, 18.9]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,71,Barcelona,217,"['1638e807-21a7-4e05-8528-3b4863e279bb', '5af652d6-1fb4-4308-9c0f-bb254e3a1e96', 'cd1de3e1-9edb-449a-aa01-ed38ade3cc81']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:32:07.869,Carry,True,2017/2018
,,,,,"[113.9, 5.3]",,,,,,,,,,,,3.373045,,,,,,,,,,,,,f970b0ee-ac48-4e9b-81f3-c0432d23bcb5,1406,,"[114.8, 1.8]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,71,Barcelona,217,"['dce8d60d-d09a-4218-8ec3-e74ff523aef8', 'ee50e17c-637c-4ceb-9bdb-277026f4aa6b']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:32:13.543,Carry,,2017/2018
,,,,,"[105.8, 12.3]",,,,,,,,,,,,3.545822,,,,,,,,,,,,,c914e28a-c194-4bd8-9515-e59ea29cc522,1409,,"[115.8, 14.8]",9948,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,71,Barcelona,217,"['3677f7ed-158c-46a9-9ed5-9fda874de73a', '57717b49-c1d0-4b00-96a2-7dc77a12d2f3', '9f28ef04-6a6b-4a6a-8f6d-b84bdd297060']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:32:17.555,Carry,True,2017/2018
