50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,503e6f4b-7ab7-4398-bb4f-de7f20db43ad,1,,,265837,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 31}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6705, 'name': 'José Ángel Valdés Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 12191, 'name': 'Gorka Elustondo Urkola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b283578d-2722-49b9-a639-5f5190e5103d,2,,,265837,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c092ead4-c5ba-407d-8483-be52d495d951,3,,,265837,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['bec3e8be-ec33-4966-b17a-81a36b3839fb'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bec3e8be-ec33-4966-b17a-81a36b3839fb,4,,,265837,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['c092ead4-c5ba-407d-8483-be52d495d951'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,59b21ae8-55c0-4558-89b7-4b146a49b3d2,1870,,,265837,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Barcelona,217,['4183597c-2fff-47df-b8ba-3e0938bb0ea6'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4183597c-2fff-47df-b8ba-3e0938bb0ea6,1871,,,265837,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Barcelona,217,['59b21ae8-55c0-4558-89b7-4b146a49b3d2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,1.126871,,,,,,,,,,,,37787630-9868-49f7-a9d7-97b09adb9251,5,,"[61.0, 41.0]",265837,0,,,,,-3.1177876,,Right Foot,,,,"[48.4, 40.7]",,Ground Pass,,12.603571,,,,Markel Bergara Larrañaga,6633.0,,,,,Kick Off,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Center Forward,2,Real Sociedad,210,['ed0124f8-b845-42c3-8177-07f34bb0842d'],1,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.377,Pass,,2013/2014
,,,,,,,,,,,,,,,1.947224,,,,,,,,,,,,4d106479-8bd4-4fb4-9443-de9c7a653b4e,8,,"[50.3, 39.2]",265837,0,,,,,-2.1644752,,Right Foot,,,,"[33.9, 14.9]",,Ground Pass,,29.316378,,,,José Ángel Valdés Díaz,6705.0,,,,,,1,From Kick Off,Markel Bergara Larrañaga,6633.0,Right Defensive Midfield,2,Real Sociedad,210,['09291716-8e9f-4089-8742-0bcacbf8c564'],2,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.831,Pass,,2013/2014
,,,,,,,,,,,,,,,1.57671,,,,,,,,,,,,bf1b2755-c616-4916-abd7-8bba37f10668,11,,"[29.9, 15.1]",265837,0,,,,,2.3734767,,Left Foot,,,,"[9.3, 35.0]",,Ground Pass,,28.642101,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,José Ángel Valdés Díaz,6705.0,Left Back,2,Real Sociedad,210,['38e5aeb1-5b71-4c77-8eae-cb492b8bd8a9'],6,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:06.395,Pass,,2013/2014
,,,,,,,,,,,,,,,2.8499,,,,,,,,,,,,db8bfbe9-5681-465a-841f-0d3899619aba,15,,"[4.7, 35.5]",265837,0,,,,,0.96052915,,Right Foot,,,,"[35.4, 79.4]",,High Pass,,53.56958,,,,Joseba Zaldúa Bengoetxea,6605.0,,True,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Real Sociedad,210,"['c937130a-91de-42be-ac37-379819618792', 'f323d7de-3388-42d3-87f5-18fcf65b72d2']",11,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:11.061,Pass,True,2013/2014
