50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.34729,,,,,,,,,,,,,,,,ba1d0a89-6078-4ba4-97fc-86cd04334e10,27,,"[51.4, 54.2]",69307,0,,True,,,2.4407382,,Right Foot,,,"[38.6, 65.0]",,Ground Pass,,16.747538,,,,,Gerard Piqué Bernabéu,5213.0,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['180ef5fc-8cf0-4c20-9dcf-cc37d0e6e6b1'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.747,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.547564,,,,,,,,,,,,,,,,19a60a69-424c-467e-af3f-521276f47d1e,29,,"[38.6, 65.0]",69307,0,,,,,-2.6232884,,Right Foot,,,"[13.0, 50.4]",,Ground Pass,,29.470663,,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['c236946d-1f5d-4843-bb2c-dc9f7abf235a'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.971,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.205712,,,,,,,,,,,,,,,,f2cd603b-2e92-410e-9ed2-8d71bdbc960e,32,,"[12.1, 45.0]",69307,0,,,,,-1.4888687,,Right Foot,,,"[14.9, 10.9]",,Ground Pass,,34.214764,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['4835452e-24f2-4878-b52c-6bfb79d3c219'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.702,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.764658,,,,,,,,,,,,,,,,73457cbc-3429-4565-86d4-400d0e11332d,36,,"[16.9, 10.8]",69307,0,,,,,2.0576956,,Left Foot,,,"[5.2, 32.9]",,Ground Pass,,25.005999,,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,"['2b648496-dab3-490e-ad1c-1c2c040398e7', '8128ae7f-33f7-4d9c-84db-7ecb26301a63']",38,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.577,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,4.434712,,,,,,,,,,,,,,,,e16aee6f-4c84-4d25-9ead-98e317117e05,38,,"[5.3, 33.9]",69307,0,,,,,-0.1761953,,Right Foot,,,"[72.7, 21.9]",,High Pass,,68.459915,,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,"['59538caa-92d3-4a5f-bba3-868b4e1f58b0', 'bf59d751-d45f-49d2-8b98-204f7ca31126']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.341,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.8455,,,,,,,,,,,,,,,,34736720-5cdd-4fe6-8e62-feedd6c0e088,43,,"[46.8, 63.6]",69307,0,,,,,-2.7944667,,Right Foot,,,"[17.5, 53.0]",,Low Pass,,31.158466,,,,,Ricardo López Felipe,25912.0,,,,,,1,Regular Play,Sergio Fernández González,25969.0,Right Center Back,5,Osasuna,422,['8b2f8db3-9d1a-463c-aad4-ec0b06b4e920'],45,,,,,,,,,,,,,,,,,Osasuna,422,00:00:45.909,Pass,,2010/2011
,,,,,,,,,,,,,,,,,3.0956,,,,,,,,,,,,,,,,6c32c64c-48d7-43f1-a225-4ef14a1ed5b5,46,,"[17.4, 52.7]",69307,0,,,,,-0.673033,,Left Foot,,,"[46.0, 29.9]",,High Pass,,36.575947,,,,,Ignacio Monreal Eraso,3498.0,,,,,,1,Regular Play,Ricardo López Felipe,25912.0,Goalkeeper,5,Osasuna,422,['e2609551-27c5-4210-8cf6-ae6f6bf0b6b7'],48,,,,,,,,,,,,,,,,,Osasuna,422,00:00:48.755,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.241,,,,,,,,,,,,,,,,73bd1235-4009-4e8b-b062-eb27af48c1ee,48,,"[46.0, 29.9]",69307,0,,,,,0.24497867,,Head,,,"[56.4, 32.5]",,High Pass,,10.720075,,,,,Masoud Shojaei Soleimani,5238.0,,,,,,1,Regular Play,Ignacio Monreal Eraso,3498.0,Left Back,5,Osasuna,422,['6b513810-7c27-4864-88e8-22b9131f88c3'],51,,,,,,,,,,,,,,,,,Osasuna,422,00:00:51.851,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.3362,,,,,,,,,,,,,,,,c4b10540-680c-40cf-a0b1-ac8b60e40dfc,50,,"[56.4, 32.5]",69307,0,,,,,0.28422552,,Head,,,"[65.3, 35.1]",,High Pass,,9.272001,,,,,Fernando Soriano Marco,26435.0,,,,,,1,Regular Play,Masoud Shojaei Soleimani,5238.0,Left Wing,5,Osasuna,422,['ddddcd6e-dda6-43bd-b21e-5493e158a89f'],54,,,,,,,,,,,,,,,,,Osasuna,422,00:00:54.092,Pass,,2010/2011
,,,,,,,,,,,,,,,,,3.8077,,,,,,,,,,,,,,,,2454a838-a255-49bc-9c46-b1d3b1ea0914,53,,"[65.3, 35.1]",69307,0,,,,,-0.14543061,,Right Foot,,,"[104.9, 29.3]",,Low Pass,,40.022495,,,Incomplete,,Javier Camuñas Gallego,26169.0,,,Through Ball,True,,1,Regular Play,Fernando Soriano Marco,26435.0,Center Attacking Midfield,5,Osasuna,422,"['9850a3d0-2a68-4c7c-a7c2-aaa65d2770bb', 'bc3f7510-6d9a-431d-a8b3-a58d47284ce4']",55,,,,,,,,,,,,,,,,,Osasuna,422,00:00:55.468,Pass,,2010/2011
