bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.012274,,,,,,,,,,,,,b8888d18-79b8-4ffe-95fe-32da60784eaf,21,,"[38.0, 55.4]",3773474,0,,,,,-1.8425885,,Right Foot,,,,"[32.9, 37.1]",Ground Pass,18.997368,,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,3,Barcelona,217,['353efa35-d2b1-4499-a676-c7bc07c319e1'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.032,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.821233,,,,,,,,,,,,,c78cdbbe-9ac4-4859-a54f-9e26fbf9ab91,24,,"[43.4, 33.1]",3773474,0,,,,,0.67267054,,Right Foot,,,,"[55.2, 42.5]",Ground Pass,15.086418,,,,,Pedro González López,30486.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Center Back,3,Barcelona,217,['39d9feea-d93b-408b-bc3c-0e3ede44ab1f'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.693,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.399432,,,,,,,,,,,,,8b3fc256-4fce-428c-ac1c-7e13da348fb5,27,,"[55.2, 42.5]",3773474,0,,,,,1.9365436,,Right Foot,,,,"[48.0, 61.3]",Ground Pass,20.131567,,,,,Óscar Mingueza García,43728.0,,,,,,1,Regular Play,Pedro González López,30486.0,Left Defensive Midfield,3,Barcelona,217,['81abd71b-b40f-4760-ae81-62abf6400e4f'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.594,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.980091,,,,,,,,,,,,,acd20274-84dd-4c83-b86b-7e43626fd410,30,,"[48.0, 61.3]",3773474,0,,,,,-2.1028728,,Right Foot,,,,"[40.7, 48.9]",Ground Pass,14.389232,,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,3,Barcelona,217,['567a079c-e9cc-47fa-8294-4f3f6d3dc91b'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.787,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.187153,,,,,,,,,,,,,f26ca9e9-f31b-4274-a75c-c5f01d32d66e,33,,"[40.7, 48.9]",3773474,0,,,,,-1.3397057,,Right Foot,,,,"[49.5, 11.5]",Ground Pass,38.42135,,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Center Back,3,Barcelona,217,['f33889ad-5855-4559-998b-d375116065a3'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.391,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.998577,,,,,,,,,,,,,6b1ec0c0-b838-445e-aabf-69f5709e6157,37,,"[71.7, 9.6]",3773474,0,,,,,-2.3932147,,Left Foot,,,,"[63.3, 1.8]",Ground Pass,11.462984,,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['032d327d-ecf3-495b-bc0a-ab79abda54f7'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.275,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.250123,,,,,,,,,,,,,77282818-ffc6-4c0d-92c1-fb5d1844dfa0,40,,"[57.2, 1.8]",3773474,0,,,,,3.0137227,,Left Foot,,,,"[36.2, 4.5]",Ground Pass,21.17286,,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,3,Barcelona,217,['6b329d13-fb8d-4b74-b074-a057b707c3e7'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.375,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.664171,,,,,,,,,,,,,afe8224c-1b5e-4f37-b8dc-ddeb91a55200,43,,"[22.4, 22.9]",3773474,0,,,,,2.487022,,Right Foot,,,,"[9.5, 32.8]",Ground Pass,16.260996,,,,,Marc-André ter Stegen,20055.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Center Back,3,Barcelona,217,['f3548cca-a4ea-46ae-8552-db6b10cf7c80'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.762,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.902855,,,,,,,,,,,,,cc047398-ebff-4022-9a5a-cfb683831495,46,,"[9.5, 32.8]",3773474,0,,,,,-1.3084353,,Right Foot,,,,"[17.1, 4.5]",Ground Pass,29.30273,,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['07e9c17e-5ae4-411c-9d69-9e220f755d25'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.346,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.40143,,,,,,,,,,,,,6c8af62d-9a46-4e6f-93b5-7eff452c0ff8,49,,"[18.3, 5.3]",3773474,0,,,,,1.9513026,,Left Foot,,,,"[7.3, 32.8]",Ground Pass,29.618406,,,,,Marc-André ter Stegen,20055.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,3,Barcelona,217,['7a9f76a2-05b8-40dd-af87-2793fdf08379'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.362,Pass,,2020/2021
