bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.41282,,,,,,,,,,,,,,abad1756-af85-43e6-a422-0339adc954bc,3568,,"[86.6, 44.9]",69215,93,,,,,1.3018342,,Left Foot,,,"[90.9, 60.5]",Ground Pass,,16.18178,,,,Juan Valera Espín,26195.0,,,,,,2,Regular Play,Mehdi Lacen,6745.0,Right Center Midfield,218,Racing Santander,1217,['5f6ddd36-4607-47fa-a2be-1638d70d2477'],4,,,,,,,,,,,,,,,,,Racing Santander,1217,00:48:04.018,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.8916,,,,,,,,,,,,,,031c1446-73f1-413c-9ad6-686200074692,3575,,"[113.3, 64.7]",69215,93,,,,,-2.2800064,,Right Foot,,,"[101.2, 50.6]",Low Pass,,18.580097,,,,Mehdi Lacen,6745.0,,,,,,2,Regular Play,Juan Valera Espín,26195.0,Right Midfield,218,Racing Santander,1217,['9e2cd465-347a-45c7-ac61-27395c96e4e8'],7,,,,,,,,,,,,,,,,,Racing Santander,1217,00:48:07.788,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.209382,,,,,,,,,,,,,,ab79205c-a176-4105-bc50-99b7d97bfdfb,3582,,"[24.4, 16.6]",69215,93,,,,,0.81835324,,Left Foot,,,"[33.2, 26.0]",Ground Pass,,12.876335,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,Recovery,2,From Counter,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,219,Barcelona,217,['fd065d84-6355-49ce-8ceb-5ae3d501120e'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:48:14.083,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.294805,,,,,,,,,,,,,,ddcff5e6-07e2-46f7-878c-4a94921e95ee,3585,,"[41.4, 29.4]",69215,93,,,,,0.8836721,,Right Foot,,,"[54.2, 45.0]",Ground Pass,,20.179197,,,,Xavier Hernández Creus,20131.0,,,,,,2,From Counter,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing Back,219,Barcelona,217,['e0769d3a-c01d-4fe6-a865-338740e7dba1'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:48:17.053,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.908592,,,,,,,,,,,,,,31d80130-c80e-4988-883e-7d4d4cb6f15b,3588,,"[66.8, 45.5]",69215,93,,,,,0.36834893,,Right Foot,,,"[83.9, 52.1]",Ground Pass,,18.329485,,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,2,From Counter,Xavier Hernández Creus,20131.0,Right Center Midfield,219,Barcelona,217,"['59db3e03-f62b-401d-8b72-0203194d9b40', '8bff2fd2-e928-4ae9-b8ab-08331bdc5b5c']",20,,,,,,,,,,,,,,,,,Barcelona,217,00:48:20.553,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.8918,,,,,,,,,,,,,,ba589bf5-1573-4743-92a8-cbd113bb6b2e,3592,,"[35.1, 31.9]",69215,93,,,,,-0.09751581,,Left Foot,,,"[53.5, 30.1]",Ground Pass,,18.487833,,,,Peter Luccin,26123.0,,,,,,2,Regular Play,Ivan Marcano Sierra,13157.0,Right Center Back,220,Racing Santander,1217,['38c44172-44c2-4452-bc69-85a425de2be0'],23,,,,,,,,,,,,,,,,,Racing Santander,1217,00:48:23.779,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.588169,,,,,,,,,,,,,,88feb4d0-1cad-4e8a-985d-e1ae5fbe9821,3595,,"[53.5, 30.1]",69215,93,,,,,-1.7461205,,Left Foot,,,"[50.4, 12.6]",Low Pass,,17.772451,,,,Jorge Miguel Dias Gonçalves,26620.0,,,,,,2,Regular Play,Peter Luccin,26123.0,Left Center Midfield,220,Racing Santander,1217,['ec92fcf5-de16-4e2c-9539-b954876514ba'],24,,,,,,,,,,,,,,,,,Racing Santander,1217,00:48:24.705,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.8697,,,,,,,,,,,,,,501fafb1-3c8b-4ad5-89c4-6a70aa12b14d,3599,,"[57.3, 11.1]",69215,93,,,,,0.2981561,,Right Foot,,,"[98.3, 23.7]",Ground Pass,,42.89242,,Pass Offside,,Jonathan Pereira Rodríguez,23804.0,,,,,,2,Regular Play,Jorge Miguel Dias Gonçalves,26620.0,Left Midfield,220,Racing Santander,1217,['85e432d4-c0d5-4134-baf2-406bda92b34c'],27,,,,,,,,,,,,,,,,,Racing Santander,1217,00:48:27.487,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.827757,,,,,,,,,,,,,,35a6b402-c4ed-40dc-92e7-c2ed5eeec7f3,3601,,"[42.2, 55.0]",69215,93,,,,,-1.1445144,,Right Foot,,,"[52.1, 33.2]",Ground Pass,,23.94264,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,Free Kick,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Center Back,221,Barcelona,217,['3cb1df35-e6da-40c9-9c35-6f244d5a136b'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:48:37.551,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.1545,,,,,,,,,,,,,,2e02cf9e-c256-4dd1-8b97-c3927e340ca0,3604,,"[56.7, 32.5]",69215,93,,,,,-0.016665123,,Left Foot,,,"[98.7, 31.8]",High Pass,,42.005833,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,221,Barcelona,217,['d09bca09-ad4f-4fb0-9974-fe88568ab5e5'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:48:41.991,Pass,,2008/2009
