50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.892844,,,,,,,,,,,,,,c38cb86d-f7fe-459f-b690-2c7a0fe535ef,2722,,"[3.3, 5.2]",303516,64,,,,0.5734887,,Left Foot,,,,"[33.8, 24.9]",,High Pass,,36.308952,,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,From Goal Kick,Jordi Alba Ramos,5211.0,Left Back,132,Barcelona,217,"['3cebd9b5-ebad-4f0e-aa43-35b650ab9f8e', '7cd81c65-2a3f-43ec-8d96-a8ce3b631d9f']",45,,,,,,,,,,,,,,,,,Barcelona,217,00:19:45.188,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.147704,,,,,,,,,,,,,,3cebd9b5-ebad-4f0e-aa43-35b650ab9f8e,2724,,"[86.3, 55.2]",303516,64,,,,0.95613337,,Right Foot,,,,"[94.7, 67.1]",,Low Pass,,14.566056,,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,Recovery,2,Regular Play,Filip Bradarić,6310.0,Center Defensive Midfield,133,Celta Vigo,209,"['457511b0-dff2-4392-88a3-a6b5286c2c3c', 'c38cb86d-f7fe-459f-b690-2c7a0fe535ef']",47,,,,,,,,,,,,,,,,,Celta Vigo,209,00:19:47.081,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.4867,,,,,,,,,,,,,,1f0dd7ed-d94b-47e0-adfa-39802fd7a38e,2728,,"[93.6, 67.4]",303516,64,,,,-1.7161063,,Left Foot,,,,"[92.4, 59.2]",,Ground Pass,,8.28734,,,,,Filip Bradarić,6310.0,,,,,,,2,Regular Play,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,133,Celta Vigo,209,"['4c96dc06-f90b-46ef-ab56-1b4142cc238a', '94cd428e-bc4b-484d-937c-5d0b7f24ed53']",49,,,,,,,,,,,,,,,,,Celta Vigo,209,00:19:49.332,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,0.379768,,,,,,,,,,,,,,3bf07ac6-3d55-4f73-86da-69edddf6af29,2731,,"[96.8, 58.9]",303516,64,,,,-1.709436,,Right Foot,,,,"[96.2, 54.6]",,Low Pass,,4.3416586,,,Incomplete,,Iago Aspas Juncal,5217.0,,,,,,,2,Regular Play,Filip Bradarić,6310.0,Center Defensive Midfield,133,Celta Vigo,209,"['24d8d6d4-33b6-4255-8fc5-1f0f28ce327b', '497ce2c9-96a8-4b8d-9b80-fbe7dcf490cc']",50,,,,,,,,,,,,,,,,,Celta Vigo,209,00:19:50.804,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.457422,,,,,,,,,,,,,,f5df3088-ce63-4930-9f1e-d3213a4f7e44,2734,,"[93.0, 58.1]",303516,64,,,,-1.2524587,,Left Foot,,,,"[95.9, 49.3]",,Ground Pass,,9.265528,,,,,Iago Aspas Juncal,5217.0,,,,,,Recovery,2,Regular Play,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,133,Celta Vigo,209,['84865991-e374-4d6d-90cd-358cee53a25a'],52,,,,,,,,,,,,,,,,,Celta Vigo,209,00:19:52.290,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.612806,,,,,,,,,,,,,,ac2ccfab-01d6-4547-8eed-a1098b1e1fd0,2738,,"[94.5, 47.6]",303516,64,,,,0.93206465,,Left Foot,,,,"[102.0, 57.7]",,Ground Pass,,12.580143,,,,,Filip Bradarić,6310.0,,,,,,,2,Regular Play,Iago Aspas Juncal,5217.0,Right Center Forward,133,Celta Vigo,209,['d6ff70e5-7c1d-4737-b7d5-cfe0947f56dc'],53,,,,,,,,,,,,,,,,,Celta Vigo,209,00:19:53.277,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.61781,,,,,,,,,,,,,,4fe266be-d5f1-4fd7-b603-535c734b9413,2740,,"[102.0, 57.7]",303516,64,,,,-1.2490457,,Right Foot,,,,"[104.1, 51.4]",,Ground Pass,,6.6407833,,,Incomplete,,Rafael Alcântara do Nascimento,6998.0,,,,,,,2,Regular Play,Filip Bradarić,6310.0,Center Defensive Midfield,133,Celta Vigo,209,"['a133a957-01ea-4008-a676-2a4e6dd36d5e', 'bb332e57-51a7-4862-bac4-695e81ff4681']",53,,,,,,,,,,,,,,,,,Celta Vigo,209,00:19:53.889,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.839792,,,,,,,,,,,,,,414e43b2-fec4-46d3-a10f-c2723cc228a4,2746,,"[14.9, 5.2]",303516,65,,,,1.9013443,,Right Foot,,,,"[11.4, 15.4]",,Ground Pass,,10.783784,,,,,Jordi Alba Ramos,5211.0,,,,,,,2,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,134,Barcelona,217,"['9ce911dc-c6b7-448c-b60d-2d855bea3b70', 'ce69f543-6c27-4a0e-bdf8-046e706402bb']",1,,,,,,,,,,,,,,,,,Barcelona,217,00:20:01.107,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.274203,,,,,,,,,,,,,,a082651c-34af-4aba-8520-e93d0f25c75e,2749,,"[11.4, 14.2]",303516,65,,,,1.7371826,,Left Foot,,,,"[9.2, 27.3]",,Ground Pass,,13.283448,,,,,Samuel Yves Umtiti,5492.0,,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,134,Barcelona,217,['fcc80406-7849-4583-b947-d9627d0daf9f'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:20:03.190,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.127633,,,,,,,,,,,,,,63ef7413-59da-4c40-b745-5a2e4090af2e,2752,,"[7.6, 28.1]",303516,65,,,,1.9486676,,Right Foot,,,,"[2.4, 41.2]",,Ground Pass,,14.094325,,,,,Marc-André ter Stegen,20055.0,,,,,,,2,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,134,Barcelona,217,['051f3da7-24a8-40d7-a510-f468115c5222'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:20:05.150,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,2.501937,,,,,,,,,,,,,,0a84966e-7cd8-47f0-bbe9-1e25fee14ad2,2756,,"[4.5, 45.3]",303516,65,,,,0.8354427,,Right Foot,,,,"[32.0, 75.7]",,High Pass,,40.992805,,,,,Nélson Cabral Semedo,6374.0,,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,134,Barcelona,217,['b67aab3c-8113-4ef9-99b7-1ff027833e64'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:20:07.423,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,3.232995,,,,,,,,,,,,,,210b2030-b54e-4748-9074-f64ebabf06e2,2760,,"[33.0, 75.1]",303516,65,,,,-1.3052213,,Left Foot,,,,"[36.4, 62.6]",,Ground Pass,,12.95415,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,134,Barcelona,217,"['a75d9cd4-140c-4525-b561-9cf0b3f57ea4', 'b44aca90-3d8d-4934-9a9c-646b86f94234']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:20:10.941,Pass,True,2019/2020
