ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.500569,,,,,,,,,,,,,,21d65e3e-44ab-4f7e-a1bd-bc42bbe9983f,20,,"[31.5, 19.3]",3773477,0,,,,,1.9544623,,Left Foot,,,,"[22.7, 41.1]",,Ground Pass,,23.509148,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['b9176565-4bc6-4d46-9c0f-f8931357e7e0'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.670,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.492469,,,,,,,,,,,,,,cf9ea11b-69c2-4b76-8eeb-d5f8d7bf473d,23,,"[22.8, 40.3]",3773477,0,,,,,-1.3204529,,Right Foot,,,,"[28.4, 18.4]",,Ground Pass,,22.604645,,,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['93604377-ab81-43b0-9c37-98cde83e81f9'],21,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.094,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.862406,,,,,,,,,,,,,,3bd28302-eeab-4f03-adf6-080a193ee628,26,,"[35.2, 16.8]",3773477,0,,,,,-0.05413425,,Left Foot,,,,"[55.5, 15.7]",,Ground Pass,,20.32978,,,,,Pedro González López,30486.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['e4224fae-8e9e-40f6-9eb3-b48f8cc056a6'],24,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.361,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.251075,,,,,,,,,,,,,,ad1b7a2a-a3a0-4bf5-90e2-1feace220503,30,,"[52.9, 14.1]",3773477,0,,,,,-2.27441,,Left Foot,,,,"[47.3, 7.5]",,Ground Pass,,8.655634,True,,Incomplete,,Frenkie de Jong,8118.0,,,,,,,1,Regular Play,Pedro González López,30486.0,Left Midfield,3,Barcelona,217,"['1eeeef75-f205-4408-8786-4af3243afa92', '650b6d95-d62d-4947-88eb-5a36a0623432', '85b06331-956d-4d57-a65a-135083d38c02']",26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.163,Pass,True,2020/2021
,,,,,,,,,,,,,,,,0.724523,,,,,,,,,,,,,,093e1353-7143-41c5-a66d-37b289a2ef38,34,,"[76.1, 72.3]",3773477,0,,,,,-1.0262446,,Right Foot,,,,"[80.4, 65.2]",,Ground Pass,,8.300602,,,,,Sergio Canales Madrazo,6673.0,,,,,,,1,Regular Play,Joaquín Sánchez Rodríguez,6651.0,Right Wing,4,Real Betis,218,['e5d497c4-750f-43dd-abb1-147cb0f7aaa4'],28,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:28.540,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.713987,,,,,,,,,,,,,,f05f2378-94c6-4690-bf90-ee6ab9349efd,36,,"[79.8, 64.7]",3773477,0,,,,,-2.3799994,,Left Foot,,,,"[75.5, 60.6]",,Ground Pass,,5.9413805,,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,,1,Regular Play,Sergio Canales Madrazo,6673.0,Center Attacking Midfield,4,Real Betis,218,['41a0d61c-d21c-4af0-b59d-0711a8c63fc8'],29,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:29.264,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.967537,,,,,,,,,,,,,,8b1175eb-7078-4618-b8db-8b934d15fa42,39,,"[74.9, 60.6]",3773477,0,,,,,-2.3487134,,Right Foot,,,,"[55.0, 40.4]",,Ground Pass,,28.355776,,,,,Marc Bartra Aregall,7068.0,,,,,,,1,Regular Play,Joaquín Sánchez Rodríguez,6651.0,Right Wing,4,Real Betis,218,['e3688456-695d-46c5-8a54-1450dfdeedc0'],30,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:30.346,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.821178,,,,,,,,,,,,,,f547ccf4-a3ca-4749-951f-36a582d9c951,42,,"[55.8, 45.6]",3773477,0,,,,,1.5513436,,Right Foot,,,,"[56.3, 71.3]",,Ground Pass,,25.704863,,,,,William Silva de Carvalho,5214.0,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,4,Real Betis,218,['c3f5e92b-d9a8-4c13-a0cd-b13e43d3f3aa'],35,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:35.280,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.080619,,,,,,,,,,,,,,474b3e4f-e824-49c5-a2c1-1664578dcb2e,45,,"[61.4, 74.1]",3773477,0,,,,,0.51669514,,Right Foot,,,,"[70.2, 79.1]",,Ground Pass,,10.121264,,,,,Emerson Aparecido Leite de Souza Junior,23522.0,,,,,,,1,Regular Play,William Silva de Carvalho,5214.0,Right Center Midfield,4,Real Betis,218,['64d40463-e776-48c1-842b-d5601a98efa8'],37,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:37.898,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.249586,,,,,,,,,,,,,,8799c670-db6e-49ab-b27b-0b972176af60,48,,"[70.2, 79.1]",3773477,0,,,,,-3.0324392,,Right Foot,,,,"[62.9, 78.3]",,Ground Pass,,7.3437047,,,,,William Silva de Carvalho,5214.0,,,,,,,1,Regular Play,Emerson Aparecido Leite de Souza Junior,23522.0,Right Back,4,Real Betis,218,['dfdf4074-b00e-447f-933a-72914264fce3'],40,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:40.283,Pass,,2020/2021
