50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.181213,,,,,,,,,,,,,c2650ad4-8ce7-4448-8ecb-a7545bbd5548,17,,"[50.9, 22.8]",303517,0,,,,,-1.183169,,Right Foot,,"[57.8, 5.9]",,Ground Pass,,18.254314,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['5d08a0f0-3cc9-40d0-8467-f8a694f28e02'],13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.850,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,3.310471,,,,,,,,,,,,,a54450b3-60b8-4616-afd1-85e524d77012,19,,"[57.4, 5.9]",303517,0,,,,,2.429592,,Left Foot,,"[35.5, 24.8]",,Low Pass,,28.927841,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['7e32c5d5-db52-40cb-8259-3e44d864cd2b'],15,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.031,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.949012,,,,,,,,,,,,,f1186522-d9d8-444c-9710-bc2f22e3a9c8,22,,"[30.2, 26.3]",303517,0,,,,,2.5072098,,Left Foot,,"[9.0, 41.9]",,Ground Pass,,26.321095,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['ccf4444d-5140-494e-920b-96e02c1b3886'],18,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.958,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.312443,,,,,,,,,,,,,614aca6a-01f7-4e1b-a8ad-b0fe77f9ba51,25,,"[10.5, 42.9]",303517,0,,,,,-1.2839661,,Right Foot,,"[18.7, 15.1]",,Ground Pass,,28.984133,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['a61c40e0-3b84-44ce-9c8b-89584d71ccb3'],23,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.020,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,2.084307,,,,,,,,,,,,,15cdf363-e1d1-467a-b398-8468a56ee771,28,,"[28.7, 12.1]",303517,0,,,,,1.6826621,,Left Foot,,"[23.6, 57.5]",,Ground Pass,,45.685555,,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['aa36a9fa-782b-4079-8d75-f7cedc1d1a1c'],28,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.674,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.296118,,,,,,,,,,,,,70921672-f867-4717-a3b5-508fead80420,31,,"[27.8, 57.9]",303517,0,,,,,0.7032889,,Right Foot,,"[49.5, 76.3]",,Ground Pass,,28.450834,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['59e35290-dcfb-4c07-9ae1-063a15eed3e6'],32,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.489,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.705955,,,,,,,,,,,,,065bf8f2-235d-4c0b-8b73-c989cf8ab789,34,,"[49.5, 77.6]",303517,0,,,,,0.0,,Right Foot,,"[57.2, 77.6]",,Ground Pass,,7.7,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['e529fb1c-c9e2-48d7-a8a1-631c6b217708'],34,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.794,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.874408,,,,,,,,,,,,,2160c2a6-3b13-4491-ac0e-35d4a5837274,36,,"[57.2, 77.4]",303517,0,,,,,3.038068,,Left Foot,,"[49.5, 78.2]",,Ground Pass,,7.741447,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['8e400a8d-119e-47c7-b0a0-7f3600740d41'],35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.500,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.769245,,,,,,,,,,,,,a1df1f18-58b3-4777-a9ac-3801f3599bc8,39,,"[35.3, 75.5]",303517,0,,,,,-1.7439712,,Left Foot,,"[29.3, 41.2]",,Ground Pass,,34.820827,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['a341d092-32a0-4265-bffe-eeddc0c19590'],38,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.710,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.163214,,,,,,,,,,,,,5a193551-46bb-48a9-b628-72f25a4c43c9,42,,"[42.8, 39.1]",303517,0,,,,,-1.1950884,,Right Foot,,"[49.9, 21.1]",,Ground Pass,,19.349676,,,,Carles Aleña Castillo,13599.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['bf16157b-a1ae-4434-84f0-d5ff8e86b3c4'],43,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.720,Pass,,2019/2020
