ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,2.448144,,,,,,,,,,,,,,7417cc88-7e65-419d-96e3-9c0346bf7cab,16,,"[36.2, 60.5]",9774,0,,,,-1.9072278,,Right Foot,,,,"[23.4, 23.9]",,High Pass,,38.7737,,,,,Lucas Digne,6849.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Right Midfield,3,Barcelona,217,['fddbba90-2a06-4545-9416-9e6296e109f7'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.889,Pass,,2017/2018
,,,,,,,,,,,,,,0.992641,,,,,,,,,,,,,,1afd2a57-09dd-494f-b86c-56042880b898,19,,"[23.4, 23.9]",9774,0,,,,0.84572756,,Left Foot,,,,"[30.4, 31.8]",,Ground Pass,,10.555094,,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Lucas Digne,6849.0,Left Back,3,Barcelona,217,['a23aeb93-f6f9-47e2-b242-19ee99a76633'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.268,Pass,,2017/2018
,,,,,,,,,,,,,,2.353494,,,,,,,,,,,,,,0f604e7f-ef56-448a-ad74-e1deca08b65a,23,,"[31.3, 33.7]",9774,0,,,,1.3576653,,Right Foot,,,,"[37.1, 60.5]",,Ground Pass,,27.420431,,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Defensive Midfield,3,Barcelona,217,"['07aeaffc-1a5f-4e61-a3b4-0a03ee315cd1', 'c695e91e-f5f7-4c96-849e-70bc26463e02']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.207,Pass,True,2017/2018
,,,,,,,,,,,,,,0.87654,,,,,,,,,,,,,,7c501a6e-19be-44e0-b31d-625507c6868a,26,,"[37.1, 60.5]",9774,0,,,,1.1374425,,Right Foot,,,,"[43.3, 73.9]",,Ground Pass,,14.764823,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,José Paulo Bezzera Maciel Júnior,5542.0,Right Defensive Midfield,3,Barcelona,217,['9e0c108a-b820-4220-8012-69e9abb5761a'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.708,Pass,,2017/2018
,,,,,,,,,,,,,,1.63236,,,,,,,,,,,,,,bc652b89-00b1-4c93-8c62-f9ac1f1ec7d1,29,,"[43.3, 73.9]",9774,0,,,,-2.474185,,Right Foot,,,,"[24.9, 59.4]",,Ground Pass,,23.426695,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['3f5f7744-0d22-4a5a-85ba-d576fc20f214'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.635,Pass,,2017/2018
,,,,,,,,,,,,,,1.352206,,,,,,,,,,,,,,b5989547-bfc9-4e53-a4a3-c3fd7e11bd5a,32,,"[33.2, 59.6]",9774,0,,,,0.8436282,,Right Foot,,,,"[43.7, 71.4]",,Ground Pass,,15.795253,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['6a519923-31d6-4c8c-a292-c9e17e8f81b8'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.350,Pass,,2017/2018
,,,,,,,,,,,,,,0.831286,,,,,,,,,,,,,,9a275d9e-465f-4e91-8917-3a74ad373f56,35,,"[46.0, 71.4]",9774,0,,,,0.4048918,,Left Foot,,,,"[54.4, 75.0]",,Ground Pass,,9.138927,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['62608f59-2414-4fb1-9733-d91447d2fafa'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.784,Pass,,2017/2018
,,,,,,,,,,,,,,0.645113,,,,,,,,,,,,,,e2e583d2-31b2-4cf8-b529-fe1614684cd9,38,,"[54.4, 75.0]",9774,0,,,,-2.540025,,Right Foot,,,,"[42.6, 66.9]",,Ground Pass,,14.312582,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Right Midfield,3,Barcelona,217,['6250c0cd-3f27-4a03-9ac7-14216f35cef0'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.519,Pass,,2017/2018
,,,,,,,,,,,,,,1.76252,,,,,,,,,,,,,,2ab7177d-2f70-48cb-8356-e61721eaf824,41,,"[42.6, 66.9]",9774,0,,,,-1.966023,,Right Foot,,,,"[35.8, 50.6]",,Ground Pass,,17.661541,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['bf9ce422-8b57-43f3-846a-fa983f0f36ce'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.641,Pass,,2017/2018
,,,,,,,,,,,,,,2.685361,,,,,,,,,,,,,,efea9889-0429-42fe-8d58-7f1b1c8fc07b,44,,"[35.8, 50.6]",9774,0,,,,-1.1828333,,Right Foot,,,,"[53.7, 6.8]",,High Pass,,47.316486,,,Incomplete,,Lucas Digne,6849.0,,True,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,"['29d87ff5-5f41-41f6-841e-c80d0fce0718', 'cd78bfdc-673c-4f58-b5f3-ab2c8bf5eb40']",37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.780,Pass,,2017/2018
