50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.544339,,,,,,,,,,,,,,fab8ed3d-2eae-471f-9cbf-18be0a162792,19,,"[40.2, 15.3]",69164,0,,,,,-1.1836122,,Head,,,"[44.4, 5.0]",,High Pass,,11.123399,,,,Ignacio Pérez Santamaría,25892.0,,,,,,Interception,1,Regular Play,Juan Antonio Rodríguez Villamuela,25881.0,Left Center Midfield,4,Málaga,223,"['1727ade3-38b0-43fd-b709-e04178bc5c43', '1b369fd4-4217-4f22-a624-e3c6178a27d6']",19,,,,,,,,,,,,,,,,,,,Málaga,223,00:00:19.023,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.9266,,,,,,,,,,,,,,5dd1a66b-c9a4-4062-b06c-3ae7360fa87e,22,,"[44.4, 5.0]",69164,0,,,,,0.63502675,,Left Foot,,,"[55.8, 13.4]",,Low Pass,,14.160508,,,,Pablo González Couñago,26461.0,,,,,,,1,Regular Play,Ignacio Pérez Santamaría,25892.0,Left Midfield,4,Málaga,223,['9edf42b7-1a3e-4dd8-bbe0-d217d4effcc5'],21,,,,,,,,,,,,,,,,,,,Málaga,223,00:00:21.250,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.94634,,,,,,,,,,,,,,54a59abc-96f1-4d17-b6a3-4703333ec582,29,,"[49.4, 70.3]",69164,0,,,,,-1.4233592,,Right Foot,,,"[50.9, 60.2]",,Ground Pass,,10.210778,,,,Mark van Bommel,19296.0,,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,5,Barcelona,217,['26c60394-b291-484f-9b31-782542db6d50'],29,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.579,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.86329,,,,,,,,,,,,,,3a9caa89-5a7c-41aa-9869-6ce67cda6c3a,31,,"[50.9, 60.2]",69164,0,,True,,,0.8468095,,Right Foot,,,"[65.4, 76.6]",,Ground Pass,,21.890865,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Mark van Bommel,19296.0,Left Center Midfield,5,Barcelona,217,['3f5a861f-ab3b-47c5-b105-8a9c2ef77e33'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.333,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,1.333446,,,,,,,,,,,,,,603540f8-e2d7-4914-8bb3-3716cea24fcd,33,,"[64.5, 76.3]",69164,0,,True,,,-0.7145492,,Right Foot,,,"[72.8, 69.1]",,Ground Pass,,10.9877205,,,,Ludovic Giuly,25878.0,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,['1aedfdd1-9dfb-4eba-a9ed-bd0665060236'],32,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.542,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.978899,,,,,,,,,,,,,,c025b28a-630f-46bc-95a4-1d7c17082946,35,,"[86.4, 54.7]",69164,0,,,,,-2.1883886,,Right Foot,,,"[78.8, 44.0]",,Ground Pass,,13.124405,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Ludovic Giuly,25878.0,Right Wing,5,Barcelona,217,['bf72b168-fe05-4e31-9685-4d11b30fbf76'],36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.039,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,1.320046,,,,,,,,,,,,,,9352089f-d49a-42fd-a23f-2ac18bc1150d,37,,"[78.8, 44.0]",69164,0,,,,,2.0974236,,Right Foot,,,"[73.8, 52.6]",,Ground Pass,,9.947865,,,,Mark van Bommel,19296.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['71959c18-ecf4-46bd-aa00-ddf6677fb998'],37,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.018,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,2.115183,,,,,,,,,,,,,,14bfa401-ba2b-4f7e-bde9-2d2d79da29fc,40,,"[73.8, 52.6]",69164,0,,,,,-1.414706,,Right Foot,,,"[81.7, 2.4]",,Ground Pass,,50.81781,,,,Sylvio Mendes Campos Junior,25854.0,,,True,,,,1,Regular Play,Mark van Bommel,19296.0,Left Center Midfield,5,Barcelona,217,['0373b32d-e23c-4fbd-bbf0-ad580f6272f6'],38,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.590,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,1.582964,,,,,,,,,,,,,,c2bfff1f-876b-4e3d-8d17-adb64a60d0a7,43,,"[82.8, 3.5]",69164,0,,,,,2.4420755,,Left Foot,,,"[74.6, 10.4]",,Ground Pass,,10.716809,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,5,Barcelona,217,['5fdd3eb1-7c51-42be-adfe-be5fc3a0156d'],40,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.739,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.771248,,,,,,,,,,,,,,e78ea46e-ad60-483a-ab35-395a8b29fb05,46,,"[74.6, 10.4]",69164,0,,,,,1.4315171,,Right Foot,,,"[76.1, 21.1]",,Ground Pass,,10.804628,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,['d1bd2f0b-6841-487c-8aa3-1972c61e1ad8'],43,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.422,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,0.988811,,,,,,,,,,,,,,85b22c17-28a5-4027-a240-2f44845df4b5,50,,"[77.5, 20.9]",69164,0,,,,,-2.4318075,,Right Foot,,,"[70.4, 14.8]",,Ground Pass,,9.360556,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,"['62923a76-6142-4431-95fb-3cc447f3f1d1', '76bdac7b-e796-4260-a7d0-1adfb54fb82e']",44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.464,Pass,True,2005/2006
,,,,,,,,,,,,,,,,,,,2.157981,,,,,,,,,,,,,,e54eb887-80d4-4e98-bfe7-a84a1e91c441,53,,"[66.2, 15.9]",69164,0,,,,,1.8925469,,Right Foot,,,"[54.6, 50.7]",,Ground Pass,,36.682423,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,['5bb956dc-29dc-4ae5-90cb-dc9b96e45d1e'],46,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.050,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,,1.639313,,,,,,,,,,,,,,a9d44c59-b461-41ec-92cd-a95cec1f0bb4,56,,"[69.9, 63.7]",69164,0,,,,,0.03407771,88c93943-9aea-4ef5-a977-6d3dfd714652,Right Foot,,,"[78.7, 64.0]",,Ground Pass,,8.805112,,,,Samuel Eto''o Fils,19298.0,True,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,5,Barcelona,217,['b6633819-3d09-4a11-a618-7e918ed7e88b'],52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.802,Pass,,2005/2006
