50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.979109,,,,,,,,,,,,,,b0964f5b-e02c-470c-bdf7-035db551c88d,16,,"[40.1, 18.4]",9581,0,,,,1.3990362,,Right Foot,,,,"[41.8, 28.2]",,Ground Pass,,9.946356,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Gerard Deulofeu Lázaro,3726.0,Left Wing,3,Barcelona,217,"['357fd6a1-c1a8-4bf9-a845-d2f369a2fccd', '49dae94b-f13c-4d31-9a39-500cf1da48ee']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.378,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.190568,,,,,,,,,,,,,,84c1519c-34df-4e46-af55-da274f3b23d6,25,,"[77.5, 63.1]",9581,0,,,,1.1537471,,Right Foot,,,,"[84.5, 78.9]",,Ground Pass,,17.281204,,,,Óscar David Romero Villamayor,6628.0,,,,,,,1,Regular Play,Rubén Sobrino Pozuelo,6613.0,Center Forward,3,Barcelona,217,"['10c6ba98-2c6c-4e6d-a347-ad853287563b', '5c77a6e0-a57b-4b37-b83a-98a903bf1e81']",13,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:13.242,Pass,True,2017/2018
,,,,,,,,,,,,,,,,0.797246,,,,,,,,,,,,,,7205378d-ef8e-4f03-bc87-88a16585e3c6,44,,"[110.6, 68.9]",9581,1,,,,-1.375776,,Left Foot,True,,,"[115.4, 44.6]",,High Pass,,24.769537,,Unknown,,,,,,,,,Free Kick,1,From Free Kick,Óscar David Romero Villamayor,6628.0,Right Midfield,4,Deportivo Alavés,206,,9,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:01:09.746,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.094084,,,,,,,,,,,,,,eafc4a38-caf5-424a-830e-30ab1be4b9b0,47,,"[8.9, 38.2]",9581,1,,,,0.97143775,,Left Foot,,,,"[33.7, 74.5]",,High Pass,,43.962826,,,,Sergi Roberto Carnicer,6379.0,,,,,,Free Kick,1,From Free Kick,Marc-André ter Stegen,20055.0,Goalkeeper,5,Barcelona,217,['142ad915-53ae-48db-9ff2-6b4e9ce2e5bd'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.848,Pass,,2017/2018
,,,,,,,,,,,,,,,,3.630977,,,,,,,,,,,,,,d6043e02-a996-4c72-bcae-9cbbd3c73206,50,,"[36.4, 75.3]",9581,1,,,,-0.1155373,,Right Foot,,,,"[88.1, 69.3]",,Ground Pass,,52.046997,,Incomplete,,Aleix Vidal Parreu,6400.0,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,5,Barcelona,217,"['3bd15aaa-9472-4b37-9c10-2df6fa39b195', 'f7f3e2cb-ceb9-4963-9633-a83cba74a0dd']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.293,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.162445,,,,,,,,,,,,,,91ba1fca-cbf4-4b13-92e8-fdf88d84c5f2,56,,"[105.8, 65.1]",9581,1,,,,-1.2400167,,Right Foot,True,,,"[114.9, 38.6]",,Low Pass,,28.018923,,Incomplete,,Gerard Deulofeu Lázaro,3726.0,,,,,,,1,From Free Kick,Aleix Vidal Parreu,6400.0,Right Wing,5,Barcelona,217,"['9670c835-2acb-48e6-a848-b4cae1d02f02', 'eddf6005-3450-4927-ada8-268f9d83eff2']",45,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:45.771,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.974466,,,,,,,,,,,,,,b5b66129-4869-489a-abe8-189e8201967f,66,,"[113.9, 8.5]",9581,1,,,,2.4237607,,Right Foot,,,,"[99.7, 20.9]",,Ground Pass,,18.852057,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Free Kick,Gerard Deulofeu Lázaro,3726.0,Left Wing,5,Barcelona,217,"['8e8edccc-3af7-40e5-b426-9279460b3139', 'a3ae0fa0-9395-422d-b161-16fae3e099b6']",55,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.739,Pass,True,2017/2018
,,,,,,,,,,,,,,,,0.508169,,,,,,,,,,,,,,1cac757f-e1f3-4708-ad92-1ef8190ff7cc,69,,"[100.6, 19.1]",9581,1,,,,1.7830669,,Right Foot,,,,"[98.1, 30.7]",,Ground Pass,,11.866339,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,['672bc06a-be22-4e5f-bc46-00181097b1b4'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.600,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.464659,,,,,,,,,,,,,,7835ba76-8954-4ef2-98c5-3a9be34c955d,73,,"[89.1, 22.6]",9581,2,,,,1.5209688,,Right Foot,,,,"[91.0, 60.7]",,High Pass,,38.147346,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,"['0cf798ba-4882-4f7c-a429-d644234adf90', 'd7011b9d-310c-4026-92a4-41d83c1de0fd']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:03.447,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.013697,,,,,,,,,,,,,,4406fff3-2efc-4d66-99b6-8726a4949af4,76,,"[91.6, 64.7]",9581,2,,,,-2.5816529,,Right Foot,,,,"[84.9, 60.5]",,Ground Pass,,7.9075913,,,,Ivan Rakitić,5470.0,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,5,Barcelona,217,['b0478582-f1b6-4089-b5e7-07b2383d335e'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:07.700,Pass,,2017/2018
