50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.35696,,,,,,,,,,,,,,,58c1e4ee-de2a-4fca-98c0-ed0d2a05ce25,18,,"[58.5, 1.8]",69183,0,,,,0.07500355,,Left Foot,,"[75.8, 3.1]",,Ground Pass,,17.348776,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['bddaa1ef-aad1-4569-8ffc-dc0b627c7b94'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.238,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.674673,,,,,,,,,,,,,,,2c746af7-fb02-43f6-b22f-4d1b2c060d97,22,,"[74.1, 15.5]",69183,0,,,,1.8147472,,Right Foot,,"[68.4, 38.4]",,Ground Pass,,23.598728,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['14c8fe0e-1e41-416a-bc22-9123e836ddc5'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.655,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.844926,,,,,,,,,,,,,,,494eeea3-f3e1-418e-a097-2c29f36eeb95,26,,"[69.8, 36.4]",69183,0,,,,0.5942137,,Right Foot,,"[80.9, 43.9]",,Ground Pass,,13.396268,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Barcelona,217,"['8ceef589-1dfc-4029-82aa-fcca0c8c1c9a', 'd6e79aa6-fa80-4af2-aa18-8a1a074145b8']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.782,Pass,True,2008/2009
,,,,,,,,,,,,,,,,2.5272,,,,,,,,,,,,,,,85c2bb0e-a485-4417-9f66-f290b03b347e,30,,"[82.9, 47.2]",69183,0,,,,0.3510309,,Right Foot,,"[111.3, 57.6]",,Ground Pass,,30.244339,,,Lionel Andrés Messi Cuccittini,5503.0,,,Through Ball,True,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['00963772-4e3d-498c-a40c-5f28635156f7'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.762,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.924931,,,,,,,,,,,,,,,a94dac88-f23f-4296-b196-d967f27f2a75,34,,"[111.3, 57.1]",69183,0,,,,-1.7541443,beb4409c-3a1b-4124-ab7a-1d40a05599d2,Right Foot,True,"[108.5, 42.0]",,Ground Pass,,15.357409,,,Thierry Henry,15516.0,True,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['2fdb0d93-fee1-4157-a3f3-550664b3001b', '42644c35-3d77-4e64-a6ce-b459d5257c35']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.358,Pass,True,2008/2009
,,,,,,,,,,,,,,,,0.447,,,,,,,,,,,,,,,5584a8b2-6197-4077-bce6-fabb8e3ce3e0,38,,"[116.0, 1.0]",69183,0,True,,,1.489674,,,,"[117.0, 13.3]",,Low Pass,,12.340584,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,"['39d9e16c-b4e7-4103-9f58-cee1eaf210f7', 'fbe76779-276c-4bbf-b117-9212287ece60']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.599,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.081397,,,,,,,,,,,,,,,008c7aa3-efb7-4307-8570-db5f190f92f2,41,,"[110.5, 1.0]",69183,0,,,,1.3726724,,,,"[115.8, 27.4]",,High Pass,,26.926752,Incomplete,,Thierry Henry,15516.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,"['27b3858a-0627-459f-997c-a03449f9d88b', '44f20b76-a848-40dc-8091-794aa05786b9']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.780,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.018846,,,,,,,,,,,,,,,f8c04930-fb6e-415a-9763-9cb2b83655c6,44,,"[110.7, 1.0]",69183,1,,,,2.8555412,,,,"[98.8, 4.5]",,Low Pass,,12.404032,,,Samuel Eto''o Fils,19298.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['a1540305-b714-40b8-b558-e62190f4d14d'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.284,Pass,,2008/2009
,,,,,,,,,,,,,,,,3.285736,,,,,,,,,,,,,,,43b52e75-958b-4853-a0d0-83ea03311e5a,48,,"[96.0, 3.3]",69183,1,,,,2.55359,,Right Foot,,"[81.3, 13.1]",,High Pass,,17.667202,,,Seydou Kéita,20169.0,,,,,,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,5,Barcelona,217,"['a67dabe7-2b86-4eb7-8ece-9f81fd55c15a', 'bc346b59-12aa-49b5-9473-af9ce43b1aeb']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.664,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.240521,,,,,,,,,,,,,,,2e17922b-86c4-45d7-b6b7-270627b1b13d,51,,"[82.1, 12.8]",69183,1,,,,-0.96380866,,Head,,"[89.6, 2.0]",,High Pass,,13.148765,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,Seydou Kéita,20169.0,Left Center Midfield,5,Barcelona,217,['648f4ec7-dfef-4640-b61f-bc823bcabd3b'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.148,Pass,,2008/2009
