bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.038702,,,,,,,,,,,,,,805a14ac-3b97-4899-85c9-59400f494326,3866,,"[83.8, 68.6]",3773689,93,,,,0.81569195,,Right Foot,,,"[90.2, 75.4]",,Ground Pass,,9.338094,,,Mario Gaspar Pérez Martínez,6772.0,,,,,,2,From Throw In,Yeremi Jesús Pino Santos,50494.0,Right Midfield,183,Villarreal,222,"['67c94707-9069-4fda-8c6a-129a55f2ff20', '6c18d98c-4231-4035-a890-604b9345955f']",40,,,,,,,,,,,,,,,,,,Villarreal,222,00:48:40.401,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.045794,,,,,,,,,,,,,,3a148561-9bf1-4ff5-9bf5-0198c67b3f4a,3870,,"[86.3, 73.7]",3773689,93,,,,2.742077,,Right Foot,,,"[81.8, 75.6]",,Ground Pass,,4.88467,,,Francis Joseph Coquelin,3437.0,,,,,,2,From Throw In,Mario Gaspar Pérez Martínez,6772.0,Right Back,183,Villarreal,222,"['c7bb4532-b00c-4770-bc32-13a5cc29759d', 'd162f3cc-7f3d-4648-b9e8-002f845d4fe3']",44,,,,,,,,,,,,,,,,,,Villarreal,222,00:48:44.701,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.81761,,,,,,,,,,,,,,6f2902af-57c4-423f-8b8c-a3af52b7d007,3874,,"[81.8, 75.9]",3773689,93,,,,-1.3011079,,Right Foot,,,"[85.2, 63.6]",,Ground Pass,,12.76127,,,Mario Gaspar Pérez Martínez,6772.0,,,,,,2,From Throw In,Francis Joseph Coquelin,3437.0,Right Center Midfield,183,Villarreal,222,"['b861a733-e18a-4c5b-a0c4-12f91e8e4e7a', 'f444b05f-719f-42a2-acae-5b9611b077a8']",46,,,,,,,,,,,,,,,,,,Villarreal,222,00:48:46.123,Pass,True,2020/2021
,,,,,,,,,,,,,,,2.070657,,,,,,,,,,,,,,b5b940d5-03e0-439c-9f53-619f885ade71,3881,,"[50.6, 22.7]",3773689,93,,,,-1.1612719,,Right Foot,,,"[58.5, 4.5]",,Ground Pass,,19.840614,,,Moriba Kourouma Kourouma,39073.0,,,,,,2,Regular Play,Frenkie de Jong,8118.0,Center Defensive Midfield,184,Barcelona,217,"['02fa5ab8-1b58-4253-8e35-74447178fa74', '331261f9-75ea-478d-922b-1794ec6f9987']",51,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:51.688,Pass,True,2020/2021
,,,,,,,,,,,,,,,3.498713,,,,,,,,,,,,,,88ff76a6-f621-4e21-a9a4-eda896e88565,3884,,"[69.7, 3.9]",3773689,93,,,,0.026499819,,Right Foot,,,"[111.2, 5.0]",,Ground Pass,,41.514576,,,Ousmane Dembélé,5477.0,,,,,,2,Regular Play,Moriba Kourouma Kourouma,39073.0,Left Center Midfield,184,Barcelona,217,['3a5c4845-80c1-426e-a28c-877fc78903fd'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:55.794,Pass,,2020/2021
,,,,,,,,,,,,,,,1.049692,,,,,,,,,,,,,,ca73ad64-d331-458e-8c6b-75af84b7c57b,3891,,"[113.5, 23.3]",3773689,94,,,,2.4490442,,Left Foot,True,,"[100.0, 34.5]",,Ground Pass,,17.541094,,Incomplete,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Ousmane Dembélé,5477.0,Left Center Forward,184,Barcelona,217,"['14e68a55-54a9-4322-a656-2e780710d3a4', 'd04c2c38-6345-493a-894d-d71d1a9bbf95']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:49:06.324,Pass,,2020/2021
,,,,,,,,,,,,,,,1.385921,,,,,,,,,,,,,,31cfed99-5290-4ff7-9703-4a17387ecefd,3897,,"[93.5, 60.0]",3773689,94,,,,2.2702003,,Left Foot,,,"[82.9, 72.6]",,Ground Pass,,16.465721,,,Ronald Federico Araújo da Silva,32480.0,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,184,Barcelona,217,['607d014f-9e2a-44ea-acb1-6e5fa6f285cb'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:49:15.796,Pass,,2020/2021
,,,,,,,,,,,,,,,1.018278,,,,,,,,,,,,,,085540ee-89f7-498a-a2a5-20bf9f8c6394,3899,,"[82.9, 72.6]",3773689,94,,,,0.4636476,,Right Foot,,,"[91.9, 77.1]",,Ground Pass,,10.062305,,,Óscar Mingueza García,43728.0,,,,,,2,Regular Play,Ronald Federico Araújo da Silva,32480.0,Right Center Back,184,Barcelona,217,['f9bb03b0-adb9-4eb9-a347-1d2cdae279cd'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:49:17.182,Pass,,2020/2021
,,,,,,,,,,,,,,,0.803336,,,,,,,,,,,,,,3285a54b-2c24-4f9e-8811-b2a817fb4065,3902,,"[91.3, 77.4]",3773689,94,,,,-1.2998495,,Right Foot,,,"[93.8, 68.4]",,Ground Pass,,9.340771,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,Regular Play,Óscar Mingueza García,43728.0,Right Wing Back,184,Barcelona,217,['fc5935bc-85ea-4001-b385-7da0aa262b8c'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:49:19.804,Pass,,2020/2021
,,,,,,,,,,,,,,,0.727215,,,,,,,,,,,,,,37403c2f-1ef7-41a5-821d-e2adc33ac917,3909,,"[94.9, 68.7]",3773689,94,,,,2.8370817,,Left Foot,,,"[87.9, 70.9]",,Ground Pass,,7.3375745,,,Óscar Mingueza García,43728.0,,,,,Free Kick,2,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Center Midfield,185,Barcelona,217,['e881a8ac-f5ce-4205-8d53-fed1b917dfa5'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:49:59.492,Pass,,2020/2021
