bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dd25e2e4-ff25-415f-bed5-bfff1064904b,1,,,69231,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,379ca304-3f8d-4776-8cbd-165f0880ab5a,2,,,69231,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26084, 'name': 'Iñaki Lafuente Sancha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 26244, 'name': 'Rafael Sastre Reus'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26250, 'name': 'Gerard Autet Serrabasa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 26661, 'name': 'Iván Hernández Soto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 25706, 'name': 'Raúl Miguel Cámara'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 16478, 'name': 'Miguel Marcos Madera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26255, 'name': 'Sergio Matabuena Delgado'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 26635, 'name': 'Luis Morán Sánchez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 26252, 'name': 'Diego Castro Giménez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 26229, 'name': 'Carmelo José González Jiménez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 6}, {'player': {'id': 26248, 'name': 'David Barral Torres'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6422e3c9-9615-428b-bf69-5f7ed0514840,3,,,69231,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['07f72dee-afa9-4022-8d1a-c302ba279d31'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,07f72dee-afa9-4022-8d1a-c302ba279d31,4,,,69231,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6422e3c9-9615-428b-bf69-5f7ed0514840'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,True,60f0c2c6-2b1d-4645-8d76-d2ebdfe2314f,1709,,,69231,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,99,Barcelona,217,['d6ba31ef-a2e5-4644-a558-0714a5111578'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,True,d6ba31ef-a2e5-4644-a558-0714a5111578,1710,,,69231,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,99,Barcelona,217,['60f0c2c6-2b1d-4645-8d76-d2ebdfe2314f'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,1.0491,,,,,,,,,,,,,,a13bf031-a580-4202-b0b9-d16e3c7e3984,5,,"[61.0, 41.0]",69231,0,,,,2.953371,,Right Foot,,,,"[56.8, 41.8]",,Ground Pass,,4.2755117,,,Carmelo José González Jiménez,26229.0,,,,,,Kick Off,1,From Kick Off,David Barral Torres,26248.0,Left Center Forward,2,Sporting Gijón,1041,['683ac1fe-1064-47d7-b122-77e3df1a575b'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.850,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.114503,,,,,,,,,,,,,,da54846e-8870-45c0-8823-f1447dcadf20,8,,"[56.8, 40.9]",69231,0,,,,-3.0252376,,Right Foot,,,,"[33.7, 38.2]",,Ground Pass,,23.257257,,,Iván Hernández Soto,26661.0,,,,,,,1,From Kick Off,Carmelo José González Jiménez,26229.0,Right Center Forward,2,Sporting Gijón,1041,['44e78210-abc1-4f17-971f-106c0d0a22c9'],2,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:02.198,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.7848,,,,,,,,,,,,,,79624319-d038-491c-b51b-b1c8b46417e8,11,,"[38.8, 35.1]",69231,0,,,,-0.4571752,,Right Foot,,,,"[76.0, 16.8]",,High Pass,,41.45757,Incomplete,,Diego Castro Giménez,26252.0,,,,,,,1,From Kick Off,Iván Hernández Soto,26661.0,Left Center Back,2,Sporting Gijón,1041,"['84e493c6-ae86-4962-80d8-6d0b5d90d23e', 'bff276e3-f648-493d-89fb-b5382a71cd67']",5,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:05.622,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.6338,,,,,,,,,,,,,,b6f8730c-eff7-4626-b531-6c427953a022,18,,"[43.8, 62.3]",69231,0,True,,,1.3370532,,Right Foot,,,,"[46.3, 72.8]",,Ground Pass,,10.793516,,,Sergio Busquets i Burgos,5203.0,,,,,,Free Kick,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['25101cb2-f63d-430b-927e-e96db41562ba'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.450,Pass,,2008/2009
