ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a88ee20-9303-49ca-a9bb-f024657f0125,1,,,267273,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,47e0ddca-b20b-4c70-91b4-76cb0c20032e,2,,,267273,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5f2d65e8-1d73-4f9f-96c5-f63b796058d4,3,,,267273,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['301cf09b-7591-4fff-afd9-08906f9bdac8'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,301cf09b-7591-4fff-afd9-08906f9bdac8,4,,,267273,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['5f2d65e8-1d73-4f9f-96c5-f63b796058d4'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5901058c-ddbf-46f1-8b55-2cef0c38a023,1870,,,267273,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Las Palmas,208,['344a0bd6-1675-43a4-b009-3f31f37b5ac0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,344a0bd6-1675-43a4-b009-3f31f37b5ac0,1871,,,267273,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Las Palmas,208,['5901058c-ddbf-46f1-8b55-2cef0c38a023'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.403676,,,,,,,,,,,,,2c17a047-ab2f-4484-9710-f57afecbdf20,5,,"[61.0, 41.0]",267273,0,,,,,-1.6539376,,Right Foot,,,,"[60.8, 38.6]",,Ground Pass,2.408319,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['a8ce7fec-4d17-4cbe-9471-c28b5489f4c3'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.661,Pass,,2015/2016
,,,,,,,,,,,,,,,1.180719,,,,,,,,,,,,,eac561e4-db28-4d9f-9a90-33210d339316,8,,"[61.7, 41.1]",267273,0,,,,,3.113431,,Right Foot,,,,"[47.5, 41.5]",,Ground Pass,14.205632,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['015998a8-d26b-4000-9efc-0be123129f63'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.345,Pass,,2015/2016
,,,,,,,,,,,,,,,1.4993,,,,,,,,,,,,,80eaee3c-61ed-40fa-90b0-f818bd8cc5c8,11,,"[47.5, 41.5]",267273,0,,,,,1.315614,,Left Foot,,,,"[50.5, 53.0]",,Ground Pass,11.884864,,,,Arda Turan,11094.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,2,Barcelona,217,['75c782bd-ad2a-4640-a936-9addde622484'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.226,Pass,,2015/2016
,,,,,,,,,,,,,,,0.985,,,,,,,,,,,,,b9697cc0-4a7e-4dd1-81ba-b9856327fe92,14,,"[50.5, 60.4]",267273,0,,,,,1.5281392,,Right Foot,,,,"[51.2, 76.8]",,Ground Pass,16.414932,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Arda Turan,11094.0,Right Center Midfield,2,Barcelona,217,['28b20da2-0bad-4b34-9e3d-f88b2eb218a2'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.645,Pass,,2015/2016
