50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.036082,,,,,,,,,,,,,,b75537a5-17b1-4480-be58-be2a3d624bab,2587,,"[23.0, 4.3]",15986,54,,,,,2.1344674,,Left Foot,,,,"[16.3, 14.9]",,Ground Pass,,12.539936,,,,,Juan Pedro Ramírez López,6572.0,,,,,,,2,Regular Play,Marc Muniesa Martínez,6560.0,Left Wing Back,120,Girona,211,['c1151f5b-5df6-48b0-bb41-602f06280111'],59,,,,,,,,,,,,,,,,,,Girona,211,00:09:59.327,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.294935,,,,,,,,,,,,,,9d530a50-d391-44d3-b513-ecd0dea34216,2591,,"[17.5, 12.1]",15986,55,,,,,-0.078040235,,Right Foot,,,,"[59.7, 8.8]",,High Pass,,42.32883,,,,,Borja García Freire,6567.0,,,,,,,2,Regular Play,Juan Pedro Ramírez López,6572.0,Left Center Back,120,Girona,211,"['30731e3d-c135-497c-8192-6851b196cd0a', 'e8cfc251-a301-4ddb-ae02-0e73dbda3aee']",1,,,,,,,,,,,,,,,,,,Girona,211,00:10:01.341,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,0.961503,,,,,,,,,,,,,,858ee739-fc02-4d44-8e59-1677f83f6798,2598,,"[51.4, 48.1]",15986,55,,,,,1.1178244,,Left Foot,,,,"[56.9, 59.4]",,Ground Pass,,12.567418,,,,,Sergio Busquets i Burgos,5203.0,,,,,,Recovery,2,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,121,Barcelona,217,"['e0633a4e-5fea-481c-a13d-2fb5e6bfb9a2', 'fe914b76-a7fd-4cf3-b681-2ff820a8b4ab']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:07.103,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,1.274345,,,,,,,,,,,,,,4484524a-6abd-4c85-93bc-1731596e2afd,2601,,"[57.9, 59.4]",15986,55,,,,,0.63486034,,Right Foot,,,,"[78.4, 74.5]",,Ground Pass,,25.46095,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,121,Barcelona,217,['31d1ee39-8fe9-4427-ad7d-e99047ea840f'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:09.563,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.411766,,,,,,,,,,,,,,41170868-6090-4522-be23-c2dee151db5b,2604,,"[85.7, 68.4]",15986,55,,,,,-0.6127167,,Left Foot,,,,"[105.9, 54.2]",,Ground Pass,,24.691698,,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,121,Barcelona,217,"['57932ea4-9965-446b-b1b9-cc4cbd2b5646', 'af6cc55c-21d2-46ee-9f4c-f6e34d097a3c']",12,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:12.956,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.469994,,,,,,,,,,,,,,2b1807c8-b0b7-4d16-ae7a-731208fbcb6a,2614,,"[71.7, 80.0]",15986,55,,True,,,-2.3999376,,,,,,"[56.2, 65.8]",,Low Pass,,21.02118,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Throw-in,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,122,Barcelona,217,['61d8377c-5f19-4687-9e5f-dace9af83cbd'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:27.360,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.623494,,,,,,,,,,,,,,b7c78872-ced8-44de-9de0-2d2df40a0d63,2616,,"[56.2, 64.9]",15986,55,,,,,-1.5606272,,Right Foot,,,,"[56.5, 35.4]",,Ground Pass,,29.501526,,,,,Samuel Yves Umtiti,5492.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['12b22481-1d84-4378-aada-db5595f42ef7'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:27.898,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.985259,,,,,,,,,,,,,,825c6d3e-e1e4-4e9d-b507-045c86c99e29,2619,,"[64.0, 35.3]",15986,55,,,,,1.5237722,,Left Foot,,,,"[64.8, 52.3]",,Ground Pass,,17.018812,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,122,Barcelona,217,['969d3ccc-a1de-48ec-9abb-8a5ef2d3b011'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:33.256,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.862423,,,,,,,,,,,,,,e4fd9273-e64c-481c-89bf-e6d5cebd0d7f,2621,,"[64.8, 52.3]",15986,55,,,,,2.2008302,,Right Foot,,,,"[61.3, 57.1]",,Ground Pass,,5.940539,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,122,Barcelona,217,['5f4e011e-01f8-4fda-8d52-a1e4df71cf86'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:34.241,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.009396,,,,,,,,,,,,,,f96646d0-1e2a-4cee-9660-caf1a706d1df,2624,,"[61.3, 57.1]",15986,55,,,,,0.99227214,,Right Foot,,,,"[70.9, 71.8]",,Ground Pass,,17.55705,,,,,Nélson Cabral Semedo,6374.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,122,Barcelona,217,['0ce0967e-7387-4274-a449-d32647f5d3cd'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:35.871,Pass,,2018/2019
