50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c8f166d-2799-48f4-ab60-d36164a2e4c7,1,,,267432,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 3362, 'name': 'Marlon Santos da Silva Barbosa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0026858c-2c04-40f4-99f2-9e6b6ed10841,2,,,267432,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 3093, 'name': 'Florian Grégoire Claude Lejeune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 6710, 'name': 'Rubén Peña Jiménez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6711, 'name': 'Enrique García Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Eibar,322,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,54f88dd5-9cc6-409d-a109-cfb6bbc318c7,3,,,267432,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1adf2522-caf6-4f66-8e53-998e39a804d7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1adf2522-caf6-4f66-8e53-998e39a804d7,4,,,267432,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['54f88dd5-9cc6-409d-a109-cfb6bbc318c7'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37f346b7-1460-40ef-9935-0ef01c24d361,1739,,,267432,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Barcelona,217,['5b2466ed-b6a2-4217-b026-d4b6ba42dba2'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b2466ed-b6a2-4217-b026-d4b6ba42dba2,1740,,,267432,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Barcelona,217,['37f346b7-1460-40ef-9935-0ef01c24d361'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,,1.039808,,,,,,,,,,,,,d1485ef5-caf0-477b-8f50-2248c6aafc9f,5,,"[61.0, 40.1]",267432,0,,,,-2.6051571,,Right Foot,,,"[35.1, 24.7]",,Ground Pass,,30.13254,,,,,Florian Grégoire Claude Lejeune,3093.0,,,,,Kick Off,1,From Kick Off,Sergio Enrich Ametller,6700.0,Right Center Forward,2,Eibar,322,['13d0412c-bae7-498e-add9-180d334d15b5'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.333,Pass,,2016/2017
,,,,,,,,,,,,,,,,,6.096029,,,,,,,,,,,,,3c3cb0f1-bc9a-4931-b6d9-a74d184a1fd7,9,,"[37.6, 29.7]",267432,0,,,,0.3326592,,Right Foot,,,"[119.8, 58.1]",,High Pass,,86.96781,,,Out,,Rubén Peña Jiménez,6710.0,,,,,,1,From Kick Off,Florian Grégoire Claude Lejeune,3093.0,Left Center Back,2,Eibar,322,['27d56ab0-b056-44bd-8fc4-aea851f11ecd'],5,,,,,,,,,,,,,,,,,Eibar,322,00:00:05.122,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.935671,,,,,,,,,,,,,22b74472-6b3e-47b4-8f91-7ef9c7b924a4,11,,"[6.0, 44.0]",267432,0,,,,-0.43280905,,Right Foot,,,"[21.8, 36.7]",,Ground Pass,,17.404884,,,,,Sergio Busquets i Burgos,5203.0,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['86e44a95-6c27-41d4-9077-91a55fe5a0a6'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.771,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.182295,,,,,,,,,,,,,51e818a5-09be-498c-ad13-df6290cd4e02,15,,"[21.1, 35.2]",267432,0,,,,2.6269453,,Right Foot,,,"[4.3, 44.7]",,Ground Pass,,19.3,,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Goal Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['0c9b4f9d-2b9e-4b44-b0cc-681f26161205', '91561fc0-e1e6-4e99-8987-5e2bb2c5fa9e']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.880,Pass,True,2016/2017
