bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.683173,,,,,,,,,,,,,dd019829-7219-448b-9676-6c36184cce2e,20,,,"[63.8, 70.8]",267197,0,,,,,-1.8424798,,Left Foot,,,,"[56.0, 42.8]",,Ground Pass,,29.066132,,,,,Sergi Roberto Carnicer,6379.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['25579bde-7cc8-4ca0-8a9d-16d26775eb6e'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.729,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.080396,,,,,,,,,,,,,4f3860e0-ab9e-45d6-9d42-2ee290c58d0b,23,,,"[60.8, 37.3]",267197,0,,,,,-1.1631649,,Right Foot,,,,"[66.5, 24.1]",,Ground Pass,,14.378108,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,4,Barcelona,217,['b2930d24-4699-415b-8683-0e65a88237c3'],28,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.606,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.265904,,,,,,,,,,,,,8b1850ed-7e64-4126-94bf-2189106d56ed,26,,,"[68.8, 22.4]",267197,0,,,,,-1.1768034,,Right Foot,,,,"[76.2, 4.6]",,Ground Pass,,19.27693,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['752e6f9c-b0b0-4798-9ef2-7280376e1566'],30,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.517,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.809308,,,,,,,,,,,,,3a7f32d2-47cf-4575-bec7-563b0f24933e,29,,,"[76.2, 4.6]",267197,0,,,,,-3.099245,,Left Foot,,,,"[64.4, 4.1]",,Ground Pass,,11.810589,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,['5f73189f-3d76-4587-95ee-6b4f15df7bc5'],34,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.247,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.378948,,,,,,,,,,,,,86839937-0c6e-448e-b661-598c82c0a6a3,32,,,"[64.4, 4.1]",267197,0,,,,,2.5339847,,Left Foot,,,,"[49.3, 14.6]",,Ground Pass,,18.391846,,,,,Thomas Vermaelen,6332.0,,,,,,1,From Free Kick,Jérémy Mathieu,10609.0,Left Back,4,Barcelona,217,['ed404571-6197-44a9-96c1-cb7d9bedd371'],36,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.201,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.486185,,,,,,,,,,,,,942b89b7-edb1-49e8-b569-b75703aa12b4,35,,,"[49.3, 18.0]",267197,0,,,,,1.7459999,,Left Foot,,,,"[43.6, 50.2]",,Ground Pass,,32.70061,,,,,Marc Bartra Aregall,7068.0,,,,,,1,From Free Kick,Thomas Vermaelen,6332.0,Left Center Back,4,Barcelona,217,['6d805454-a086-443c-99f2-4da45462578e'],38,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.705,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.313557,,,,,,,,,,,,,add74f8f-191b-48cf-9ca0-40c125d3017e,38,,,"[57.1, 52.5]",267197,0,,,,,-1.2966288,,Right Foot,,,,"[62.5, 33.3]",,Ground Pass,,19.944923,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,4,Barcelona,217,['327ce2eb-bbce-4893-8192-4f1edaa7775c'],44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.448,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.035252,,,,,,,,,,,,,996850b0-a524-46ee-b6af-9d8c45dd302e,41,,,"[66.5, 36.7]",267197,0,,,,,1.1333817,,Right Foot,,,,"[73.0, 50.6]",,Ground Pass,,15.344706,,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Center Defensive Midfield,4,Barcelona,217,['27e769c1-deb8-4c0f-9a43-c11f6ad883d7'],48,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.721,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.805607,,,,,,,,,,,,,4cd82c1a-9045-450b-86e1-014d9955a71d,44,,,"[70.7, 53.5]",267197,0,,,,,1.5957911,,Left Foot,,,,"[70.3, 69.5]",,Ground Pass,,16.005,,,,,Adriano Correia Claro,22102.0,,,,,,1,From Free Kick,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,4,Barcelona,217,['884cf1ee-9a74-4361-8197-1834c332afb9'],50,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.728,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.123349,,,,,,,,,,,,,0564c0bb-590f-48cf-963e-9ad9500309a2,47,,,"[69.9, 72.9]",267197,0,,,,,0.3168245,,Left Foot,,,,"[82.1, 76.9]",,Ground Pass,,12.839003,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Right Back,4,Barcelona,217,['cb000f0d-ff76-405c-b37d-52c707006ccc'],53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.290,Pass,,2014/2015
