bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,3.8987,,,,,,,,,,,,348f4053-9e28-43f5-84f7-40b42829fcbf,18,,"[36.6, 2.8]",265952,0,,,,0.17165169,,Left Foot,,,,"[91.4, 12.3]",,High Pass,55.61735,,,Incomplete,,Carlos Castro García,24173.0,,,,,,,1,From Kick Off,Elderson Uwa Echiejile,27558.0,Left Back,2,Sporting Gijón,1041,"['83523fe9-3507-450a-b380-6e9e7f86909a', '847c4212-01af-4b44-923a-05338c94e9bb', 'b765d197-3111-4393-afa1-6361f7ba4367']",11,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:11.226,Pass,True,2016/2017
,,,,,,,,,,,,,,,,2.014292,,,,,,,,,,,,847c4212-01af-4b44-923a-05338c94e9bb,20,,"[28.7, 67.8]",265952,0,,,,-2.3844645,,Left Foot,,,,"[8.7, 48.9]",,Ground Pass,27.517448,,,,,Marc-André ter Stegen,20055.0,,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Center Midfield,3,Barcelona,217,"['348f4053-9e28-43f5-84f7-40b42829fcbf', 'cf3a0f4a-a3f3-402f-b040-b4830ec0c192']",15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.125,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.93418,,,,,,,,,,,,5f23c307-004e-4cb5-9b1e-9ddfbc39c5a4,23,,"[11.2, 47.4]",265952,0,,,,-0.9204926,,Right Foot,,,,"[20.1, 35.7]",,Ground Pass,14.70034,,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['df44eba7-59d8-49da-8fa4-0c927e8fc43d'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.654,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.147391,,,,,,,,,,,,f63e27c0-c815-43b3-8383-b216a1f294ab,26,,"[19.4, 38.2]",265952,0,,,,2.7079089,,Left Foot,,,,"[4.5, 45.1]",,Ground Pass,16.420109,,,,,Marc-André ter Stegen,20055.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Center Back,3,Barcelona,217,['baafc434-9d34-43b3-889a-0beb3af362b4'],20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.958,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.944,,,,,,,,,,,,6b5565c5-7f77-478f-801e-d8ce8c2d7a52,29,,"[12.3, 46.4]",265952,0,,,,-0.5797892,,Right Foot,,,,"[23.6, 39.0]",,Ground Pass,13.507405,,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['2c22f7e8-c791-4446-827f-8c9486cdbca6'],28,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.581,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.651682,,,,,,,,,,,,fe9d5d50-f43e-4289-a5c1-caa305f69ea6,32,,"[23.6, 38.6]",265952,0,,,,2.6392903,,Left Foot,,,,"[9.4, 46.4]",,Ground Pass,16.201235,,,,,Marc-André ter Stegen,20055.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Center Back,3,Barcelona,217,['d21df0ec-0607-4568-8926-356dcb788651'],29,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.605,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.2889,,,,,,,,,,,,cb3911e9-8aa1-4fc4-ac2c-8b9d85cee1a7,35,,"[16.5, 47.6]",265952,0,,,,0.5160857,,Right Foot,,,,"[44.7, 63.6]",,Ground Pass,32.422832,,,,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['a0c5b246-e4c7-4fc0-a042-7019ae82fc69'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.319,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.8768,,,,,,,,,,,,e562cedf-a8ba-46a9-8955-bc23ba994305,38,,"[44.7, 63.6]",265952,0,,,,-1.1393956,,Right Foot,,,,"[50.5, 51.0]",,Ground Pass,13.870832,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,['07b4b2af-b3e7-4c54-ad15-a8e23986ac8e'],35,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.688,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.1651,,,,,,,,,,,,12274eaa-ec79-453c-a31e-1fbbc3290fd4,52,,"[34.7, 75.4]",265952,0,,,,-1.2268273,,Left Foot,,,,"[37.1, 68.7]",,Ground Pass,7.1168814,,,Incomplete,,Ivan Rakitić,5470.0,,,,,,,1,Regular Play,Rafael Alcântara do Nascimento,6998.0,Right Wing Back,3,Barcelona,217,"['4b0bd829-fc84-48e8-9d30-80b6cfb5d649', '59270001-53f0-4464-a669-291815c40881']",45,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.338,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.7244,,,,,,,,,,,,4b0bd829-fc84-48e8-9d30-80b6cfb5d649,54,,"[83.0, 11.4]",265952,0,,,,0.6435011,,Right Foot,,,,"[91.4, 17.7]",,Low Pass,10.5,,,Incomplete,,Carlos Castro García,24173.0,,,,,,Recovery,1,Regular Play,Sergio Álvarez Díaz,13107.0,Left Center Midfield,3,Barcelona,217,"['12274eaa-ec79-453c-a31e-1fbbc3290fd4', '74636ba7-a99f-46c6-97e5-a9133e6ab251', 'c0fbddb5-3fc6-43ff-867e-c092e4348d6a']",46,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:46.503,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.4195,,,,,,,,,,,,32ddca6c-3a6e-48e9-8166-0344754f9b1d,58,,"[29.9, 64.2]",265952,0,,,,-0.7593817,,Right Foot,,,,"[57.5, 38.0]",,High Pass,38.05522,,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,3,Barcelona,217,"['4c03b11c-a119-4c66-9f29-6af22d7ffa94', 'aca4ee40-79ba-420e-b41b-33ff7fd85e24']",48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.526,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.0009,,,,,,,,,,,,4c03b11c-a119-4c66-9f29-6af22d7ffa94,60,,"[62.6, 42.1]",265952,0,,,,-1.1720979,,Head,,,,"[73.3, 16.7]",,High Pass,27.561749,,,,,Sergio Álvarez Díaz,13107.0,,,,,,Recovery,1,Regular Play,Manuel Castellano Castro,24508.0,Right Back,4,Sporting Gijón,1041,"['32ddca6c-3a6e-48e9-8166-0344754f9b1d', '5d7b69c2-d1ed-40f5-adae-8f8560ff0228']",50,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:50.946,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.1498,,,,,,,,,,,,40f16b04-3e09-4cb7-aaed-be7b05957541,64,,"[83.4, 16.7]",265952,0,,,,-1.4020462,,Right Foot,,,,"[85.7, 3.2]",,Low Pass,13.694525,,,,,Elderson Uwa Echiejile,27558.0,,,,,,,1,Regular Play,Sergio Álvarez Díaz,13107.0,Left Center Midfield,4,Sporting Gijón,1041,['66a2f581-1548-4576-b132-c7bffc8ee636'],55,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:55.828,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.035421,,,,,,,,,,,,a6fa2340-0a7b-4168-a236-ca2dc600da29,67,,"[88.7, 2.6]",265952,0,,,,0.13151167,,Left Foot,,,,"[107.6, 5.1]",,Ground Pass,19.064627,,,,,Sergio Álvarez Díaz,13107.0,,,,,,,1,Regular Play,Elderson Uwa Echiejile,27558.0,Left Back,4,Sporting Gijón,1041,['4dff89bd-8fa4-47e3-b112-a0ff1ff9c813'],58,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:58.346,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.093373,,,,,,,,,,,,7766dd73-ac8b-4ee0-ac35-57489ed73e4a,70,,"[111.8, 9.6]",265952,1,,,,3.1415927,,Right Foot,,,,"[104.7, 9.6]",,Ground Pass,7.1,,,,,Jorge Franco Alviz,6624.0,,,,,,,1,Regular Play,Sergio Álvarez Díaz,13107.0,Left Center Midfield,4,Sporting Gijón,1041,['1a16ff11-09b0-4dd7-9336-96f73ad626d6'],3,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:03.211,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.446292,,,,,,,,,,,,941d8a2a-eb9b-461a-ba2b-66c2ab887b28,73,,"[102.3, 5.8]",265952,1,,,,2.7321556,,Right Foot,,,,"[86.4, 12.7]",,Ground Pass,17.332628,,,,,Ignacio Cases Mora,18925.0,,,,,,,1,Regular Play,Jorge Franco Alviz,6624.0,Left Midfield,4,Sporting Gijón,1041,['4802f3a2-709e-4613-8853-8f5eba677912'],5,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:05.168,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.432826,,,,,,,,,,,,21579851-a1a8-46d6-97a9-e9b950435291,77,,"[85.1, 17.7]",265952,1,,,,2.8858502,,Left Foot,,,,"[63.3, 23.4]",,Ground Pass,22.532866,,,,,Juan Rodríguez Martínez,25591.0,,,,,,,1,Regular Play,Ignacio Cases Mora,18925.0,Right Center Midfield,4,Sporting Gijón,1041,['817287d0-bf7a-4e7a-9bfc-0dc5a3e992d1'],8,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:08.295,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.545815,,,,,,,,,,,,d1ccec21-1ecd-4e01-9899-a76eb3f1ca9a,79,,"[63.3, 23.4]",265952,1,,,,-0.8855907,,Right Foot,,,,"[80.3, 2.6]",,Ground Pass,26.863358,,,,,Jorge Franco Alviz,6624.0,,,,,,,1,Regular Play,Juan Rodríguez Martínez,25591.0,Left Center Back,4,Sporting Gijón,1041,['97409823-d9f7-4bb7-b762-58d52c1bc41e'],9,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:09.728,Pass,,2016/2017
