bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.012964,,,,,,,,,,,,,d615902f-c8d6-44d1-9819-aaf92d3f3b19,16,,"[13.6, 54.6]",15978,0,,,,-1.6879051,,Right Foot,,,"[9.8, 22.3]",,Ground Pass,,32.522762,,,Samuel Yves Umtiti,5492.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['fc6e5557-120a-46ae-8973-be43c1bbbc4a'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.368,Pass,,2018/2019
,,,,,,,,,,,,,,,2.585233,,,,,,,,,,,,,2368166a-7757-4311-a084-689dd7a54221,19,,"[30.9, 6.9]",15978,0,,,,2.2182996,,Left Foot,,,"[9.8, 34.8]",,Ground Pass,,34.98028,,,Marc-André ter Stegen,20055.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['d9370f13-affe-417e-a9ae-74cc4e8996c1'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.397,Pass,,2018/2019
,,,,,,,,,,,,,,,2.16366,,,,,,,,,,,,,ea25feb6-e64a-474b-891d-0ee33ab88e7d,22,,"[8.4, 38.9]",15978,0,,,,0.97361964,,Right Foot,,,"[33.9, 76.4]",,Ground Pass,,45.348648,,,Nélson Cabral Semedo,6374.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['c31427f0-683f-43d9-801b-cd136c85ee2d'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.031,Pass,,2018/2019
,,,,,,,,,,,,,,,1.343575,,,,,,,,,,,,,b5e3e115-d8fb-42b7-a0a6-f7c0ad834354,25,,"[35.5, 76.7]",15978,0,,,,0.056278538,,Right Foot,,,"[49.7, 77.5]",,Ground Pass,,14.222517,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['01107092-87a3-481f-ba49-41d9d7897e8b'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.149,Pass,,2018/2019
,,,,,,,,,,,,,,,1.761874,,,,,,,,,,,,,cddd6fe6-b309-4693-bde3-7d39a571d5ca,33,,"[68.2, 2.3]",15978,0,,,,2.9700665,,Right Foot,,,"[55.5, 4.5]",,Ground Pass,,12.889143,,,Igor Zubeldia Elorza,6676.0,,,,,,,1,Regular Play,David Zurutuza Veillet,6669.0,Left Midfield,4,Real Sociedad,210,['7fb038e6-af15-4f23-85a6-255dbd7d3223'],40,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:40.241,Pass,,2018/2019
,,,,,,,,,,,,,,,1.393622,,,,,,,,,,,,,30c792aa-ac31-4991-84ee-531afa642e7e,36,,"[50.7, 4.4]",15978,0,,,,2.6582847,,Right Foot,,,"[36.6, 11.8]",,Ground Pass,,15.923882,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,,1,Regular Play,Igor Zubeldia Elorza,6676.0,Right Defensive Midfield,4,Real Sociedad,210,['fafd1139-b60c-4807-9061-bbdada556eac'],42,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:42.643,Pass,,2018/2019
,,,,,,,,,,,,,,,1.711427,,,,,,,,,,,,,6ed3de4c-02fc-4a4f-ac16-662a1e36d3cc,39,,"[35.8, 11.8]",15978,0,,,,-0.3416155,,Right Foot,,,"[49.3, 7.0]",,Low Pass,,14.327945,Incomplete,,Igor Zubeldia Elorza,6676.0,,,,,,,1,Regular Play,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,4,Real Sociedad,210,"['504eb096-fe30-43b7-8b26-7befff507a05', '72d8267b-6acb-4db2-847f-958cf3c3ec76']",44,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:44.156,Pass,,2018/2019
,,,,,,,,,,,,,,,1.767257,,,,,,,,,,,,,f2cdda3c-5f5e-4075-b7de-d1f471a19344,48,,"[40.8, 15.4]",15978,0,,,,2.2804775,,Right Foot,,,"[27.4, 31.0]",,Ground Pass,,20.56502,,,Aritz Elustondo Irribaria,6679.0,,,,,,,1,Regular Play,Igor Zubeldia Elorza,6676.0,Right Defensive Midfield,4,Real Sociedad,210,['8a38720d-0f8d-4735-9730-2ba8ed8c48fd'],48,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:48.776,Pass,,2018/2019
,,,,,,,,,,,,,,,2.163277,,,,,,,,,,,,,71a786e8-b6a7-4aa3-a0fc-f4a37facf9cf,51,,"[29.3, 34.6]",15978,0,,,,1.2798053,,Right Foot,,,"[41.1, 74.0]",,Ground Pass,,41.129066,,,Joseba Zaldúa Bengoetxea,6605.0,,,,,,,1,Regular Play,Aritz Elustondo Irribaria,6679.0,Right Center Back,4,Real Sociedad,210,['7b7b5885-6b6b-469a-ab6c-07f2a160bbd0'],50,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:50.832,Pass,,2018/2019
,,,,,,,,,,,,,,,2.068176,,,,,,,,,,,,,4625205f-7d30-43aa-9087-637bf3471ef6,54,,"[42.7, 74.1]",15978,0,,,,-2.274101,,Right Foot,,,"[28.2, 57.0]",,Ground Pass,,22.42008,,,Aritz Elustondo Irribaria,6679.0,,,,,,,1,Regular Play,Joseba Zaldúa Bengoetxea,6605.0,Right Back,4,Real Sociedad,210,['9174cd8e-f92d-4d27-b8a2-95ce345c94ab'],54,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:54.674,Pass,,2018/2019
