50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.855284,,,,,,,,,,,,ca9f403c-b954-4ccc-aa8c-af4e08ea7510,16,,"[51.4, 55.2]",266274,0,,,,-1.3878018,,Right Foot,,,"[57.1, 24.4]",,Ground Pass,,31.322994,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['6510d213-7e8c-43aa-9668-13211a95bf38'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.821,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.9934,,,,,,,,,,,,440fbf16-fe1f-4f3a-ac68-dfc78baa3529,19,,"[62.4, 20.9]",266274,0,,,,-1.1284221,,Right Foot,,,"[69.6, 5.7]",,Ground Pass,,16.819036,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['5204a7d0-c1f2-4e80-bfcf-61d53bd1f84e'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.172,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.1879,,,,,,,,,,,,e88c13dd-89b5-42a2-a542-b6b4fef21548,22,,"[69.8, 5.7]",266274,0,,,,2.782822,,Right Foot,,,"[64.2, 7.8]",,High Pass,,5.9808025,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,"['3265face-1bca-4056-b030-726151431289', 'dac05653-748e-4946-9a04-2856dcfde19b']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.166,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.612554,,,,,,,,,,,,d55d209c-4ac0-4c77-8c08-c45deda01d5d,26,,"[63.5, 10.5]",266274,0,,,,2.9441972,,Left Foot,,,"[56.5, 11.9]",,Ground Pass,,7.1386275,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['4f2086a4-4aab-46b7-b821-412f6c383ccf'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.072,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.476453,,,,,,,,,,,,764c7046-79f9-4f73-a7e9-ea1004f96aeb,29,,"[56.5, 11.9]",266274,0,,,,1.7476723,,Right Foot,,,"[49.1, 53.3]",,Ground Pass,,42.056152,,,,,Marc Bartra Aregall,7068.0,,True,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['4ca52ccc-d961-4f61-b0b9-997ee951a8c8'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.695,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.403944,,,,,,,,,,,,4755102e-bc4f-4a96-9bb0-8713f74b29a6,32,,"[49.1, 53.3]",266274,0,,,,0.7772683,,Right Foot,,,"[61.5, 65.5]",,Ground Pass,,17.395401,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Right Center Back,2,Barcelona,217,['260b4a63-7f87-463f-959d-0e2f75fc698d'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.259,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.8455,,,,,,,,,,,,e2af2af9-ef49-4f03-9e1d-32982dc076ef,35,,"[68.2, 72.1]",266274,0,,,,0.40094963,,Right Foot,,,"[77.4, 76.0]",,Ground Pass,,9.992497,,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['5841f6e2-9f7b-43b9-8886-dcd8c60f85a9'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.158,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.101475,,,,,,,,,,,,c2f5b87d-7606-4fa8-abfd-b97db3cbd0d2,38,,"[77.4, 76.0]",266274,0,,,,-2.5854263,,Right Foot,,,"[70.0, 71.4]",,Ground Pass,,8.713208,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Right Back,2,Barcelona,217,['ee7e3b0d-9056-4d99-b46a-caa295c54331'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.044,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.318571,,,,,,,,,,,,094ab8aa-9c1d-43ec-9af1-776525e0442c,41,,"[69.8, 71.4]",266274,0,,,,-1.1051995,,Right Foot,,,"[80.1, 50.9]",,Ground Pass,,22.9421,,,Incomplete,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,"['5f3e5310-cf27-4df8-bbdb-66f516f28355', 'eeb7dfad-877b-4abd-a52d-44dd2e34a431']",25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.284,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.2266,,,,,,,,,,,,291c17aa-289a-4ed0-9731-528c3cf6b044,45,,"[56.8, 41.4]",266274,0,,,,2.1471715,,Left Foot,,,"[46.4, 57.4]",,Ground Pass,,19.082977,,,,,Hugo Mallo Novegil,6805.0,,,,,,1,Regular Play,Augusto Matías Fernández,19668.0,Right Wing,3,Celta Vigo,209,['c0332e6d-1284-4bc7-9843-7e900c714167'],30,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:30.194,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.451832,,,,,,,,,,,,14e19d0f-c6dc-4b74-a62f-7db71d2c9925,48,,"[46.2, 57.7]",266274,0,,,,3.0362153,,Right Foot,,,"[35.8, 58.8]",,Ground Pass,,10.458012,,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,1,Regular Play,Hugo Mallo Novegil,6805.0,Right Back,3,Celta Vigo,209,['3833a26d-3c82-47ac-97a6-ea5ef63cbcc8'],31,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:31.630,Pass,,2013/2014
