50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.5786,,,,,,,,,,,,,0e66744b-5624-47ac-92e8-8f589b5215f8,17,,"[47.2, 34.8]",70304,0,,,,1.5213318,,Right Foot,,"[48.2, 55.0]",,Ground Pass,,20.224737,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['5bb6956b-2603-469a-9e62-639d9c42b922'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.599,Pass,,2012/2013
,,,,,,,,,,,,,,,1.281259,,,,,,,,,,,,,4a93892e-2725-40d4-b705-1156286a908c,20,,"[48.2, 55.0]",70304,0,,,,1.4241298,,Right Foot,,"[50.8, 72.6]",,Ground Pass,,17.79101,,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['8fdbb2c0-24df-4b81-bf8b-2261fa17c6e1'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.907,Pass,,2012/2013
,,,,,,,,,,,,,,,0.9034,,,,,,,,,,,,,403cf8bf-1945-43d8-bc57-abfd7fb571a8,23,,"[51.0, 71.8]",70304,0,,,,-2.3052182,,Right Foot,,"[41.7, 61.5]",,Ground Pass,,13.877319,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Right Back,2,Barcelona,217,['33a1ba52-9372-4dd2-b86f-c0f53da34cdf'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.025,Pass,,2012/2013
,,,,,,,,,,,,,,,2.0097,,,,,,,,,,,,,0a381a91-611f-435b-8b62-a2fd62a95e48,26,,"[41.9, 61.3]",70304,0,,,,-1.7166072,,Right Foot,,"[35.6, 18.4]",,Ground Pass,,43.36012,,,,,Javier Alejandro Mascherano,5506.0,,True,,,,1,From Kick Off,Alexandre Dimitri Song-Billong,27053.0,Right Center Back,2,Barcelona,217,['7658013d-e377-45d5-b83c-d6045d738aa0'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.037,Pass,,2012/2013
,,,,,,,,,,,,,,,1.295125,,,,,,,,,,,,,d4273ddd-70dc-4f88-bcbc-725cd81dd8df,29,,"[56.4, 28.5]",70304,0,,,,1.318841,,Right Foot,,"[64.2, 58.8]",,Ground Pass,,31.287857,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['8fed2559-76a6-4e2f-a587-dd2be8a5416b'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.502,Pass,,2012/2013
,,,,,,,,,,,,,,,0.8107,,,,,,,,,,,,,45f27278-e1c3-4ec7-b458-c38f84a837a6,33,,"[61.7, 57.7]",70304,0,,,,-1.2298174,,Right Foot,,"[66.1, 45.3]",,Ground Pass,,13.157507,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,['4f93342b-49f0-43b6-87cb-aae828b40952'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.343,Pass,,2012/2013
,,,,,,,,,,,,,,,0.7611,,,,,,,,,,,,,c99ca9dd-0008-4e9d-b4b2-2bdc1a0f3d7f,36,,"[66.1, 45.3]",70304,0,,,,0.89179105,,Right Foot,,"[75.3, 56.7]",,Ground Pass,,14.649232,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['d6046fdf-cff0-47aa-af48-2ace65bb1708'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.156,Pass,,2012/2013
,,,,,,,,,,,,,,,0.7242,,,,,,,,,,,,,74c96974-c016-4526-a051-b9472afba955,40,,"[75.1, 55.8]",70304,0,,,,-2.3239477,,Left Foot,,"[67.6, 47.8]",,Ground Pass,,10.965857,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,"['1cf68f26-ffa1-4932-a94e-5a308f1a98cb', 'f4552843-db9e-40c9-b963-93ddb73234f4']",27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.997,Pass,True,2012/2013
,,,,,,,,,,,,,,,0.990688,,,,,,,,,,,,,2375dd5d-18c6-4a09-a7ac-fc12daa95c85,43,,"[71.6, 46.0]",70304,0,,,,-0.61836445,,Right Foot,,"[91.7, 31.7]",,Ground Pass,,24.667793,,,Incomplete,,David Villa Sánchez,12737.0,,,Through Ball,True,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['169abb52-ede7-472a-993f-2468efda1647', '7ef88c32-a269-43f0-8188-eadfd7a93d7c']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.914,Pass,,2012/2013
,,,,,,,,,,,,,,,1.220557,,,,,,,,,,,,,98c977a8-d3b6-451e-839c-e96b5cda3b07,47,,"[30.1, 50.4]",70304,0,,,,0.18998829,,Right Foot,,"[43.1, 52.9]",,Ground Pass,,13.238202,,,,,Juan Carlos Valerón Santana,15602.0,,,,,,1,Regular Play,Carlos Marchena López,20127.0,Right Center Back,3,RC Deportivo La Coruña,219,['1c029495-ad30-4628-9844-e788d56a7bb9'],32,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:32.015,Pass,,2012/2013
