50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[91.6, 75.9]",,,,,,,,,,,,1.197411,,,,,,,,,,,,,96f34345-43c4-4276-8be7-5e90daede3ac,2881,,"[91.6, 75.9]",266142,65,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,127,Barcelona,217,"['0d93d8cf-6600-4e50-a6d0-8419b9ff9620', '35d2e38c-06f2-4d85-bf82-e121a4b1d5cf']",56,,,,,,,,,,,,,,,Barcelona,217,00:20:56.398,Carry,,2014/2015
,,,,,"[73.1, 62.3]",,,,,,,,,,,,1.098906,,,,,,,,,,,,,9eae79fb-2d8e-40cb-9e61-2179b9a7e3fe,2884,,"[77.1, 65.3]",266142,65,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,127,Barcelona,217,"['bc8d702a-9fe8-4190-bd87-929d3dcfca36', 'd272f1c8-3674-40f5-af00-99b2639f5258']",58,,,,,,,,,,,,,,,Barcelona,217,00:20:58.871,Carry,,2014/2015
,,,,,"[62.6, 28.7]",,,,,,,,,,,,0.816711,,,,,,,,,,,,,2647a4b3-183b-4731-a075-7146fff8dac8,2887,,"[62.2, 31.7]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jérémy Mathieu,10609.0,Left Center Back,127,Barcelona,217,"['ac65fcc9-5eee-4326-a7dc-cd3597c6eaa5', 'bf713eab-d154-45b8-8994-5d2f09df5e82']",2,,,,,,,,,,,,,,,Barcelona,217,00:21:02.026,Carry,,2014/2015
,,,,,"[56.3, 5.6]",,,,,,,,,,,,0.040000003,,,,,,,,,,,,,d9e8c7a1-779f-46a7-a88a-b2b02064d40f,2893,,"[56.3, 5.6]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,128,Barcelona,217,"['e251e47c-2e90-4d4b-adc5-41b702e74f0d', 'fe1b9c93-7f3f-461e-90d4-9cc3e4cea2c8']",13,,,,,,,,,,,,,,,Barcelona,217,00:21:13.593,Carry,,2014/2015
,,,,,"[53.7, 5.9]",,,,,,,,,,,,0.011600001,,,,,,,,,,,,,87160d79-a84f-472f-8d2e-061db89c5d27,2897,,"[53.2, 4.0]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,128,Barcelona,217,"['45fc80d8-964a-4f37-8ba6-e7bb91c92825', '5d073974-2bbf-4db3-bc0f-be7797f60110', 'baf6d4d9-4681-40bf-9126-ae36fa86ea5e']",14,,,,,,,,,,,,,,,Barcelona,217,00:21:14.379,Carry,True,2014/2015
,,,,,"[58.2, 1.7]",,,,,,,,,,,,0.944834,,,,,,,,,,,,,e70a3f4d-1220-48be-ad77-19f9eaee5ed6,2900,,"[56.5, 2.3]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,128,Barcelona,217,"['636dc04c-ef52-47bb-8a32-a4acfd0bfe96', '9b212990-4fa1-417c-85cf-176a19a02d7e', 'e52d2a0a-6d9b-4407-b931-5366f4579a44']",15,,,,,,,,,,,,,,,Barcelona,217,00:21:15.326,Carry,True,2014/2015
,,,,,"[64.6, 56.9]",,,,,,,,,,,,6.5191,,,,,,,,,,,,,1d87736c-96f3-4a7f-ae3a-e81ca3cab1a5,2907,,"[60.7, 66.2]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,129,Sevilla,213,"['0553f4ba-3407-4975-9f8f-c81e3153493e', '13a99a95-a92e-44d1-a44a-2bc7f175c39c', '23418c2a-d7d8-4663-906e-6925777861c0']",19,,,,,,,,,,,,,,,Sevilla,213,00:21:19.902,Carry,True,2014/2015
,,,,,"[91.4, 63.3]",,,,,,,,,,,,2.177851,,,,,,,,,,,,,d485f96d-999b-4bc4-bc4e-8cdd2a4fc215,2911,,"[78.4, 69.9]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carlos Arturo Bacca Ahumada,5688.0,Center Forward,129,Sevilla,213,"['1c01ce1b-187f-4658-bdd6-2391b09b7624', 'f6ed8486-9b16-409d-be06-42c7c4d1dda7']",27,,,,,,,,,,,,,,,Sevilla,213,00:21:27.597,Carry,,2014/2015
,,,,,"[99.4, 55.7]",,,,,,,,,,,,2.243716,,,,,,,,,,,,,da34ab1d-313e-4411-bebc-fe326346c3a8,2914,,"[93.4, 55.2]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Machín Pérez,6841.0,Left Wing,129,Sevilla,213,"['4806b7da-d51d-4f97-b7bd-b1d7cc581c67', '9c4926bf-c6f8-47bb-ac5f-0f551d248b3b', 'd4ee99d9-eea2-40af-ba46-e9a972cad71e']",30,,,,,,,,,,,,,,,Sevilla,213,00:21:30.437,Carry,True,2014/2015
,,,,,"[96.2, 58.9]",,,,,,,,,,,,0.8329,,,,,,,,,,,,,eb87706a-a071-430b-9667-695adda22fb2,2918,,"[98.5, 58.9]",266142,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vicente Iborra De La Fuente,3497.0,Right Center Midfield,129,Sevilla,213,"['0d653a4d-eaad-43f4-b1d7-74ba6819fc71', '970be560-6d9e-43cc-9b69-c518afa0818f', 'cb474259-8404-4145-8bc0-1eefef4e03e8']",33,,,,,,,,,,,,,,,Sevilla,213,00:21:33.030,Carry,True,2014/2015
