50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.521183,,,,,,,,,,,,,6a03c7af-9b58-481b-9005-201e1d4316e7,403,,,"[37.0, 23.6]",303548,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Center Forward,13,Mallorca,1043,"['6fbc5082-a100-46fe-aced-99b7af3c7c34', 'eb38da4d-5434-428c-8fdd-cb9311a4d63f']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:49.315,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.787265,,,,,,,,,,,,,c910fb2e-15c4-484b-aa47-7cc3bfdf16b1,419,,,"[20.1, 14.5]",303548,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,13,Mallorca,1043,"['58cc34c2-60b3-46ef-9463-278b795c1d99', 'f99a0d43-b887-4f10-9084-c1340ffcf3e5']",1,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:01.616,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.589684,,,,,,,,,,,,,9662892f-cf2e-41d4-a2c8-b55ee93bd573,429,,,"[27.9, 20.0]",303548,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,13,Mallorca,1043,"['07bb0ca3-ccc2-498d-b907-e78bc7b96133', '168d5817-77bc-4b0d-8f2c-ffd90debb6a3']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:07.114,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.520593,,,,,,,,,,,,,fb493472-c86d-4686-9742-f8aaf8d1a266,435,,,"[111.0, 76.1]",303548,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Daniel José Rodríguez Vázquez,24088.0,Left Midfield,13,Mallorca,1043,"['77b3e9fc-f36c-48b2-afa4-39fca62c6588', 'ec8407ba-61a7-44d7-8d58-47cc3645caaa']",13,,,,,,,,,,,,,,,,,,Mallorca,1043,00:09:13.094,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.346199,,,,,,,,,,,,,dd99a74b-37d1-487f-a547-5aa5075c7826,442,,,"[11.6, 14.2]",303548,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,13,Mallorca,1043,"['402b299f-f3bc-43f6-868e-e2a73ac92df2', '73e5171f-fc9f-4333-a89b-c17ad3461aee']",16,,,,,,,,,,,,,,,,,,Barcelona,217,00:09:16.821,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.65879,,,,,,,,,,,,,28c16603-6caf-4974-929b-055048d2bff2,468,,,"[24.7, 37.3]",303548,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio José Raillo Arenas,24086.0,Left Center Back,14,Barcelona,217,"['73b671c8-34ec-4f6d-ad67-98dc58b760fc', 'cd4627dc-504a-4fb2-914e-c4edfe782c7f']",42,,,,,,,,,,,,,,,,,,Mallorca,1043,00:09:42.745,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.388112,,,,,,,,,,,,,584c1b5b-c60e-43c6-a1db-de8a3842e4ee,491,,,"[52.2, 51.4]",303548,10,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Salvador Sevilla López,24072.0,Left Defensive Midfield,14,Barcelona,217,"['9e887a70-2d14-4e15-a395-5016cbe2069f', 'c1392062-7512-4313-933d-5d9964ba8673']",3,,,,,,,,,,,,,,,,,,Mallorca,1043,00:10:03.341,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.589425,,,,,,,,,,,,,f431beb6-bd0a-442d-a495-2736f43c3d05,511,,,"[108.1, 53.8]",303548,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,15,Barcelona,217,['617168e8-81c6-4cf6-90a7-f3cba5b2d3a4'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:10:57.915,Pressure,,2019/2020
,,,,,,,,,,,True,,,,,0.89805,,,,,,,,,,,,,6ceae7b4-3a8b-411e-94b4-952a2a1233e1,515,,,"[103.9, 60.3]",303548,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Gerard Piqué Bernabéu,5213.0,Right Center Back,15,Barcelona,217,['bdcd2e5c-9258-4870-a9cd-c6eb3fa7dc64'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:02.345,Pressure,,2019/2020
,,,,,,,,,,,True,,,,,0.358781,,,,,,,,,,,,,a4da3386-6397-4050-82a9-5cce9f8db98f,521,,,"[19.7, 15.7]",303548,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio José Raillo Arenas,24086.0,Left Center Back,17,Barcelona,217,"['55eab8de-34dd-49ed-8ea1-05d802e4e200', 'b2bc3ae3-5d8f-4d34-9d26-33c5bc9feb92']",28,,,,,,,,,,,,,,,,,,Mallorca,1043,00:11:28.932,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.476076,,,,,,,,,,,,,b3d93c72-15c4-4745-9af6-a6d1b992cc58,534,,,"[28.7, 37.0]",303548,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alejandro Pozo Pozo,24613.0,Right Back,17,Barcelona,217,"['937310d4-693d-4202-add7-6bfa18b914bb', 'adaad074-4a0a-45e4-bdde-a59cb0b818bf']",36,,,,,,,,,,,,,,,,,,Mallorca,1043,00:11:36.185,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.05866,,,,,,,,,,,,,075846e6-9643-4b3a-a265-280067dfe484,538,,,"[8.3, 42.7]",303548,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Pedraza Sarto,24269.0,Right Defensive Midfield,17,Barcelona,217,"['1fa7aeff-e489-456a-81c5-600b922d2145', '20ece3ed-9575-47f0-a5b1-2961338aabb1']",40,,,,,,,,,,,,,,,,,,Mallorca,1043,00:11:40.369,Pressure,,2019/2020
,,,,,,,,,,,True,,,,,0.72553,,,,,,,,,,,,,5f17ff6a-4f05-4ad7-9e95-31b4af0b441a,551,,,"[102.7, 8.4]",303548,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Antoine Griezmann,5487.0,Center Forward,18,Barcelona,217,['89d45295-dfa0-4f1e-a6b1-dfcd4bfbc210'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:11.870,Pressure,,2019/2020
,,,,,,,,,,,True,,,,,0.584117,,,,,,,,,,,,,6eee14e4-5af7-4f8d-b350-2d5f0f8433fc,556,,,"[73.4, 6.5]",303548,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,18,Barcelona,217,"['1ad33fb9-942e-4830-9e16-a0b5424f5413', '566d72e7-6353-4d13-8b96-fbfca26120d6', 'e15dffb4-8024-4b6d-a558-a96aed3a9868']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:14.999,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.686783,,,,,,,,,,,,,b740c32f-437f-44e7-86c1-44859bbeea03,562,,,"[64.8, 75.1]",303548,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Takefusa Kubo,31090.0,Right Midfield,19,Barcelona,217,"['a8f61589-634a-4223-bf7e-fe142b2aa298', 'e18f198b-3a96-44b8-b6d7-de23cef290fb']",54,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:54.032,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.33841,,,,,,,,,,,,,e520d202-8ab5-491b-a806-19ea50142154,584,,,"[51.6, 53.2]",303548,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Salvador Sevilla López,24072.0,Left Defensive Midfield,19,Barcelona,217,"['025a6fbb-9a11-495f-9b36-fa57f3c8efe2', 'cc363646-5180-49c3-94be-417b87a15d34']",22,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:22.338,Pressure,,2019/2020
,,,,,,,,,,,,,,,,2.250145,,,,,,,,,,,,,24a35287-37ca-4fe7-908d-3c02475d5053,595,,,"[51.6, 5.3]",303548,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joan Sastre Vanrell,24089.0,Left Back,19,Barcelona,217,['ebb4248c-199d-428b-afa7-81f40b9c6290'],31,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:31.673,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.594636,,,,,,,,,,,,,05424b33-ca6e-4ce6-bef5-7b7c485647be,602,,,"[47.2, 58.5]",303548,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Salvador Sevilla López,24072.0,Left Defensive Midfield,19,Barcelona,217,['b75a774e-3345-47b5-ad23-d9feba075586'],46,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:46.030,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.206533,,,,,,,,,,,,,5bfdcb3d-fd83-4cdb-b63b-3f85b39a57c5,613,,,"[9.5, 46.2]",303548,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alejandro Pozo Pozo,24613.0,Right Back,19,Barcelona,217,,57,,,,,,,,,,,,,,,,,,Mallorca,1043,00:13:57.571,Pressure,,2019/2020
,,,,,,,,,,,,,,,,1.098814,,,,,,,,,,,,,803f6e7f-47e1-4f76-967a-ac1858525360,627,,,"[9.9, 17.8]",303548,14,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joan Sastre Vanrell,24089.0,Left Back,19,Barcelona,217,['448fcae6-8e86-4cec-8ea9-01a4e36692a4'],12,,,,,,,,,,,,,,,,,,Mallorca,1043,00:14:12.185,Pressure,,2019/2020
,,,,,,,,,,,,,,,,1.059089,,,,,,,,,,,,,be92360d-5aab-45e7-a438-179c4fbbb590,628,,,"[11.7, 29.5]",303548,14,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joan Sastre Vanrell,24089.0,Left Back,19,Barcelona,217,,16,,,,,,,,,,,,,,,,,,Mallorca,1043,00:14:16.003,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.649473,,,,,,,,,,,,,dda00e27-0d7a-40c0-a78e-330f704f6094,635,,,"[30.9, 27.1]",303548,14,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ante Budimir,8654.0,Left Center Forward,19,Barcelona,217,['ea48b7db-120f-4367-a641-48c1a9e7d4f7'],23,,,,,,,,,,,,,,,,,,Mallorca,1043,00:14:23.185,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.432603,,,,,,,,,,,,,166414e3-3555-4c42-80c5-f2bec203a183,640,,,"[39.7, 18.8]",303548,14,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ante Budimir,8654.0,Left Center Forward,19,Barcelona,217,"['3770cd47-68b6-4d56-91d5-fa2d3eaf2f5b', 'cf634423-28a2-4207-b4ad-ca1ccce0f8e9']",26,,,,,,,,,,,,,,,,,,Mallorca,1043,00:14:26.873,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.196809,,,,,,,,,,,,,e7ed7a93-4bca-4479-a41e-ad72a41db6f2,658,,,"[48.3, 19.5]",303548,14,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joan Sastre Vanrell,24089.0,Left Back,19,Barcelona,217,,52,,,,,,,,,,,,,,,,,,Mallorca,1043,00:14:52.827,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.504787,,,,,,,,,,,,,542e9ce0-ce15-45d9-a065-e97b85742b28,678,,,"[24.7, 35.4]",303548,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Antonio José Raillo Arenas,24086.0,Left Center Back,19,Barcelona,217,"['c2426a60-6290-4cf1-8369-716aa9529c95', 'ff31723e-f8eb-4a39-b2d7-f5db3a79989d']",13,,,,,,,,,,,,,,,,,,Mallorca,1043,00:15:13.887,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.571766,,,,,,,,,,,,,895f14b2-9fbc-494d-bffa-416eb46f00c6,682,,,"[86.9, 32.8]",303548,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Martin Braithwaite Christensen,4447.0,Left Wing,19,Barcelona,217,['96220f07-f072-4174-986d-865ef21f8afb'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:15.980,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.326933,,,,,,,,,,,,,abf22a08-9ca7-4b52-aaee-1c7cf181d39b,687,,,"[50.4, 50.5]",303548,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ante Budimir,8654.0,Left Center Forward,19,Barcelona,217,['e21fe8f4-3065-456f-b056-b14962b4b962'],17,,,,,,,,,,,,,,,,,,Mallorca,1043,00:15:17.615,Pressure,,2019/2020
,,,,,,,,,,,True,,,,,0.471398,,,,,,,,,,,,,356c0a2b-3ebf-4fb3-99bb-25d8c1279d81,691,,,"[80.0, 22.3]",303548,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,20,Mallorca,1043,"['36ea7f38-06c4-49b3-ba79-92e2c3a36ed9', '6be39f07-2525-4eff-921b-043da19ad44b', 'c71421f6-3078-4dee-8013-d872d9a6eaa6']",19,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:19.557,Pressure,,2019/2020
,,,,,,,,,,,True,,,,,1.873843,,,,,,,,,,,,,b64764cb-edcb-4776-aeee-a3503c103037,695,,,"[77.8, 27.1]",303548,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,20,Mallorca,1043,"['70eedb16-1d6f-4aec-8f82-7b39c3307548', '98563e99-780f-48d5-9157-1138611106bf', '9a304739-74b0-4e52-877b-521188fcdbda', 'c71421f6-3078-4dee-8013-d872d9a6eaa6', 'ccccefd8-33e7-4d83-b250-45c08d069a58']",22,,,,,,,,,,,,,,,,,,Barcelona,217,00:15:22.431,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.35655,,,,,,,,,,,,,f9ac8648-9d83-4bf9-b2bf-eadf7de91ad0,761,,,"[68.4, 53.2]",303548,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Daniel José Rodríguez Vázquez,24088.0,Left Midfield,22,Barcelona,217,['bbc6be25-cbe2-4a1f-8927-e92289339e74'],51,,,,,,,,,,,,,,,,,,Mallorca,1043,00:16:51.379,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.576789,,,,,,,,,,,,,dab44846-95eb-47da-91d0-eee55f92b78b,774,,,"[68.0, 50.5]",303548,17,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Ante Budimir,8654.0,Left Center Forward,22,Barcelona,217,"['ab0a122b-de8b-4c97-9e0f-a1cfd471c694', 'bd1ba966-6742-4413-92d5-2834e13d7975']",9,,,,,,,,,,,,,,,,,,Mallorca,1043,00:17:09.047,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.193291,,,,,,,,,,,,,8b1f9f7d-e8a8-4bdf-80a7-7816da87115b,803,,,"[25.5, 24.4]",303548,17,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Joan Sastre Vanrell,24089.0,Left Back,22,Barcelona,217,"['30c4f157-c344-4da5-b86b-bf04f800be17', '368bd673-3d1f-4c86-9e61-36d5b93e9ec4', 'aa472847-6ffc-41d3-91b5-01f91e5b7ba0']",38,,,,,,,,,,,,,,,,,,Mallorca,1043,00:17:38.510,Pressure,,2019/2020
,,,,,,,,,,,,,,,,0.477247,,,,,,,,,,,,,d3079cf3-7a2a-4569-b376-e622cfa8a0d8,813,,,"[72.5, 69.8]",303548,17,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,23,Mallorca,1043,['cd55c81d-57e1-4dcf-9f58-1ddf6e0fd7c8'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:44.913,Pressure,,2019/2020
