50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.433844,,,,,,,,,,,,,,32583ee1-06bf-40a4-aeb9-ee49b1cfe2cc,16,,"[74.5, 50.4]",70305,0,,,,,-1.7346369,,Head,,,"[70.4, 25.6]",,Low Pass,,25.136627,Incomplete,Nélson Miguel Castro Oliveira,20137.0,,,,,,1,From Kick Off,Bruno Alexandre Vilela Gama,6868.0,Right Wing,2,RC Deportivo La Coruña,219,"['cb1fc5d2-3526-494b-83ae-cfed2ae9c5c9', 'e540a14b-c93f-44ab-a9db-c9f6187a5578']",8,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:08.730,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.618634,,,,,,,,,,,,,,857df6ef-b82b-48fb-8c09-1df171a29845,21,,"[56.1, 65.0]",70305,0,,,,,1.5350972,,Right Foot,,,"[56.3, 70.6]",,Ground Pass,,5.6035705,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,3,Barcelona,217,"['70831e9f-e3b7-479e-938c-e0187c41fab6', 'd682d9c8-50be-4a3b-a0ec-d0ce94ff7819']",12,,,,,,,,,,,,,,,Barcelona,217,00:00:12.475,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,0.779018,,,,,,,,,,,,,,9f159602-7719-4d21-a55d-647a7e4bc89a,24,,"[54.3, 65.4]",70305,0,,,,,-2.0220606,,Right Foot,,,"[48.0, 52.4]",,Ground Pass,,14.446107,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,3,Barcelona,217,['3eb33590-55c1-49be-a483-62e140be4f97'],13,,,,,,,,,,,,,,,Barcelona,217,00:00:13.818,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.077653,,,,,,,,,,,,,,5f9e75d5-094d-4eae-8150-3548d3d6e144,27,,"[48.0, 52.1]",70305,0,,,,,-1.9651463,,Right Foot,,,"[41.3, 36.0]",,Ground Pass,,17.438463,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,3,Barcelona,217,['029a7e03-5b15-4b4d-a4b5-d40ca5f4a39e'],15,,,,,,,,,,,,,,,Barcelona,217,00:00:15.909,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.714443,,,,,,,,,,,,,,caaa27a4-1858-48c2-9973-058085acd078,30,,"[42.1, 28.8]",70305,0,,,,,-0.30357075,,Right Foot,,,"[58.7, 23.6]",,Ground Pass,,17.395401,,Francesc Fàbregas i Soler,3478.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['8c7ce687-acb9-4b69-81bf-2bc7ca8142de'],18,,,,,,,,,,,,,,,Barcelona,217,00:00:18.225,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.975292,,,,,,,,,,,,,,c51a7c33-24bf-45a4-8964-0954b278f577,33,,"[62.8, 21.7]",70305,0,,,,,-1.4694499,,Right Foot,,,"[64.6, 4.0]",,Ground Pass,,17.79129,,Cristian Tello Herrera,6658.0,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,3,Barcelona,217,['1fd74145-f96a-4f39-890b-668d1021fac8'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.221,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.22085,,,,,,,,,,,,,,98be885a-427a-46dc-be29-9c7956dec6b8,37,,"[63.9, 2.9]",70305,0,,,,,2.9377952,,Right Foot,,,"[48.9, 6.0]",,Ground Pass,,15.316984,,Adriano Correia Claro,22102.0,,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Left Wing,3,Barcelona,217,['390f79e0-856f-425c-b334-c7cba357b1aa'],22,,,,,,,,,,,,,,,Barcelona,217,00:00:22.010,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.098314,,,,,,,,,,,,,,9249bfab-c1e9-4080-b78b-69acd088c9cf,40,,"[48.5, 8.2]",70305,0,,,,,1.9261163,,Left Foot,,,"[42.6, 24.1]",,Ground Pass,,16.959364,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,3,Barcelona,217,['17158063-085e-4c21-bcc7-baa0b1f41fc9'],24,,,,,,,,,,,,,,,Barcelona,217,00:00:24.131,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.487026,,,,,,,,,,,,,,c8d64fc8-fc11-4568-9c5f-3db4323501ed,43,,"[42.1, 39.9]",70305,0,,,,,1.4570043,,Right Foot,,,"[44.1, 57.4]",,Ground Pass,,17.613914,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['36d36d72-3be9-454a-b173-091fa15c7ed7'],28,,,,,,,,,,,,,,,Barcelona,217,00:00:28.523,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.905442,,,,,,,,,,,,,,114d33fd-4435-498d-a00c-8635f2e9c7b6,46,,"[48.0, 60.4]",70305,0,,,,,0.2812322,,Right Foot,,,"[57.0, 63.0]",,Ground Pass,,9.368031,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['ffad7a5f-dfe9-497a-a095-eeb264defc54'],30,,,,,,,,,,,,,,,Barcelona,217,00:00:30.909,Pass,,2012/2013
