ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.929077,,,,,,,,,,,,,5f8b7f3e-6950-44e4-acdd-eace3bce9b13,18,,"[24.6, 29.2]",68341,0,,,,-1.1444979,,Left Foot,,,"[35.0, 6.3]",,Ground Pass,25.150944,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['8a1be052-57b3-463e-bf39-a03628d34a6a'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.524,Pass,,2006/2007
,,,,,,,,,,,,,,,1.406288,,,,,,,,,,,,,78dd07d7-1dd8-44b6-b19c-aa30365a5948,21,,"[44.0, 8.4]",68341,0,,,,1.9985943,,Left Foot,,,"[35.2, 27.7]",,Ground Pass,21.211554,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['c80942ea-485a-4fd6-a016-8bfffa42f7dc'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.735,Pass,,2006/2007
,,,,,,,,,,,,,,,2.243552,,,,,,,,,,,,,75ac7b20-5d81-448e-9027-4f2fd6cb2c4c,24,,"[35.2, 27.7]",68341,0,,,,1.4078398,,Right Foot,,,"[42.5, 72.1]",,Ground Pass,44.996113,,,,Gianluca Zambrotta,15774.0,,True,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['8115d669-c0d6-4547-b325-3f3a37e8ede9'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.381,Pass,,2006/2007
,,,,,,,,,,,,,,,0.39948,,,,,,,,,,,,,8191fd78-b757-4b0d-8375-c1dfa4a65010,27,,"[39.4, 73.6]",68341,0,,,,-0.4084889,,Right Foot,,,"[46.1, 70.7]",,Ground Pass,7.300685,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['27a18bf6-d9d6-4aef-8c2c-8a7d127f4753'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.750,Pass,,2006/2007
,,,,,,,,,,,,,,,0.932131,,,,,,,,,,,,,6c9d255e-2ae8-484b-bbaa-91f5c0c7fc25,30,,"[46.1, 70.7]",68341,0,,,,2.7128146,,Right Foot,,,"[39.1, 73.9]",,Ground Pass,7.6967525,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,['cdaaa83f-6243-4cc0-bced-03ad92bd57ef'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.190,Pass,,2006/2007
,,,,,,,,,,,,,,,1.956845,,,,,,,,,,,,,a751ad36-9145-48a2-95f7-590437994821,33,,"[39.1, 73.9]",68341,0,,,,-1.8869811,,Right Foot,,,"[33.8, 57.7]",,Ground Pass,17.04494,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['80b3dffd-e99e-4eb2-bc51-432ad87f1077'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.139,Pass,,2006/2007
,,,,,,,,,,,,,,,1.078157,,,,,,,,,,,,,898454db-7d7c-452c-9e83-6c13b048d2db,36,,"[31.7, 55.8]",68341,0,,,,-1.4881822,,Right Foot,,,"[34.3, 24.4]",,Ground Pass,31.50746,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Left Center Back,2,Barcelona,217,['66a9480c-3c59-4d9a-929b-6faaca3c6a11'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.864,Pass,,2006/2007
,,,,,,,,,,,,,,,1.209111,,,,,,,,,,,,,617fd847-ea8a-4418-b4e8-09d4873f2ba2,39,,"[34.3, 24.4]",68341,0,,,,-1.1689256,,Right Foot,,,"[41.1, 8.4]",,Ground Pass,17.385052,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['d4f44b03-b5b7-4ba2-acbc-cbf30f09f904'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.653,Pass,,2006/2007
,,,,,,,,,,,,,,,1.052535,,,,,,,,,,,,,d2baa32f-e4f0-420a-abdd-072d0f43202f,42,,"[51.7, 7.0]",68341,0,,,,1.693088,,Left Foot,,,"[49.5, 24.9]",,Ground Pass,18.034689,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['25d59102-1244-40cd-92de-890673d4bca7'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.609,Pass,,2006/2007
,,,,,,,,,,,,,,,1.923649,,,,,,,,,,,,,377677da-8cbc-4a61-b4d8-2cebbb58f815,46,,"[44.4, 23.6]",68341,0,,,,1.6592743,,Right Foot,,,"[41.1, 60.8]",,Ground Pass,37.346085,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['f4640202-fd43-41f2-b202-2071b2c79751'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.315,Pass,,2006/2007
