ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b7bb8a1-0b84-4fef-9b58-6dc4a9dde0f5,1,,,267499,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27461, 'name': 'Francisco Manuel Vélez Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27246, 'name': 'Sebastián Dubarbier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24127, 'name': 'Ramon Olamilekan Azeez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 26435, 'name': 'Fernando Soriano Marco'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 27458, 'name': 'Jonathan Sundy Zongo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Almería,403,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9fb9da2c-6f1f-4de2-ab39-d686617f07e7,2,,,267499,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,463e6bbe-ab55-48a3-a88d-2f37896dce94,3,,,267499,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['214eddfb-8968-420f-92de-6c74261f4c27'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,214eddfb-8968-420f-92de-6c74261f4c27,4,,,267499,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Almería,403,['463e6bbe-ab55-48a3-a88d-2f37896dce94'],0,,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c2b41b8-212f-4600-b67c-1f742df3e043,1549,,,267499,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Almería,403,['7cf84e1c-d0b8-4074-b18b-09414527052e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7cf84e1c-d0b8-4074-b18b-09414527052e,1550,,,267499,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Almería,403,['5c2b41b8-212f-4600-b67c-1f742df3e043'],0,,,,,,,,,,,,,,,,,,Almería,403,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,ece5c1c5-6e49-48b2-a4f1-615231e48c95,5,,"[60.0, 40.0]",267499,0,,,,1.4121411,,Left Foot,,,"[60.4, 42.5]",,Ground Pass,,2.531798,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['84e42e8b-6be1-4b5a-9c42-e160b01035c2'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.481,Pass,,2014/2015
,,,,,,,,,,,,,,,2.068798,,,,,,,,,,,,,796247fa-314e-4540-8808-5dbca63bbee6,8,,"[59.5, 43.0]",267499,0,,,,-3.0451188,,Right Foot,,,"[47.1, 41.8]",,Ground Pass,,12.45793,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,2,Barcelona,217,['4eb5fcbc-5375-4136-b45d-f3daf01cab33'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.160,Pass,,2014/2015
,,,,,,,,,,,,,,,1.2857,,,,,,,,,,,,,f421294d-ea1c-4ece-80c7-bec3c1e345e4,12,,"[44.2, 41.9]",267499,0,,,,2.690765,,Right Foot,,,"[28.5, 49.5]",,Ground Pass,,17.442764,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['2b63cfc7-982f-4aee-9280-83720d1cce42'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.269,Pass,,2014/2015
,,,,,,,,,,,,,,,1.8924,,,,,,,,,,,,,64371528-b15c-431b-b12a-914889e29582,15,,"[28.5, 49.5]",267499,0,,,,-1.5867312,,Right Foot,,,"[28.1, 24.4]",,Ground Pass,,25.103188,,,Marc Bartra Aregall,7068.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['1b06430f-9baa-48f2-8576-bdb67254f5cf'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.606,Pass,,2014/2015
