50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.832491,,,,,,,,,,,,,2f9150d0-4bc5-4ecd-a7c8-0da6031c9407,17,,,"[37.9, 53.9]",3773660,0,,,,-1.6272838,,Right Foot,,,,"[36.0, 20.3]",,Ground Pass,,33.65368,,,,Rúben Miguel Nunes Vezo,6592.0,,,,,,,1,From Kick Off,Sergio Postigo Redondo,6682.0,Right Center Back,2,Levante UD,221,['a5170d93-d95f-435b-8b2a-45125d27d6a4'],9,,,,,,,,,,,,,,,,,Levante UD,221,00:00:09.269,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.037456,,,,,,,,,,,,,d5da97f9-5ab0-480e-9800-440e006cfdea,20,,,"[35.3, 20.3]",3773660,0,,,,1.706645,,Left Foot,,,,"[31.5, 48.1]",,Ground Pass,,28.05851,,,,Sergio Postigo Redondo,6682.0,,,,,,,1,From Kick Off,Rúben Miguel Nunes Vezo,6592.0,Left Center Back,2,Levante UD,221,['788abc58-2fb1-4fa5-bc88-9b9171884083'],11,,,,,,,,,,,,,,,,,Levante UD,221,00:00:11.141,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.160482,,,,,,,,,,,,,fc4dafaa-e08e-4c96-8fda-bd531d981b8a,23,,,"[31.1, 59.2]",3773660,0,,,,1.7583469,,Right Foot,,,,"[28.5, 72.9]",,Ground Pass,,13.944533,,,,Jorge Andújar Moreno,6672.0,,,,,,,1,From Kick Off,Sergio Postigo Redondo,6682.0,Right Center Back,2,Levante UD,221,['277bd5ae-63e5-45a6-8f18-02b47a36349e'],15,,,,,,,,,,,,,,,,,Levante UD,221,00:00:15.632,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,e6cbe360-dd9d-4871-a8e5-9fbfd1f34e9f,27,,,"[14.2, 76.5]",3773660,0,,,,0.0,,Right Foot,,,,"[16.9, 76.5]",,Ground Pass,,2.7,,Incomplete,,Jorge De Frutos Sebastián,32673.0,,,,,,,1,From Kick Off,Jorge Andújar Moreno,6672.0,Right Back,2,Levante UD,221,"['4603ce81-17ad-4b5f-bf74-567fffbfa5e1', '5a845fd6-ae1d-4303-a8fd-dc5b04844426', 'ce96c32f-1922-48f9-8d1d-7c134e7134c2']",19,,,,,,,,,,,,,,,,,Levante UD,221,00:00:19.781,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,0.899994,,,,,,,,,,,,,830a3c8a-dbd7-4b18-a643-4044ab7e10d2,30,,,"[34.1, 80.0]",3773660,0,,,,-1.6130247,,,,,,"[33.8, 72.9]",,Low Pass,,7.106335,,,,Gonzalo Julián Melero Manzanares,11669.0,,,,,,Throw-in,1,From Throw In,Jorge Andújar Moreno,6672.0,Right Back,3,Levante UD,221,['4f0bbeb0-bafc-4991-8fee-154c3be0564b'],38,,,,,,,,,,,,,,,,,Levante UD,221,00:00:38.158,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.645036,,,,,,,,,,,,,7a708384-0cd2-4489-9963-cb32a8aa3e47,33,,,"[29.6, 73.7]",3773660,0,,,,2.7967248,,Right Foot,,,,"[19.3, 77.4]",,Ground Pass,,10.944405,,,,Sergio Postigo Redondo,6682.0,,,,,,,1,From Throw In,Gonzalo Julián Melero Manzanares,11669.0,Left Midfield,3,Levante UD,221,['c0fa0689-7aec-42f7-a5f8-5c0695fa9577'],40,,,,,,,,,,,,,,,,,Levante UD,221,00:00:40.049,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.619288,,,,,,,,,,,,,078e6c06-60cc-47a3-aea8-8ec3eb9f685c,35,,,"[18.4, 77.4]",3773660,0,,,,0.10005092,,Left Foot,,,,"[44.3, 80.0]",,High Pass,,26.030174,,Out,,,,,,,,,,1,From Throw In,Sergio Postigo Redondo,6682.0,Right Center Back,3,Levante UD,221,,40,,,,,,,,,,,,,,,,,Levante UD,221,00:00:40.694,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.177251,,,,,,,,,,,,,053bdcbd-11a1-4aea-8603-0c7342020e1f,36,,,"[83.1, 0.1]",3773660,0,True,,,0.77654886,,,,,,"[88.8, 5.7]",,Low Pass,,7.9906197,,,,Martin Braithwaite Christensen,4447.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['f0b6c246-01b9-4b61-ad3f-81a0f81c82f8'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.026,Pass,,2020/2021
,,,,,,,,,,,,,,,,,3.123292,,,,,,,,,,,,,5c84c1aa-6aff-4155-b3b4-a920602224eb,40,,,"[84.3, 7.2]",3773660,0,,,,1.5479313,,Right Foot,,,,"[85.4, 55.3]",,High Pass,,48.112576,,,,Antoine Griezmann,5487.0,,,True,,,,1,From Throw In,Martin Braithwaite Christensen,4447.0,Left Wing,4,Barcelona,217,"['30d9defc-1182-434b-a1eb-da6d0100a26e', '95782408-c39a-43b3-8c42-819eb0b89574']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.490,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.138374,,,,,,,,,,,,,36e7367b-d072-4f28-9b27-5d814bae2878,43,,,"[97.8, 54.5]",3773660,0,,,,0.31362066,,Left Foot,,,,"[108.9, 58.1]",,Ground Pass,,11.66919,,,,Sergino Dest,21881.0,,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Right Wing,4,Barcelona,217,['d60f556d-9a4f-47a7-8305-303cb4df1302'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.245,Pass,,2020/2021
