ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,66b1f063-874f-4b04-ab5c-410b33056517,1,,,68336,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gimnàstic Tarragona,1036,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26041, 'name': 'Rubén Pérez Chueca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26042, 'name': 'José María Calvo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26044, 'name': 'César González Navas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26040, 'name': 'Aníbal Samuel Matellán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 26046, 'name': 'Marco Antonio Ortega Cotano'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 26043, 'name': 'David Generelo Miranda'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 26047, 'name': 'Ángel Morales Cuerva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 26048, 'name': 'Sebastien Chabaud'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26049, 'name': 'Ismael Marchal Razquín'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 26045, 'name': 'David Cuéllar Tainta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 26050, 'name': 'Javier García Portillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Gimnàstic Tarragona,1036,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7dd6153d-333e-4b6c-a7d8-201bc8a4aff1,2,,,68336,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gimnàstic Tarragona,1036,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c99e1f59-b6c0-4ca5-a712-dd3c86f6c5ea,3,,,68336,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gimnàstic Tarragona,1036,['b2691020-1a7c-4dd8-9803-9d58a871db33'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b2691020-1a7c-4dd8-9803-9d58a871db33,4,,,68336,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gimnàstic Tarragona,1036,['c99e1f59-b6c0-4ca5-a712-dd3c86f6c5ea'],0,,,,,,,,,,,,,,,,,,Gimnàstic Tarragona,1036,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,688b57bd-4ffb-431e-baaf-6a2827760841,1802,,,68336,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Barcelona,217,['fe61a2a3-a730-466f-8b07-f56e8baea67a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe61a2a3-a730-466f-8b07-f56e8baea67a,1803,,,68336,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Barcelona,217,['688b57bd-4ffb-431e-baaf-6a2827760841'],0,,,,,,,,,,,,,,,,,,Gimnàstic Tarragona,1036,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.5319,,,,,,,,,,,,,3ae0e12b-de03-4ab5-817e-a1393631b13c,5,,"[61.0, 41.0]",68336,0,,,,-1.380808,,Right Foot,,,"[61.5, 38.4]",,Ground Pass,2.6476405,,,,Ismael Marchal Razquín,26049.0,,,,,,Kick Off,1,From Kick Off,Javier García Portillo,26050.0,Center Forward,2,Gimnàstic Tarragona,1036,['3fded1e5-9554-47fe-8c0b-11d573c8a5c6'],0,,,,,,,,,,,,,,,,,,Gimnàstic Tarragona,1036,00:00:00.394,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.064195,,,,,,,,,,,,,dd6f0802-dc89-4d72-a6d3-3d3a6766550d,8,,"[61.5, 41.7]",68336,0,,,,2.540025,,Left Foot,,,"[49.7, 49.8]",,Ground Pass,14.312582,,,,Sebastien Chabaud,26048.0,,,,,,,1,From Kick Off,Ismael Marchal Razquín,26049.0,Right Wing,2,Gimnàstic Tarragona,1036,['d85fa7e7-9153-4946-9c3f-4f4fc9e2e36b'],1,,,,,,,,,,,,,,,,,,Gimnàstic Tarragona,1036,00:00:01.157,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.109566,,,,,,,,,,,,,6da4dd5a-a515-4bd5-972e-5b041301a555,11,,"[50.7, 49.7]",68336,0,,,,-2.3971074,,Right Foot,,,"[41.8, 41.5]",,Low Pass,12.101653,,,,Ángel Morales Cuerva,26047.0,,,,,,,1,From Kick Off,Sebastien Chabaud,26048.0,Left Center Midfield,2,Gimnàstic Tarragona,1036,"['28ce2477-3bed-462c-9e20-a29bd26d24ab', '4d5d091a-b82d-4926-8f1a-245fca773a78']",2,,,,,,,,,,,,,,,,,,Gimnàstic Tarragona,1036,00:00:02.221,Pass,True,2006/2007
,,,,,,,,,,,,,,,,1.089387,,,,,,,,,,,,,c840b579-c707-46ca-bff9-8728b7f2ba71,15,,"[39.9, 43.8]",68336,0,,,,-1.7665685,,Right Foot,,,"[35.2, 20.1]",,Ground Pass,24.16154,,,,Marco Antonio Ortega Cotano,26046.0,,,,,,,1,From Kick Off,Ángel Morales Cuerva,26047.0,Right Center Midfield,2,Gimnàstic Tarragona,1036,['54fe851a-b2e0-4784-8eec-241d57591009'],4,,,,,,,,,,,,,,,,,,Gimnàstic Tarragona,1036,00:00:04.458,Pass,,2006/2007
