bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.419613,,,,,,,,,,,,,,55592890-f32e-4f0a-9e30-253a1cc7d9c4,17,,"[42.3, 56.0]",266033,0,,,,-1.5563881,,Right Foot,,,"[42.8, 21.3]",,Ground Pass,,34.7036,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['ae1ab947-c5f5-4bcb-8e05-8a9099775c9e'],13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.365,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.304377,,,,,,,,,,,,,,c673a115-9410-4034-ab67-ed8c0e329b77,20,,"[42.8, 21.3]",266033,0,,,,1.4612048,,Left Foot,,,"[46.2, 52.2]",,Ground Pass,,31.086493,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['40ca5c88-e29f-403c-b5c9-070bb70b3670'],17,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.122,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.517235,,,,,,,,,,,,,,acb6ff38-f9a4-4f6e-9922-5e782bf1b9e8,23,,"[50.5, 54.7]",266033,0,,,,0.7899853,,Right Foot,,,"[72.2, 76.6]",,Ground Pass,,30.83018,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['2441921c-9131-452b-a288-b68e91550443'],20,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.629,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.140535,,,,,,,,,,,,,,55877ba8-8b1c-4c0f-9b1b-08bbf0d5d39f,26,,"[72.5, 77.0]",266033,0,,,,-2.0708652,,Left Foot,,,"[67.2, 67.3]",,Ground Pass,,11.053506,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['95247dfe-4d77-49a8-b398-510efa5119eb'],23,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.576,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.780288,,,,,,,,,,,,,,d64e0bec-06f6-4279-b762-1686ad7d736f,29,,"[68.3, 68.0]",266033,0,,,,1.4740123,,Right Foot,,,"[69.3, 78.3]",,Ground Pass,,10.34843,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['7f10fa68-ec32-4447-9c80-98b64cf9dc4c'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.299,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.015113,,,,,,,,,,,,,,7d520e0b-499a-4d49-8964-0a08610aa177,31,,"[69.3, 78.3]",266033,0,,,,-2.2033346,,Right Foot,,,"[54.2, 57.7]",,Ground Pass,,25.541534,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['aea29605-d309-4c81-affc-230459c59941'],26,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.079,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.897295,,,,,,,,,,,,,,db237be0-2bb2-459f-a355-503987926365,34,,"[54.2, 57.7]",266033,0,,,,-1.5337762,,Right Foot,,,"[55.3, 28.0]",,Ground Pass,,29.720364,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['ab09e716-760d-4d8b-8051-4c6d1b6c9e04'],28,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.601,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.0861,,,,,,,,,,,,,,88ca38c8-f98b-43a7-9da2-9f2b750fdeb9,41,,"[45.3, 44.1]",266033,0,,,,0.99945885,,Right Foot,,,"[51.6, 53.9]",,Ground Pass,,11.650322,,,,Enzo Nicolás Pérez,5741.0,,,,,Recovery,1,From Kick Off,Daniel Parejo Muñoz,6595.0,Center Attacking Midfield,2,Barcelona,217,['20e4b66e-9ed3-4449-8496-1f9534dba024'],38,,,,,,,,,,,,,,,,Valencia,207,00:00:38.046,Pass,,2016/2017
,,,,,,,,,,,,,,,,,4.317,,,,,,,,,,,,,,92367056-d2f1-49b9-bb26-c93674d91557,44,,"[51.6, 53.9]",266033,0,,,,0.3105548,,Right Foot,,,"[102.7, 70.3]",,Low Pass,,53.667213,,Incomplete,,Rodrigo Moreno Machado,5718.0,,,,,,1,From Kick Off,Enzo Nicolás Pérez,5741.0,Right Defensive Midfield,2,Barcelona,217,"['ab02dc27-17cb-4423-9149-a38b154598ca', 'e75d8e5b-e97a-4cd9-b4b2-a3dcdf698882']",40,,,,,,,,,,,,,,,,Valencia,207,00:00:40.232,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.0998,,,,,,,,,,,,,,e75d8e5b-e97a-4cd9-b4b2-a3dcdf698882,46,,"[17.4, 9.8]",266033,0,,,,2.0344439,,Right Foot,,,"[16.8, 11.0]",,Ground Pass,,1.3416408,,Incomplete,,Marc-André ter Stegen,20055.0,,,,,Recovery,1,From Kick Off,Lucas Digne,6849.0,Left Back,2,Barcelona,217,"['824f9b85-dfe8-4731-a7ad-a2e04149b927', '92367056-d2f1-49b9-bb26-c93674d91557', 'd3c72b40-367f-49bc-b24e-16c51ba736ba']",44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.549,Pass,,2016/2017
