bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,3.701639,,,,,,,,,,,,cbb6603d-a17d-4730-9412-31966e1c67d2,17,,"[80.6, 53.4]",303634,0,,,,True,0.27312952,,,,,,"[111.3, 62.0]",,High Pass,,31.881813,,,Incomplete,,José Manuel Arnáiz Díaz,6810.0,,,,,,1,From Kick Off,Adrián López Álvarez,6735.0,Left Center Forward,2,Osasuna,422,"['1a3158ee-28ab-4fcb-a85a-ff5963dfcbd6', '25b2643b-1def-4530-abbf-cc812b4ced37', '3a70095d-e452-4281-ab57-2de332122da6']",14,,,,,,,,,,,,,,,,Osasuna,422,00:00:14.755,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.308493,,,,,,,,,,,,1a3158ee-28ab-4fcb-a85a-ff5963dfcbd6,20,,"[8.8, 18.1]",303634,0,,,,,2.0924826,,Right Foot,,,,"[1.5, 30.8]",,Ground Pass,,14.648549,,,,,Marc-André ter Stegen,20055.0,,,,,Recovery,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,"['0e813d86-e125-48b2-a09f-c07cff9c2a9b', 'cbb6603d-a17d-4730-9412-31966e1c67d2', 'e7afff3a-1d2e-4f3a-b01f-015bbc4c5517']",18,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.457,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.073871,,,,,,,,,,,,08889bbb-f13c-4786-80a3-8e3b568de8aa,24,,"[3.6, 33.8]",303634,0,,,,,0.8020633,,Right Foot,,,,"[15.4, 46.0]",,Ground Pass,,16.97292,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,"['4ab121e9-3c48-471b-a5a7-b88ad27a6bf1', '7fe73299-a4db-48c2-802d-e99a6b7977f2']",21,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.075,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,,1.601207,,,,,,,,,,,,801e01c4-de3c-49b6-b58f-f1172bf254c2,27,,"[15.4, 49.3]",303634,0,,,,,0.85354173,,Right Foot,,,,"[31.1, 67.3]",,Ground Pass,,23.884932,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['a05a2a2d-bb47-4681-ab66-4b3bda893d38'],23,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.854,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,b4d9aaba-8ec0-4fc3-bbd8-1348d73c6c88,30,,"[44.6, 61.8]",303634,0,,,,,-2.3344588,,Right Foot,,,,"[31.1, 47.7]",,Ground Pass,,19.520758,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['5a6ca82f-ae20-461f-896c-cf80ecaaec74'],29,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.272,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,3.446664,,,,,,,,,,,,96ffb99a-7065-4912-acb4-56616b597ace,33,,"[36.5, 46.2]",303634,0,,,,,-1.1611757,,Right Foot,,,,"[55.3, 2.9]",,High Pass,,47.20519,,,,,Héctor Junior Firpo Adames,17304.0,,True,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['f0ae7c42-f798-4e80-b878-40484657ee24'],32,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.136,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.20314,,,,,,,,,,,,1b36b1e7-f6c5-4dcc-bffe-428717e5a68a,36,,"[56.4, 3.3]",303634,0,,,,,2.4963355,,Left Foot,,,,"[38.2, 17.0]",,Low Pass,,22.780035,,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Héctor Junior Firpo Adames,17304.0,Left Back,3,Barcelona,217,['8a49473e-01fb-40b6-91de-8b4fbe632ce2'],36,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.534,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.47768,,,,,,,,,,,,954aa8f1-0284-4fb6-bf20-26f84aa29ccd,39,,"[38.6, 22.4]",303634,0,,,,,1.4738787,,Right Foot,,,,"[42.1, 58.4]",,Ground Pass,,36.16974,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['ebe9af3a-2c96-4737-b669-808c0249cf61'],39,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.448,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.464275,,,,,,,,,,,,3f335dfd-7a46-4b2b-ac26-8d04f6d51385,42,,"[47.2, 56.6]",303634,0,,,,,-1.8006246,,Right Foot,,,,"[41.0, 30.1]",,Ground Pass,,27.21562,,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['a5b2772f-d09c-49a9-994e-654ae13081b9'],44,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.121,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.558933,,,,,,,,,,,,2bc188ba-be88-4015-99c9-6331195ead81,45,,"[43.1, 29.3]",303634,0,,,,,-1.186527,,Right Foot,,,,"[50.5, 11.0]",,Ground Pass,,19.739553,,,,,Héctor Junior Firpo Adames,17304.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['333127eb-b995-4272-9782-61de7152a7ef'],46,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.958,Pass,,2019/2020
