ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.8506,,,,,,,,,,,,42be67d9-498f-4e4f-8d7b-3e8c6b93882a,17,,"[44.8, 43.0]",267301,0,,,,,-1.5781223,,Right Foot,,,,"[44.6, 15.7]",,Ground Pass,,27.300732,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['6db973b6-528a-44fa-8422-4d93169df095'],14,,,,,,,,,,,,,,,Barcelona,217,00:00:14.633,Pass,,2014/2015
,,,,,,,,,,,,,,,0.8792,,,,,,,,,,,,d1232c3d-e7f4-4bdd-8baf-f593a7f59635,20,,"[52.9, 15.1]",267301,0,,,,,-0.6982409,,Left Foot,,,,"[58.5, 10.4]",,Ground Pass,,7.3109508,,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['b78cedca-5e06-43ab-9b23-832dfca2b94d'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.256,Pass,,2014/2015
,,,,,,,,,,,,,,,0.698515,,,,,,,,,,,,12c43716-a8ac-4fbf-b594-99e3aa60cbfa,24,,"[57.2, 10.6]",267301,0,,,,,2.93452,,Left Foot,,,,"[45.3, 13.1]",,Ground Pass,,12.15977,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Rafael Alcântara do Nascimento,6998.0,Left Center Midfield,2,Barcelona,217,"['644446e7-129c-4c65-b515-82c32f676320', 'd549814e-e435-43cd-b54d-19c7cf1b9f12']",21,,,,,,,,,,,,,,,Barcelona,217,00:00:21.700,Pass,True,2014/2015
,,,,,,,,,,,,,,,1.700861,,,,,,,,,,,,17e23570-3dc9-43e8-b97b-bd8005df6fc2,28,,"[47.0, 11.5]",267301,0,,,,,1.9824076,,Left Foot,,,,"[38.4, 31.2]",,Ground Pass,,21.495348,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,"['148f0d9b-a680-45e5-ac87-bb638b594607', '4b3d0186-df42-446b-ac5f-1198098f144c']",23,,,,,,,,,,,,,,,Barcelona,217,00:00:23.261,Pass,True,2014/2015
,,,,,,,,,,,,,,,2.438958,,,,,,,,,,,,94c0618e-9f0a-4b8e-9746-edd93a002ffd,31,,"[46.9, 40.2]",267301,0,,,,,-0.8679171,,Right Foot,,,,"[77.4, 4.2]",,High Pass,,47.183155,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['514525d1-bb34-4b54-89c5-6b9ae1227af7'],28,,,,,,,,,,,,,,,Barcelona,217,00:00:28.553,Pass,,2014/2015
,,,,,,,,,,,,,,,1.855,,,,,,,,,,,,b54a9fdd-4951-4b98-a378-2add2e4c9fb8,34,,"[77.4, 4.2]",267301,0,,,,,2.5195606,,Left Foot,,,,"[66.8, 11.8]",,Low Pass,,13.043006,,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['177da5ea-f2d2-4c55-a8ec-2f0892f8320d'],31,,,,,,,,,,,,,,,Barcelona,217,00:00:31.032,Pass,,2014/2015
,,,,,,,,,,,,,,,1.267583,,,,,,,,,,,,a18cdc81-3722-4d0e-afd4-662d35426a88,37,,"[66.8, 11.8]",267301,0,,,,,3.1415927,,Left Foot,,,,"[54.2, 11.8]",,Ground Pass,,12.6,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Rafael Alcântara do Nascimento,6998.0,Left Center Midfield,2,Barcelona,217,['2b527e44-0e4a-4d3b-91a5-169fc706fa3b'],32,,,,,,,,,,,,,,,Barcelona,217,00:00:32.927,Pass,,2014/2015
,,,,,,,,,,,,,,,5.505749,,,,,,,,,,,,1ab1c78e-2d86-4722-8a17-c6ca12e4bc53,41,,"[54.5, 9.9]",267301,0,,,,,1.0331683,,Left Foot,,,,"[95.4, 78.5]",,High Pass,,79.8672,,,Out,,Ivan Rakitić,5470.0,,True,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,"['92907ed4-31e8-438b-9c9f-5adb5afe564f', 'b17386f4-8998-41cc-9b07-3bd11e9edcd2']",36,,,,,,,,,,,,,,,Barcelona,217,00:00:36.075,Pass,True,2014/2015
,,,,,,,,,,,,,,,1.5847,,,,,,,,,,,,c60ebee9-24ce-4de2-84c2-ca66cb94bcb7,43,,"[28.8, 1.0]",267301,0,,,,,0.16357388,,,,,,"[49.4, 4.4]",,High Pass,,20.878696,,,,,Pedro Pablo Hernández,6801.0,,,,,Throw-in,1,From Throw In,Jonathan Castro Otto,6802.0,Left Back,3,Celta Vigo,209,['d383828c-f38a-4ddc-a5e9-0d0d9f0aa7ef'],53,,,,,,,,,,,,,,,Celta Vigo,209,00:00:53.346,Pass,,2014/2015
,,,,,,,,,,,,,,,0.1916,,,,,,,,,,,,1a6d057f-72b6-4ff8-92fa-78bcbe673884,45,,"[46.7, 5.0]",267301,0,,,,,0.15991312,,Head,,,,"[52.9, 6.0]",,High Pass,,6.2801275,,,Incomplete,,Manuel Agudo Durán,6724.0,,,,,,1,From Throw In,Pedro Pablo Hernández,6801.0,Left Center Midfield,3,Celta Vigo,209,"['65b282e9-8c1a-47f8-8c9c-137078be2d7c', 'a39c277a-e144-4bbf-996e-231dca00f002']",54,,,,,,,,,,,,,,,Celta Vigo,209,00:00:54.931,Pass,,2014/2015
