50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28ee8ead-8633-4c24-925b-35fb80eb88cb,1,,,,266921,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3d704662-76b7-450c-9a69-dafc6b5d0dc4,2,,,,266921,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27206, 'name': 'Sergio Pelegrín López'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 27245, 'name': 'José Eduardo Albácar Gallego'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 27464, 'name': 'José Ángel Alonso Martín'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 26102, 'name': 'Ferrán Corominas Telechea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16001, 'name': 'Garry Mendes Rodrigues'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Elche,1042,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc9755c6-4d67-42b0-9642-4f36047d95e5,3,,,,266921,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9d7233ea-7f13-40e8-b037-4b52641ca85f'],0,,,,,,,,,,,,,,,,Elche,1042,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d7233ea-7f13-40e8-b037-4b52641ca85f,4,,,,266921,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['fc9755c6-4d67-42b0-9642-4f36047d95e5'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f86a534b-7203-404d-8346-87fedfb1aaf8,2036,,,,266921,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Barcelona,217,['4833d8e5-914d-418a-bbe5-28547882027e'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4833d8e5-914d-418a-bbe5-28547882027e,2037,,,,266921,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Barcelona,217,['f86a534b-7203-404d-8346-87fedfb1aaf8'],0,,,,,,,,,,,,,,,,Elche,1042,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.4857,,,,,,,,,,,,,4c1d81f7-d4c6-4a50-874b-1464e46956d7,5,,,"[61.0, 41.0]",266921,0,,,,1.4940244,,Right Foot,,,,"[61.1, 42.3]",,Ground Pass,,1.3038405,,,,,Ferrán Corominas Telechea,26102.0,,,,,Kick Off,1,From Kick Off,Jonathas Cristian de Jesus,8584.0,Center Forward,2,Elche,1042,['b15bbbb2-164a-4e7a-96e0-643ec9c2995d'],2,,,,,,,,,,,,,,,,Elche,1042,00:00:02.116,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.105021,,,,,,,,,,,,,0b652ca2-fd8b-48c3-9b3c-431c0155f8f6,8,,,"[61.2, 42.7]",266921,0,,,,-2.320811,,Right Foot,,,,"[50.3, 31.0]",,Ground Pass,,15.9906225,,,,,Pedro Mosquera Parada,6733.0,,,,,,1,From Kick Off,Ferrán Corominas Telechea,26102.0,Right Midfield,2,Elche,1042,['c32d3f95-9d5e-4d7e-a980-bc59fd47bcc0'],2,,,,,,,,,,,,,,,,Elche,1042,00:00:02.721,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.587055,,,,,,,,,,,,,e0a72ba0-e8e2-4aa9-b621-756aa26df7a9,11,,,"[48.1, 36.1]",266921,0,,,,2.3561945,,Left Foot,,,,"[30.7, 53.5]",,Ground Pass,,24.607315,,,,,David Rodríguez Lombán,6702.0,,,,,,1,From Kick Off,Pedro Mosquera Parada,6733.0,Left Center Midfield,2,Elche,1042,['ab79c9a6-7e46-4be0-83ef-0075018d5c3a'],4,,,,,,,,,,,,,,,,Elche,1042,00:00:04.763,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.669842,,,,,,,,,,,,,8a68643f-9ca1-459e-82ca-c87db305a1be,14,,,"[31.3, 53.7]",266921,0,,,,1.2159452,,Right Foot,,,,"[39.6, 76.1]",,Ground Pass,,23.88828,,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,1,From Kick Off,David Rodríguez Lombán,6702.0,Right Center Back,2,Elche,1042,['4c9ce63a-e1f0-4e8a-a413-c2ad2b966219'],7,,,,,,,,,,,,,,,,Elche,1042,00:00:07.415,Pass,,2014/2015
