ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,1.429693,,,,,,,,,,,3d56246f-3259-44c8-8362-f01db4f3725e,3178,,"[4.5, 41.9]",3773672,69,,,,-1.2633014,,Right Foot,,,"[9.2, 27.1]",Ground Pass,,15.528361,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Norberto Murara Neto,6590.0,Goalkeeper,129,Barcelona,217,"['57326e97-101a-4614-9c75-9ce8f55e526e', '58f605e8-e9f0-4833-b61e-ee6c8fe3e733']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:24:59.570,Pass,True,2020/2021
,,,,,,,,,,,,,1.307377,,,,,,,,,,,69c98e10-7b7e-437e-ae44-4836a208c30c,3182,,"[8.6, 25.0]",3773672,70,,,,-1.1334584,,Right Foot,,,"[15.8, 9.6]",Ground Pass,,17.0,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,129,Barcelona,217,"['678c9c29-3b30-4d91-8990-f188baab6027', '7b6205a6-352b-4159-b91c-36087435e8d8']",1,,,,,,,,,,,,,,,,,Barcelona,217,00:25:01.384,Pass,True,2020/2021
,,,,,,,,,,,,,1.199998,,,,,,,,,,,870c4b6e-0b60-4d52-ab2e-7b2728caf115,3185,,"[15.8, 8.3]",3773672,70,,,,0.0,,Left Foot,,,"[34.3, 8.3]",Ground Pass,,18.5,,,,Frenkie de Jong,8118.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,129,Barcelona,217,['afa774fd-cc24-4baa-a1a9-6f11440c1d52'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:25:03.222,Pass,,2020/2021
,,,,,,,,,,,,,0.934246,,,,,,,,,,,88938b74-babe-43f9-b9d0-6d608f9e9801,3188,,"[34.3, 8.4]",3773672,70,,,,-0.18789788,,Right Foot,,,"[48.5, 5.7]",Ground Pass,,14.4544115,,,,Philippe Coutinho Correia,3501.0,,,,,,2,Regular Play,Frenkie de Jong,8118.0,Left Center Midfield,129,Barcelona,217,['3e58626a-1f55-42ba-89cc-3bf527da5cb5'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:25:04.462,Pass,,2020/2021
,,,,,,,,,,,,,0.184594,,,,,,,,,,,c4a59862-482c-40cf-8db4-392e5ed09fdf,3192,,"[48.1, 4.2]",3773672,70,,,,1.2587543,,Right Foot,,,"[49.1, 7.3]",Ground Pass,,3.2572994,,Incomplete,,Frenkie de Jong,8118.0,,,,,,2,Regular Play,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,129,Barcelona,217,"['172517fb-9e40-4b91-a82a-1521349ad633', '53b5559b-64db-40d0-bc98-a2f0e906458e', 'e77acb71-508d-4e51-9263-c53f4edc67f2']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:25:05.436,Pass,True,2020/2021
,,,,,,,,,,,,,1.457916,,,,,,,,,,,f2125440-c3db-4f82-8a15-9e40fd42da52,3195,,"[48.7, 0.1]",3773672,70,,,,1.5051016,,,,,"[49.7, 15.3]",Low Pass,,15.23286,,,,Jordi Alba Ramos,5211.0,,,,,Throw-in,2,From Throw In,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,130,Barcelona,217,['9211c20a-3cba-4a74-8053-1682074c755e'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:25:10.679,Pass,,2020/2021
,,,,,,,,,,,,,0.960676,,,,,,,,,,,34738f98-97c7-4642-a992-61a2a286df15,3198,,"[50.1, 15.3]",3773672,70,,,,1.972983,,Left Foot,,,"[44.4, 28.7]",Low Pass,,14.561936,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,130,Barcelona,217,"['40117b42-3337-4148-9e74-2c7f6fe4a7fa', 'b18e25cc-fc24-466a-94c5-dbecea8cdfc8']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:25:12.137,Pass,True,2020/2021
,,,,,,,,,,,,,1.8,,,,,,,,,,,bc8606ac-532f-47b6-bf7e-d8f3c0cc485b,3200,,"[44.4, 28.7]",3773672,70,,,,1.311609,,Left Foot,,,"[47.9, 41.9]",Low Pass,,13.656135,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Right Center Midfield,130,Barcelona,217,['f81b78ee-d8e2-4252-8029-e387604e7d5f'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:25:13.098,Pass,,2020/2021
,,,,,,,,,,,,,0.719049,,,,,,,,,,,a2fe656b-904e-49bc-b372-52a8f59c7359,3204,,"[47.9, 41.4]",3773672,70,,,,-2.8318896,,Left Foot,,,"[42.9, 39.8]",Ground Pass,,5.249762,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,130,Barcelona,217,['470d81b0-3f72-4666-b5c4-cfbfe4806891'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:25:17.223,Pass,,2020/2021
,,,,,,,,,,,,,2.459621,,,,,,,,,,,a2f4cb83-bab8-4812-b486-a1e9fbba956d,3207,,"[43.2, 42.5]",3773672,70,,,,1.0845872,,Right Foot,,,"[60.8, 75.8]",High Pass,,37.66497,,,,Sergi Roberto Carnicer,6379.0,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Right Center Midfield,130,Barcelona,217,['88360c8f-bbd2-4c53-b869-1d8d52b393f8'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:25:19.253,Pass,,2020/2021
