ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.020003,,,,,,,,,,,9bca725f-f493-43af-a508-823dfbaf2daf,16,,,"[30.4, 40.2]",3825645,0,,,,,-0.60515356,,Right Foot,,,"[43.7, 31.0]",,High Pass,,16.171888,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,3,Barcelona,217,"['323dad53-9da2-4213-88bc-6ee9e8c6b114', '90559f72-e82c-4a98-9dc3-b70e9b9980ed']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.739,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.237122,,,,,,,,,,,7c62763f-aa72-4149-917b-27d2c6b3a8a1,18,,,"[43.7, 31.0]",3825645,0,,,,,-2.9034789,,Head,,,"[33.4, 28.5]",,Low Pass,,10.599056,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,3,Barcelona,217,['5680fcc1-5603-45ca-8b7c-6f130cea4c6f'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.799,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.922922,,,,,,,,,,,adc1f918-9b72-45c3-b3ea-a232badec58e,22,,,"[29.3, 23.9]",3825645,0,,,,,2.630736,,Right Foot,,,"[4.5, 37.8]",,Ground Pass,,28.429737,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['949cb7c3-bd0e-4307-9742-7ef80011d262', 'bb782a89-67d9-4906-b319-3147fffbacee']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.489,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.774843,,,,,,,,,,,de8af495-c241-412c-a21a-369f23d3602c,25,,,"[2.8, 42.2]",3825645,0,,,,,-1.3631201,,Right Foot,,,"[8.7, 14.2]",,Ground Pass,,28.614857,,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,3,Barcelona,217,['78b03b7d-8b07-4fe1-ae22-2599b8e979b1'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.314,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.431714,,,,,,,,,,,cde0d19d-9876-428d-a383-5ee95bf1a0a3,28,,,"[8.6, 7.5]",3825645,0,,,,,0.11759834,,Left Foot,,,"[32.3, 10.3]",,Ground Pass,,23.864828,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,3,Barcelona,217,['08f2ec07-8878-4d28-ba39-077cf4f35fb7'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.098,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.676118,,,,,,,,,,,503219a7-0a29-4d7a-8145-fcd97b494a11,35,,,"[74.5, 10.0]",3825645,0,,,,,-0.35144478,,Right Foot,,,"[86.5, 5.6]",,Ground Pass,,12.781237,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Midfield,3,Barcelona,217,['1951dbc7-1aa4-436d-8838-485f028a41ae'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.459,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.674291,,,,,,,,,,,2d20d08f-8174-4cd6-a890-0fd45c0510d0,38,,,"[96.8, 12.4]",3825645,0,,,,,1.9818609,,Right Foot,,,"[93.4, 20.2]",,Ground Pass,,8.508819,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,3,Barcelona,217,['cf12c502-be60-476d-9495-d18443841b11'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.521,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.484841,,,,,,,,,,,9cc35970-4667-470d-acea-dcf9d73175b2,41,,,"[93.4, 20.2]",3825645,0,,,,,0.04778967,,Left Foot,,,"[116.4, 21.3]",,High Pass,,23.026289,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,3,Barcelona,217,['d19a8e00-4d7a-4867-8e6c-b07ae9513640'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.275,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.84312,,,,,,,,,,,b0128355-204d-45e9-a5f7-3a003979ef1c,44,,,"[117.6, 21.1]",3825645,0,,,,,1.6619409,228ea764-864f-46d0-b234-ae4d670ce585,Right Foot,True,,"[115.9, 39.7]",,High Pass,,18.677526,,,,Munir El Haddadi Mohamed,6616.0,True,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,3,Barcelona,217,['3339cdc0-fc4d-4788-ab00-5444746dc340'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.434,Pass,,2015/2016
,,,,,,,,,,,,,,,,3.562402,,,,,,,,,,,3ae47450-2f6b-42dc-a4fd-31f432223a4b,49,,,"[7.0, 36.1]",3825645,1,,,,,0.54273015,,Right Foot,,,"[64.2, 70.6]",,High Pass,,66.798874,,,,Pedro León Sánchez Gil,6907.0,,,,,Goal Kick,1,From Goal Kick,Vicente Guaita Panadero,6625.0,Goalkeeper,4,Getafe,216,['51fdabc8-3092-4e44-a636-92c5a6744742'],22,,,,,,,,,,,,,,,,,Getafe,216,00:01:22.828,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.715549,,,,,,,,,,,7b97e4eb-a525-4b2e-bb75-b5a4e418e60f,51,,,"[64.2, 70.6]",3825645,1,,True,,,0.23712029,,Head,,,"[76.2, 73.5]",,Low Pass,,12.345445,,Incomplete,,Pablo Sarabia García,6720.0,,,,,,1,From Goal Kick,Pedro León Sánchez Gil,6907.0,Right Midfield,4,Getafe,216,"['870da929-9c7b-4f86-8f81-ba98c05f3d57', 'bb3b818f-01ce-4771-b5ac-a0c59b1543a5']",26,,,,,,,,,,,,,,,,,Getafe,216,00:01:26.344,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.727077,,,,,,,,,,,8668077b-724d-41e8-bb5d-47b70e1e7c3c,55,,,"[22.6, 5.5]",3825645,1,,,,,-0.1083355,,Left Foot,,,"[55.7, 1.9]",,High Pass,,33.295197,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Goal Kick,Jordi Alba Ramos,5211.0,Left Back,4,Getafe,216,['652e2926-22d4-4d37-a120-8e687d5a0e78'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.904,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.018766,,,,,,,,,,,302e4038-17ab-4a75-a8c1-0eb7f4b2ab35,64,,,"[63.3, 72.3]",3825645,1,,,,,-1.9018924,,Left Foot,,,"[57.8, 56.3]",,Ground Pass,,16.918924,,,,Mehdi Lacen,6745.0,,,,,,1,From Goal Kick,Pedro León Sánchez Gil,6907.0,Right Midfield,4,Getafe,216,"['62fa3476-ef09-4653-a21f-08c1a3b29681', '8e75e528-ef10-4445-a908-7cf14f879d4d']",36,,,,,,,,,,,,,,,,,Getafe,216,00:01:36.856,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.702592,,,,,,,,,,,96d88253-b999-4eca-9675-165461a407dd,67,,,"[55.1, 38.7]",3825645,1,,,,,2.2712927,,Left Foot,,,"[42.2, 54.0]",,Ground Pass,,20.012497,,,,Santiago Vergini,27403.0,,,,,,1,From Goal Kick,Mehdi Lacen,6745.0,Left Defensive Midfield,4,Getafe,216,['c4760f44-ee8e-4692-9fc3-29913931092f'],44,,,,,,,,,,,,,,,,,Getafe,216,00:01:44.179,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.350808,,,,,,,,,,,122e720f-7219-4bfe-bee5-3eb43b48686c,70,,,"[39.8, 56.8]",3825645,1,,,,,1.3037856,,Right Foot,,,"[45.9, 79.1]",,Ground Pass,,23.119257,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,1,From Goal Kick,Santiago Vergini,27403.0,Right Center Back,4,Getafe,216,['353d4e34-e335-4ceb-91e4-ccc44645215e'],47,,,,,,,,,,,,,,,,,Getafe,216,00:01:47.012,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.417582,,,,,,,,,,,431f7cfc-57f8-46e0-8393-82d9af809384,73,,,"[45.9, 79.0]",3825645,1,,,,,-0.26933438,,Right Foot,,,"[65.1, 73.7]",,Ground Pass,,19.918081,,,,Pedro León Sánchez Gil,6907.0,,,,,,1,From Goal Kick,Damián Nicolás Suárez Suárez,6627.0,Right Back,4,Getafe,216,['9339bca8-0957-411a-aab9-722b9baa66f4'],49,,,,,,,,,,,,,,,,,Getafe,216,00:01:49.533,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.653027,,,,,,,,,,,552de97e-4467-4a99-9800-8f32f440c538,77,,,"[65.1, 73.1]",3825645,1,,,,,2.0005586,,Right Foot,,,"[62.9, 77.9]",,Ground Pass,,5.2801514,,,,Pablo Sarabia García,6720.0,,,,,,1,From Goal Kick,Pedro León Sánchez Gil,6907.0,Right Midfield,4,Getafe,216,"['bff5cd75-80fb-4271-82d8-a50dce4c4f6f', 'fb3d88ef-234a-4ec9-99af-cfced865ae40']",51,,,,,,,,,,,,,,,,,Getafe,216,00:01:51.016,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.438354,,,,,,,,,,,3df8da45-d6a2-4648-9ee0-cdfbaa9f894d,85,,,"[106.2, 71.2]",3825645,1,,,,,-1.4551324,,Right Foot,True,,"[109.0, 47.1]",,Low Pass,,24.26211,,Incomplete,,Stefan Šćepović,23416.0,,,,,,1,From Goal Kick,Pablo Sarabia García,6720.0,Right Center Forward,4,Getafe,216,"['cc9b8932-d085-4af4-ae79-1714983ae891', 'f41fae63-f399-4cf1-9033-1eb5e0ff9ef5']",58,,,,,,,,,,,,,,,,,Getafe,216,00:01:58.158,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.97032,,,,,,,,,,,40ab6a94-8768-4402-aa2b-073ec5953f7b,88,,,"[92.5, 80.0]",3825645,2,,,,,-0.59959626,,,,,"[100.4, 74.6]",,Low Pass,,9.5692215,,,,Pablo Sarabia García,6720.0,,,,,Throw-in,1,From Throw In,Damián Nicolás Suárez Suárez,6627.0,Right Back,5,Getafe,216,['8b0cb7ff-c51b-4f1b-b6cb-4a776f2c5309'],18,,,,,,,,,,,,,,,,,Getafe,216,00:02:18.701,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.652139,,,,,,,,,,,b7777629-9f86-4aa7-ac43-7e12978e909e,91,,,"[100.4, 74.6]",3825645,2,,,,,2.4783897,,Left Foot,,,"[94.0, 79.6]",,Ground Pass,,8.121576,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,1,From Throw In,Pablo Sarabia García,6720.0,Right Center Forward,5,Getafe,216,['00e25098-2625-40b7-95ee-03acd8ec3b90'],19,,,,,,,,,,,,,,,,,Getafe,216,00:02:19.757,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.510177,,,,,,,,,,,a2f2e5af-4b91-4c02-b775-f6b466fe5045,94,,,"[97.9, 78.8]",3825645,2,,,,,-1.1540227,,Right Foot,,,"[106.4, 59.6]",,Ground Pass,,20.997381,,Incomplete,,Pablo Sarabia García,6720.0,,,,,,1,From Throw In,Damián Nicolás Suárez Suárez,6627.0,Right Back,5,Getafe,216,"['64d3483d-298e-401e-88df-32e971d15768', 'a7c2ab2a-aecc-45ff-bb9f-84c2fd901c21']",21,,,,,,,,,,,,,,,,,Getafe,216,00:02:21.938,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.20595,,,,,,,,,,,64d3483d-298e-401e-88df-32e971d15768,96,,,"[13.7, 20.5]",3825645,2,,,,,-1.8862178,,Left Foot,,,"[10.6, 11.0]",,Ground Pass,,9.992997,,,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,"['74e8bf4e-3cfb-4e30-a695-418a46ce9210', 'a2f2e5af-4b91-4c02-b775-f6b466fe5045']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:02:24.448,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.754097,,,,,,,,,,,25c288a9-f5ba-4503-bb79-b01811789cbe,99,,,"[10.7, 6.9]",3825645,2,,,,,0.5974586,,Left Foot,,,"[20.4, 13.5]",,Ground Pass,,11.732433,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['95827f29-3e3e-4c8d-9ac2-dba72e97467e'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:02:26.476,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.440505,,,,,,,,,,,83ac1248-53c5-4b22-a7f6-00d008950b4d,102,,,"[20.3, 17.2]",3825645,2,,,,,1.1861367,,Right Foot,,,"[35.4, 54.5]",,High Pass,,40.24053,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,['d5c87439-05a8-4cfa-92f9-e4d23b1a2381'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:02:28.412,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.91985,,,,,,,,,,,4bb7d7e0-4cee-4795-bcd3-eb6de02f9cfb,106,,,"[32.0, 44.2]",3825645,2,,,,,-2.1641464,,Right Foot,,,"[26.2, 35.6]",,Ground Pass,,10.373042,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,"['4fe56d85-f4e0-4583-896c-a4eda0df7dec', 'cc309fda-1e2e-4752-99cd-318e48bd6459']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:02:34.774,Pass,True,2015/2016
,,,,,,,,,,,,,,,,1.912741,,,,,,,,,,,5953e089-25e5-4ba6-88de-a34bff642b7d,109,,,"[41.8, 37.5]",3825645,2,,,,,1.4270576,,Left Foot,,,"[45.1, 60.3]",,Ground Pass,,23.037579,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,['f03180d1-2ace-4395-b873-bbc911804098'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:02:44.236,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.139852,,,,,,,,,,,2eca92f0-b89b-4e08-bea5-116f6ac1b9da,112,,,"[50.0, 62.7]",3825645,2,,,,,-2.1341126,,Right Foot,,,"[42.8, 51.3]",,Ground Pass,,13.483323,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['d9ff81df-7909-4e5c-b009-92532530c5e8'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:02:48.883,Pass,,2015/2016
