50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.491572,,,,,,,,,,,,,,2a2880b9-c214-4243-ac0e-93be3ac9a5b6,18,,"[70.5, 70.5]",303504,0,,,,2.6694708,,Right Foot,,,,"[65.8, 72.9]",,Low Pass,,5.27731,,Incomplete,José Ángel Gómez Campaña,6688.0,,,,,,,1,From Kick Off,Borja Mayoral Moya,21147.0,Left Center Forward,2,Levante UD,221,"['009509ae-9eb3-4c3c-be8c-ed1e3e657ec1', '4e27ce11-5f3d-442e-9831-b4168e984577', '802a883b-29cc-49f0-ad12-259b32005d1f']",10,,,,,,,,,,,,,,,,,Levante UD,221,00:00:10.009,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.445616,,,,,,,,,,,,,,88fa1841-71fc-4ca9-9592-c396879f06cd,21,,"[66.2, 80.0]",303504,0,,,,-1.2425382,,,,,,"[70.9, 66.2]",,Low Pass,,14.578408,,,Enis Bardhi,6782.0,,,,,,Throw-in,1,From Throw In,Jorge Miramón Santagertrudis,11676.0,Right Back,3,Levante UD,221,['db617635-2bcf-4eca-8800-ccd5c4a79d40'],25,,,,,,,,,,,,,,,,,Levante UD,221,00:00:25.887,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.057742,,,,,,,,,,,,,,bdfa983d-8e24-47b5-a25d-ba0e9ea2dd6e,25,,"[70.9, 64.7]",303504,0,,,,1.4555202,,Right Foot,,,,"[72.0, 74.2]",,Ground Pass,,9.563472,,,Jorge Miramón Santagertrudis,11676.0,,,,,,,1,From Throw In,Enis Bardhi,6782.0,Left Midfield,3,Levante UD,221,"['5103ccb0-bab7-4c56-95bf-a7cc308e7ca7', 'dcfe14e5-5190-4b82-b1a1-2c18d44bf0a7']",27,,,,,,,,,,,,,,,,,Levante UD,221,00:00:27.858,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,0.75551,,,,,,,,,,,,,,3b2388f2-393f-404a-9447-0320e7f24038,27,,"[72.0, 74.2]",303504,0,,,,-0.6533047,,Right Foot,,,,"[80.1, 68.0]",,Ground Pass,,10.20049,,,Borja Mayoral Moya,21147.0,,,,,,,1,From Throw In,Jorge Miramón Santagertrudis,11676.0,Right Back,3,Levante UD,221,['125ea3a1-b70e-4e38-afdd-dcb831ff30f8'],28,,,,,,,,,,,,,,,,,Levante UD,221,00:00:28.916,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.881468,,,,,,,,,,,,,,8003731c-9a36-479e-a4cd-bfde15a73f23,31,,"[79.3, 68.4]",303504,0,,,,0.13394493,,Right Foot,,,,"[93.4, 70.3]",,High Pass,,14.227438,,Incomplete,José Ángel Gómez Campaña,6688.0,,,,,,,1,From Throw In,Borja Mayoral Moya,21147.0,Left Center Forward,3,Levante UD,221,"['3bd85f4c-bde6-4a44-b17b-25b86f55e923', 'd02215bf-34b0-4039-895a-7af24c901bde', 'f5421875-2033-49a0-bce0-5e16bc687e40']",30,,,,,,,,,,,,,,,,,Levante UD,221,00:00:30.430,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.070452,,,,,,,,,,,,,,25262491-06c8-4da0-9f2a-ddbea43d21f0,34,,"[88.7, 80.0]",303504,0,,,,-1.8139502,,,,,,"[85.5, 67.1]",,High Pass,,13.290975,,,Enis Bardhi,6782.0,,,,,,Throw-in,1,From Throw In,Jorge Miramón Santagertrudis,11676.0,Right Back,4,Levante UD,221,['88430a33-cfaf-4fd9-a01f-d15a544af082'],42,,,,,,,,,,,,,,,,,Levante UD,221,00:00:42.556,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.639552,,,,,,,,,,,,,,088cc4ec-7846-49c5-a9ac-517e88efb80f,36,,"[85.5, 67.1]",303504,0,,,,0.7514489,,Right Foot,,,,"[99.2, 79.9]",,Low Pass,,18.749134,,Out,José Ángel Gómez Campaña,6688.0,,,,,,,1,From Throw In,Enis Bardhi,6782.0,Left Midfield,4,Levante UD,221,['170ec062-eebf-4f17-88c8-3d7ab4efa010'],43,,,,,,,,,,,,,,,,,Levante UD,221,00:00:43.626,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.599164,,,,,,,,,,,,,,997010d9-cfa7-490a-974f-fb1d10349701,38,,"[22.0, 0.1]",303504,0,True,,,0.38531983,,,,,,"[36.3, 5.9]",,High Pass,,15.431461,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Nélson Cabral Semedo,6374.0,Left Back,5,Barcelona,217,['158f1079-685d-4fda-be85-ef189ca48da5'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.090,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.419012,,,,,,,,,,,,,,158f1079-685d-4fda-be85-ef189ca48da5,39,,"[83.8, 74.2]",303504,0,True,,,3.1415927,,Head,,,,"[82.9, 74.2]",,High Pass,,0.9,,Incomplete,,,,,,,,Recovery,1,From Throw In,Nemanja Radoja,6796.0,Right Defensive Midfield,5,Barcelona,217,"['997010d9-cfa7-490a-974f-fb1d10349701', 'c5038064-e030-48e5-8236-a9e9b861bb84']",59,,,,,,,,,,,,,,,,,Levante UD,221,00:00:59.690,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.172322,,,,,,,,,,,,,,e2d70f47-638f-449b-b0a3-4c76cf9127e3,41,,"[91.7, 80.0]",303504,1,,,,-0.9738853,,,,,,"[98.7, 69.7]",,Low Pass,,12.453513,,,Borja Mayoral Moya,21147.0,,,,,,Throw-in,1,From Throw In,Jorge Miramón Santagertrudis,11676.0,Right Back,6,Levante UD,221,['0ba2bfce-9d27-4901-acca-93cff133bf24'],7,,,,,,,,,,,,,,,,,Levante UD,221,00:01:07.727,Pass,,2019/2020
