ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.735873,,,,,,,,,,,,,e8ac4c35-2faf-4ccf-b0fd-ab7aece7f622,18,,"[26.5, 22.6]",69306,0,,,,,-0.16344123,,Left Foot,,,,"[55.0, 17.9]",,High Pass,,28.884945,,,,Miguel Ángel García Pérez Roldán,26432.0,,,,,,,1,From Kick Off,Santiago Wilmer Acasiete Ariadela,26434.0,Left Center Back,2,Almería,403,['9301254b-5bce-4c41-8258-62a8c353dfea'],10,,,,,,,,,,,,,,,,,,Almería,403,00:00:10.177,Pass,,2010/2011
,,,,,,,,,,,,,,1.3969,,,,,,,,,,,,,097d762b-9809-4544-84fe-d60b1adc8653,21,,"[55.0, 17.9]",69306,0,,,,True,-1.4722791,,,,,,"[56.7, 0.7]",,High Pass,,17.283808,,,,Juan Manuel Ortiz Palazón,26440.0,,,,,,,1,From Kick Off,Miguel Ángel García Pérez Roldán,26432.0,Center Attacking Midfield,2,Almería,403,"['aa9216fd-7dfb-4f41-a83a-59ddfb75e0cb', 'd76a8002-3443-497c-ad38-89e1cc869962']",11,,,,,,,,,,,,,,,,,,Almería,403,00:00:11.913,Pass,True,2010/2011
,,,,,,,,,,,,,,1.8097,,,,,,,,,,,,,29700000-d264-4862-a500-bd407d5094ba,23,,"[56.7, 1.3]",69306,0,,,,,0.09358861,,Left Foot,,,,"[84.4, 3.9]",,High Pass,,27.821754,,Incomplete,,Pablo Daniel Piatti,6763.0,,,,,,,1,From Kick Off,Juan Manuel Ortiz Palazón,26440.0,Left Back,2,Almería,403,"['370c6318-b35d-4214-91a1-0c051404e32b', 'a716f1e1-ad5f-43a0-9d7d-8ce53ac73a6a']",13,,,,,,,,,,,,,,,,,,Almería,403,00:00:13.310,Pass,,2010/2011
,,,,,,,,,,,,,,1.53559,,,,,,,,,,,,,370c6318-b35d-4214-91a1-0c051404e32b,25,,"[35.7, 76.2]",69306,0,,,,,0.13255154,,Other,,,,"[41.7, 77.0]",,Low Pass,,6.053098,,,,Daniel Alves da Silva,4324.0,,,,,,Recovery,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,"['29700000-d264-4862-a500-bd407d5094ba', '8033eb27-65d5-44d3-9d31-c0ccbfeebddc']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.120,Pass,,2010/2011
,,,,,,,,,,,,,,2.4944,,,,,,,,,,,,,d66caaed-f6e8-4e47-abad-167c334d6f9e,29,,"[32.6, 77.0]",69306,0,,,,,-3.0177484,,Right Foot,,,,"[8.5, 74.0]",,Low Pass,,24.286005,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['e8a02351-060a-4e7f-ba6e-02d27ac5908d'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.656,Pass,,2010/2011
,,,,,,,,,,,,,,1.6633,,,,,,,,,,,,,9d1563ae-eff3-45ae-8d23-74d730e7113b,31,,"[8.5, 74.0]",69306,0,,,,,-1.7126933,,Left Foot,,,,"[5.6, 53.7]",,Ground Pass,,20.506096,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['8696ce5d-e9de-4d9b-9efa-9ac5c8604934'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.150,Pass,,2010/2011
,,,,,,,,,,,,,,2.3232,,,,,,,,,,,,,bb7d0dae-bd02-44c8-9753-a2bab947cbaf,34,,"[5.3, 54.6]",69306,0,,,,,0.123415366,,Right Foot,,,,"[57.7, 61.1]",,High Pass,,52.80161,,Incomplete,,,,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['a49a6f13-77a8-4b8f-a9d1-e3009b9fe019'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.813,Pass,,2010/2011
,,,,,,,,,,,,,,4.2389,,,,,,,,,,,,,a49a6f13-77a8-4b8f-a9d1-e3009b9fe019,35,,"[62.4, 19.0]",69306,0,,,,,1.0200388,,Left Foot,,,,"[81.5, 50.1]",,High Pass,,36.49685,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Santiago Wilmer Acasiete Ariadela,26434.0,Left Center Back,3,Barcelona,217,"['0824cd72-7160-4f77-8faa-9a035976eae1', 'bb7d0dae-bd02-44c8-9753-a2bab947cbaf']",25,,,,,,,,,,,,,,,,,,Almería,403,00:00:25.137,Pass,,2010/2011
,,,,,,,,,,,,,,0.4537,,,,,,,,,,,,,0824cd72-7160-4f77-8faa-9a035976eae1,36,,"[38.6, 30.0]",69306,0,,,,,0.66404617,,Head,,,,"[40.9, 31.8]",,High Pass,,2.9206164,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,Recovery,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Barcelona,217,"['538e714e-268a-4f17-914b-713fb5a5c268', '992247b0-fcb4-4db6-be2c-1164393cab58', 'a49a6f13-77a8-4b8f-a9d1-e3009b9fe019']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.376,Pass,,2010/2011
,,,,,,,,,,,,,,0.7896,,,,,,,,,,,,,5165bf85-6bb4-435e-a656-9fa99da39a6a,39,,"[84.7, 46.3]",69306,0,,,,,0.103403464,,Right Foot,,,,"[95.3, 47.4]",,Ground Pass,,10.656922,,Incomplete,,Henok Goitom,26647.0,,,,,,Recovery,1,Regular Play,Miguel Ángel García Pérez Roldán,26432.0,Center Attacking Midfield,3,Barcelona,217,"['65763f6e-8ede-457a-8a1e-2366406b2a4f', 'df0922af-5791-40c2-bf82-5be01c396d57']",31,,,,,,,,,,,,,,,,,,Almería,403,00:00:31.584,Pass,,2010/2011
