50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.23665,,,,,,,,,,,,,,6f7b2718-1d71-4565-ac46-7bfc487b93d4,2363,,"[41.9, 41.4]",265839,52,,,,,0.6902797,,Right Foot,,,,"[57.4, 54.2]",,Ground Pass,,20.10199,,,,,Michael Krohn-Dehli,6356.0,,,,,,2,Regular Play,Sebastián Carlos Cristóforo Pepe,7154.0,Right Center Midfield,94,Sevilla,213,['eb715ae5-edc0-47bd-96e2-cf55cc040c61'],23,,,,,,,,,,,,,,,,,Sevilla,213,00:07:23.117,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.08976,,,,,,,,,,,,,,31d4af16-aaa6-4a3b-a018-aa76dd02104a,2366,,"[63.5, 54.7]",265839,52,,,,,0.95895886,,Right Foot,,,,"[76.2, 72.8]",,Ground Pass,,22.111084,,,,,Jorge Andújar Moreno,6672.0,,,,,,2,Regular Play,Michael Krohn-Dehli,6356.0,Left Wing,94,Sevilla,213,['e8217668-9c94-4ed2-a539-15c8fb21c996'],25,,,,,,,,,,,,,,,,,Sevilla,213,00:07:25.066,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,3.1891,,,,,,,,,,,,,,447a9c9b-70bc-4a5a-89b8-5c42cd83be17,2369,,"[83.8, 72.5]",265839,52,,,,,-1.0560123,,Right Foot,,,,"[106.2, 32.9]",,High Pass,,45.496372,,,Incomplete,,Kevin Gameiro,6401.0,,,,,,2,Regular Play,Jorge Andújar Moreno,6672.0,Right Back,94,Sevilla,213,"['7a996643-6463-49bd-89e2-24b898d3203f', 'd5ff35fd-fd7e-4ad7-9f3e-f481f1a30504']",27,,,,,,,,,,,,,,,,,Sevilla,213,00:07:27.324,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.94841,,,,,,,,,,,,,,87c4359d-c092-4bd2-91ae-274720332fe8,2372,,"[14.6, 47.2]",265839,52,,True,,,0.5910329,,Keeper Arm,,,,"[22.2, 52.3]",,Ground Pass,,9.1525955,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,95,Barcelona,217,['45786934-f5be-453c-8f93-39f91516de28'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:07:32.673,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.111073,,,,,,,,,,,,,,8f0be04f-d820-4300-8aef-e8c5937d404e,2374,,"[22.2, 52.3]",265839,52,,,,,1.0352011,,Right Foot,,,,"[34.9, 73.7]",,Ground Pass,,24.884735,,,,,Aleix Vidal Parreu,6400.0,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,95,Barcelona,217,['2c7dfd7b-b0c8-4103-9eb2-88d33a27af74'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:07:34.950,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.577977,,,,,,,,,,,,,,81881a56-8e8d-4089-967c-8be451c3770e,2377,,"[57.3, 76.6]",265839,52,,,,,-2.5261798,,Right Foot,,,,"[41.6, 65.5]",,Ground Pass,,19.227585,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Aleix Vidal Parreu,6400.0,Right Back,95,Barcelona,217,['d2220e34-22eb-48d3-bbab-70361b6a4204'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:07:41.302,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.034371,,,,,,,,,,,,,,3448d705-d20d-4d86-acf0-5c67a8a116aa,2380,,"[41.6, 65.5]",265839,52,,,,,-0.8814869,,Right Foot,,,,"[49.1, 56.4]",,Ground Pass,,11.792371,,,,,Arda Turan,11094.0,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,95,Barcelona,217,['77ac3eea-0b0e-4c22-96f2-ed3a9ee01534'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:07:43.805,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.58218,,,,,,,,,,,,,,cf965742-62f3-42f8-9ea1-76c991ece195,2383,,"[56.2, 52.5]",265839,52,,,,,-0.9758008,,Right Foot,,,,"[85.1, 9.8]",,High Pass,,51.560642,,,,,Neymar da Silva Santos Junior,4320.0,,True,,,,2,Regular Play,Arda Turan,11094.0,Left Center Midfield,95,Barcelona,217,['3dd60212-c158-4f27-895e-708711543606'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:07:46.841,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.684199,,,,,,,,,,,,,,35f07913-71e6-441a-b5f8-c8d6030aa3a4,2386,,"[85.1, 9.8]",265839,52,,,,,2.6727638,,Left Foot,,,,"[77.4, 13.7]",,Ground Pass,,8.631338,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,2,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,95,Barcelona,217,['96e0bf5a-fd12-4b21-9505-56b2b8fef170'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:07:49.463,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.534453,,,,,,,,,,,,,,5f2e558e-dcb6-4b0a-9238-f5f01255f7ff,2389,,"[77.4, 13.7]",265839,52,,,,,2.9611447,,Right Foot,,,,"[62.6, 16.4]",,Ground Pass,,15.044268,,,,,Jordi Alba Ramos,5211.0,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,95,Barcelona,217,['766fb33a-29d4-44f5-80ca-4c98d3701849'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:07:51.227,Pass,,2015/2016
