bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.2929,,,,,,,,,,,,,,d1b38b61-3c17-4fa3-b5bf-a98a8f1cc90f,14,,"[31.7, 12.9]",266871,0,,,,,0.25636768,,Head,,,,"[42.0, 15.6]",,High Pass,10.648005,,,,Xavier Hernández Creus,20131.0,,,,,Recovery,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['594a18f0-461b-4687-921a-e8fd7553ad32', 'd4df2a54-79c9-413f-bd21-e3dd5bb4243b']",8,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.125,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.4982,,,,,,,,,,,,,,f4dcb6c4-f93a-46e8-ab33-6bb7cc43dc74,19,,"[42.7, 16.1]",266871,0,,,,,2.4704487,,Right Foot,,,,"[35.9, 21.5]",,Ground Pass,8.683317,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,"['1d46b0e8-e8d2-46af-9be4-1c18069d4358', '31d26f25-925e-4a2a-a2b5-7df72997ee64', '98ee96da-0643-4e29-a4a6-0f15aadbc7bb']",9,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.949,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,1.1492,,,,,,,,,,,,,,d9610f2b-37f3-47ee-9c0e-28bed3b8dfdc,21,,"[35.9, 21.5]",266871,0,,,,,1.7278261,,Right Foot,,,,"[34.0, 33.5]",,Ground Pass,12.149486,,Incomplete,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['c3da32e6-5206-4fa2-a1f1-34771a699b3c', 'ddd06e7e-46d2-47db-b169-cebf381ba429']",10,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.447,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.6797,,,,,,,,,,,,,,5f6062f8-1ca8-4a16-82ed-216be9ebc3b2,26,,"[93.0, 53.7]",266871,0,,,,,0.7193465,,Right Foot,,,,"[106.7, 65.7]",,Ground Pass,18.212358,,Incomplete,,Aritz Aduriz Zubeldia,6394.0,,,,,,1,Regular Play,Iker Muniain Goñi,6842.0,Left Wing,3,Barcelona,217,"['0e033026-68d9-4cbd-be6d-a1b187e566ee', '3bc0048e-7214-4bfa-91c2-e1f36595fde4']",12,,,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:12.820,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.4416,,,,,,,,,,,,,,e1c090e3-ad2f-4bc4-a5f6-428653d6d568,30,,"[4.0, 0.1]",266871,0,,,,,0.9487643,,,,,,"[7.8, 5.4]",,Low Pass,6.521503,,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['1321a69f-c418-4f1c-a119-e83687ffad20'],25,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.612,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,1.0834,,,,,,,,,,,,,,76c8de0d-3ab6-43f8-9766-f4129484fec0,33,,"[8.6, 5.4]",266871,0,,,,,3.0466409,,Right Foot,,,,"[2.3, 6.0]",,Ground Pass,6.328507,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['fa1da90b-e88a-4c9d-a937-7dc658a7ae0f'],26,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.150,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.1045,,,,,,,,,,,,,,ee71b85c-d558-43ef-be60-ebaae9b04d5a,37,,"[2.3, 5.6]",266871,0,,,,,-0.3470616,,Left Foot,,,,"[16.4, 0.5]",,High Pass,14.993999,,Out,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,,27,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.273,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.9285,,,,,,,,,,,,,,d570f3a6-8dcd-4cdc-adae-9803cad78a6c,39,,"[9.2, 0.1]",266871,1,,,,,0.3529904,,,,,,"[20.6, 4.3]",,Low Pass,12.149074,,,,Neymar da Silva Santos Junior,4320.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['3cb4f390-b274-4a9a-b35b-4a16812a85f5'],2,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.907,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,0.732601,,,,,,,,,,,,,,6a6ec70c-8cb3-493c-9f2b-261c941ff64f,43,,"[20.6, 4.3]",266871,1,,,,,3.1415927,,Right Foot,,,,"[12.8, 4.3]",,Ground Pass,7.8,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,5,Barcelona,217,"['0adcd524-a29a-42c1-9dcc-1dad1162a52e', '4ff6e066-91d3-4d8f-8977-5ecf002f1951']",3,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.875,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,1.1672,,,,,,,,,,,,,,eafa519f-4027-46bf-af99-8b91255b09d2,45,,"[12.8, 4.3]",266871,1,,,,,1.0631357,,Left Foot,,,,"[21.2, 19.4]",,Ground Pass,17.279179,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['9e65d6ac-223a-48fd-9aef-3a9b25c623d6'],4,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.608,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,,3.6677,,,,,,,,,,,,,,135f7486-69aa-4b2b-80d8-a3e1fb72559e,49,,"[24.0, 20.5]",266871,1,,,,,1.286025,,Left Foot,,,,"[40.1, 75.5]",,High Pass,57.30803,,,,Lionel Andrés Messi Cuccittini,5503.0,,True,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,"['b9d19ed5-8d70-49ca-9528-5f576ff28b55', 'f374ebf9-6fc0-42a1-945b-a5d9e6cfc6a9']",6,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.751,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,,,0.7149,,,,,,,,,,,,,,b6e4ec74-9408-499c-83ea-1b897440f4c1,53,,"[40.6, 66.1]",266871,1,,,,,-1.6174914,,Left Foot,,,,"[40.1, 55.4]",,Ground Pass,10.711676,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,"['4c2f5eb9-b3e8-40b1-bce4-dcc14e026ed1', 'ce3cdd68-fc70-4b5f-8b64-654cc7ef8021']",12,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.936,Pass,True,2014/2015
