ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8ad9c763-801a-4a4e-a7f2-b4ea604904fa,1,,,70277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f55f783b-dc02-4815-9bfc-b8af2843cdd6,2,,,70277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 24860, 'name': 'Héctor Rodas Ramírez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 27124, 'name': 'Sérgio da Silva Pinto'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27123, 'name': 'Jordi Xumetra Feliu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 26248, 'name': 'David Barral Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Levante UD,221,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a71ffb44-592f-4ee0-b490-422740c5459c,3,,,70277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a853677f-b9cb-4cca-8ed1-c2da2f32425d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a853677f-b9cb-4cca-8ed1-c2da2f32425d,4,,,70277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a71ffb44-592f-4ee0-b490-422740c5459c'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a6b29b1e-46b2-4ccf-8db8-17b746346ee8,1791,,,70277,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['a95af240-5313-439f-93b0-ba37b7437bdf'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a95af240-5313-439f-93b0-ba37b7437bdf,1792,,,70277,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['a6b29b1e-46b2-4ccf-8db8-17b746346ee8'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,0.2752,,,,,,,,,,,,,,,,57873d44-6f7a-4679-90f2-5500573a2421,5,,"[61.0, 41.0]",70277,0,,,,,-2.5127964,,Right Foot,,,,"[58.8, 39.4]",,Ground Pass,,2.720294,,,,David Barral Torres,26248.0,,,,,,Kick Off,1,From Kick Off,Nabil El Zhar,6608.0,Center Attacking Midfield,2,Levante UD,221,['d4e7164d-f492-4445-b22f-f5376c27fa73'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.661,Pass,,2013/2014
,,,,,,,,,,,,,,,1.522189,,,,,,,,,,,,,,,,e1d123a5-e526-4675-be35-4d07307f40cf,8,,"[59.2, 39.4]",70277,0,,,,,-3.0233963,,Right Foot,,,,"[43.2, 37.5]",,Ground Pass,,16.112417,,,,Sérgio da Silva Pinto,27124.0,,,,,,,1,From Kick Off,David Barral Torres,26248.0,Center Forward,2,Levante UD,221,['412d55cd-7bf3-4ea0-b958-eda792806524'],1,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.132,Pass,,2013/2014
,,,,,,,,,,,,,,,1.851494,,,,,,,,,,,,,,,,54c1be7a-d9a2-41b7-bcc5-e29638de7924,11,,"[43.2, 37.5]",70277,0,,,,,2.202487,,Right Foot,,,,"[31.2, 53.9]",,Ground Pass,,20.321417,,,,Héctor Rodas Ramírez,24860.0,,,,,,,1,From Kick Off,Sérgio da Silva Pinto,27124.0,Left Defensive Midfield,2,Levante UD,221,['db8e149a-790f-468b-ab52-2b42f144a539'],2,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:02.734,Pass,,2013/2014
,,,,,,,,,,,,,,,2.5701,,,,,,,,,,,,,,,,44b3215b-8a4b-4424-84f4-2271a7e16486,14,,"[31.2, 54.5]",70277,0,,,,,0.15009142,,Right Foot,,,,"[84.1, 62.5]",,High Pass,,53.501495,,Incomplete,,Nabil El Zhar,6608.0,,,,,,,1,From Kick Off,Héctor Rodas Ramírez,24860.0,Right Center Back,2,Levante UD,221,"['588f021d-c5bc-439c-af3f-513c56d827b5', '7e94579f-ad1d-4709-a4b5-69c02bfe5071']",5,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:05.791,Pass,,2013/2014
