bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,5.078395,,,,,,,,,,,,,,8662ec48-3d66-4066-ae4d-2118cd3b70e2,3809,,,"[26.1, 40.3]",3773695,92,,,,,0.40613055,,Right Foot,,,,"[104.0, 73.8]",,High Pass,,84.79776,,,,Maximiliano Gómez González,6297.0,,,,,Free Kick,2,From Free Kick,Jasper Cillessen,8652.0,Goalkeeper,159,Valencia,207,['fe94ec27-d7fb-45e6-b8a0-5919a9eec2f2'],58,,,,,,,,,,,,,,,,,Valencia,207,00:47:58.485,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.996168,,,,,,,,,,,,,,c39f1783-ba66-4d89-a34c-1bf7c68eee88,3813,,,"[117.0, 76.5]",3773695,93,,,,,2.976444,,Right Foot,,,,"[100.8, 79.2]",,Ground Pass,,16.423458,,,Out,Daniel Wass,6797.0,,,,,,2,From Free Kick,Maximiliano Gómez González,6297.0,Left Center Forward,159,Valencia,207,"['6c7fcf01-b90f-4edd-ae44-fb5b761c8ca8', 'eb3b0c77-ee13-4a6b-afb1-0f18e09dab26']",8,,,,,,,,,,,,,,,,,Valencia,207,00:48:08.158,Pass,True,2020/2021
,,,,,,,,,,,,,,,,5.18816,,,,,,,,,,,,,,b79c7b35-3d59-465b-9cb9-f2af6c5a936c,3815,,,"[21.0, 0.1]",3773695,93,,,,,0.10154526,,,,,,"[63.2, 4.4]",,High Pass,,42.41851,,,Incomplete,Moriba Kourouma Kourouma,39073.0,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Wing Back,160,Barcelona,217,"['3adce523-d1ef-4251-b014-b470116bdcdd', '4f24b3bb-d25f-4773-8d8c-69c8938ddca2']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:48:36.007,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.873413,,,,,,,,,,,,,,4f24b3bb-d25f-4773-8d8c-69c8938ddca2,3817,,,"[56.9, 75.7]",3773695,93,,,,,-2.2742357,,Right Foot,,,,"[31.2, 45.4]",,Ground Pass,,39.731346,,,,Jasper Cillessen,8652.0,,,,,Recovery,2,From Throw In,Gabriel Armando de Abreu,6746.0,Right Center Back,160,Barcelona,217,"['32ffc493-9671-48ad-851b-551f9b8cbb86', 'b79c7b35-3d59-465b-9cb9-f2af6c5a936c']",41,,,,,,,,,,,,,,,,,Valencia,207,00:48:41.195,Pass,,2020/2021
,,,,,,,,,,,,,,,,3.260777,,,,,,,,,,,,,,9e19f0f6-35bc-409f-8cf4-1bb89f97cb19,3820,,,"[48.7, 47.3]",3773695,93,,,,,-0.25871894,,Right Foot,,,,"[101.6, 33.3]",,High Pass,,54.721203,,,Incomplete,,,,,,,,2,From Throw In,Jasper Cillessen,8652.0,Goalkeeper,160,Barcelona,217,['4bb0d451-f9b5-44ad-928f-08ef9116d6ad'],48,,,,,,,,,,,,,,,,,Valencia,207,00:48:48.621,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.768043,,,,,,,,,,,,,,42c1025b-18ea-47a2-8ab0-8670dbbdcc5f,3823,,,"[85.3, 19.9]",3773695,93,,,,,0.6116575,,Head,,,,"[99.7, 30.0]",,High Pass,,17.588917,,,Incomplete,,,,,,,Recovery,2,From Throw In,Carlos Soler Barragán,6583.0,Right Midfield,160,Barcelona,217,['6064e5b5-3553-435e-93ce-b6e3cde88066'],53,,,,,,,,,,,,,,,,,Valencia,207,00:48:53.577,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.841341,,,,,,,,,,,,,,6064e5b5-3553-435e-93ce-b6e3cde88066,3824,,,"[20.4, 50.1]",3773695,93,,,,,0.9928944,,Head,,,,"[29.4, 63.9]",,High Pass,,16.475437,,,,Frenkie de Jong,8118.0,,,,,Recovery,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,160,Barcelona,217,"['1b55f414-7f68-491b-ad96-09c2e49a40e2', '42c1025b-18ea-47a2-8ab0-8670dbbdcc5f']",55,,,,,,,,,,,,,,,,,Barcelona,217,00:48:55.345,Pass,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,af8b5926-6a77-4b92-bf0b-e73fb4789d0a,6,,,"[48.8, 39.7]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['97183958-f5b8-4e2f-bef6-72397f7bd95f'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.752,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60fa16b4-5ce3-4842-9f67-c352eafb4529,9,,,"[56.0, 4.5]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['7210613f-282b-4232-80ce-85e19afab4f3'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.688,Ball Receipt*,,2020/2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1b1a1810-a783-4ba9-a0be-880bfec40f4e,12,,,"[42.5, 39.7]",3773695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['78d07824-e8b3-4b76-8612-dd62ca127a73'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.624,Ball Receipt*,,2020/2021
