bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[76.8, 29.6]",,,,,,,,,,,,0.04,,,,,,,,,,,,,9bf303e0-a18b-4bc4-8fc7-1a9ac6b117cf,542,,"[76.8, 29.6]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,David Villa Sánchez,12737.0,Left Wing,45,Barcelona,217,"['1dc56f99-d84b-4cbe-8490-3abcc3ea49bd', '3f7a9c48-b3a9-4397-8084-0b9ba583bd2b']",23,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:23.371,Carry,,2010/2011
,,,,,"[48.2, 13.3]",,,,,,,,,,,,5.235,,,,,,,,,,,,,bc380ed5-8c8b-4eaa-897a-c3bee8d25514,547,,"[66.0, 20.0]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,45,Barcelona,217,"['281d5791-a8f5-4b67-867d-8c86bd0429eb', '7dcc8d13-c527-4b7d-953e-579f679e2da1', 'c526e7b1-9ed2-483e-a2cb-ba9c645e0b4d']",25,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:25.440,Carry,True,2010/2011
,,,,,"[14.6, 37.0]",,,,,,,,,,,,0.98,,,,,,,,,,,,,bd4f0c4e-c354-4a3e-9878-c1d6d2db2823,551,,"[10.3, 33.7]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Manuel Pinto Colorado,26005.0,Goalkeeper,45,Barcelona,217,"['c9a1ea5c-9376-4b6e-8d46-4000708e9060', 'eb283bec-889b-4608-b1b9-624a067b1fb8']",33,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:33.015,Carry,,2010/2011
,,,,,"[45.7, 53.2]",,,,,,,,,,,,2.9578,,,,,,,,,,,,,3f765039-27de-43f3-b67c-031ebdf07c20,554,,"[32.0, 56.9]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,45,Barcelona,217,"['4cddfa7c-89b7-4e0a-8411-501e82bcc0aa', 'b88d5d6f-4a04-457e-84bf-43b654eec6df']",35,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:35.989,Carry,,2010/2011
,,,,,"[55.3, 38.0]",,,,,,,,,,,,0.9214,,,,,,,,,,,,,9723fb62-e20c-44ef-91a0-e8e449879667,557,,"[54.7, 40.9]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,45,Barcelona,217,"['b0f4ae89-d0b2-450a-b629-6f7ebb23085f', 'bc00468a-a931-45ac-8617-02e2eb6aa47e', 'e36ab0a7-97eb-4033-a2f8-40afbc32bf96']",40,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:40.312,Carry,True,2010/2011
,,,,,"[62.5, 24.3]",,,,,,,,,,,,4.7361,,,,,,,,,,,,,bf304ead-2e2f-434b-8018-e471036bcc4e,561,,"[49.8, 23.5]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,45,Barcelona,217,"['6e15fb08-52da-4e9c-8039-6e3cbaa6b3b5', 'ebc9325a-2094-49f4-8d8a-8bbfc2ead1ea']",42,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:42.414,Carry,,2010/2011
,,,,,"[71.5, 11.2]",,,,,,,,,,,,2.0401,,,,,,,,,,,,,6bbba3b3-b572-487b-8584-587804faedef,564,,"[67.4, 18.6]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,45,Barcelona,217,"['90f691c9-f1ca-4aa8-a717-398fd27df211', 'c33708ef-7319-4164-be81-b36f2d4e244b', 'f458a1aa-5176-4d0f-a741-1dab0609200e']",48,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:48.238,Carry,True,2010/2011
,,,,,"[76.6, 4.7]",,,,,,,,,,,,0.4326,,,,,,,,,,,,,42d4aacf-109f-425f-a922-39bb9332c5a5,568,,"[76.6, 4.7]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,45,Barcelona,217,"['3596fb08-c003-42f9-91a2-e252fafa5422', 'b8244566-5813-49cf-a0ca-ab91d9b68563']",51,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:51.138,Carry,,2010/2011
,,,,,"[56.2, 9.6]",,,,,,,,,,,,1.385466,,,,,,,,,,,,,47ebfc36-d0dd-42a0-8196-2a265e99bcf4,571,,"[56.2, 9.6]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,45,Barcelona,217,"['66317401-0c1c-4800-a961-48d607d9fe02', '81ee81da-5f41-4e0f-b10f-73ae2a8502b6']",52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:52.974,Carry,,2010/2011
,,,,,"[56.4, 43.9]",,,,,,,,,,,,3.125888,,,,,,,,,,,,,7465d03b-f87b-452e-8ed7-376a8d098de2,574,,"[42.0, 38.9]",69283,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,45,Barcelona,217,"['6669afef-d424-4e6d-a57d-191eab0bfabe', '8984c0cb-a490-49a7-a2e5-25784752b551']",56,,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:56.730,Carry,,2010/2011
