ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,a16865e3-027d-4bdb-836e-e32d5a707252,6,,,"[60.7, 37.8]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Mohamed Gasana Tchité,26490.0,Right Center Forward,2,Racing Santander,1217,['7894f618-5b02-4dea-8406-ab182b5f692d'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.874,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,df1179b8-f15c-4895-84e5-00fbbf302faa,8,,,"[34.8, 46.3]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Oriol Lozano Farrán,26067.0,Right Center Back,2,Racing Santander,1217,['5b0c0b85-5db3-4cc5-aa63-8d2ef861d6df'],3,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:03.168,Ball Receipt*,,2007/2008
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,68f2826b-2585-4fd8-b6b7-da96befe8b42,11,,,"[77.8, 16.7]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Óscar Serrano Rodriguez,26137.0,Left Midfield,2,Racing Santander,1217,['1f0264a8-a50d-4e20-b029-5a4f48f17dcf'],8,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:08.343,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,2ed2e1a1-191f-459f-a636-0db6e1372da0,13,,,"[54.0, 65.8]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giovani dos Santos Ramírez,5987.0,Right Wing,3,Barcelona,217,['72d3b26f-e1c3-4889-b5d6-cd99a2b5baa4'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.443,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,fc01ed44-14ec-4588-b5a4-8761a4d16086,17,,,"[35.3, 69.9]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,3,Barcelona,217,['d79a1ea5-02e5-44ba-b08b-942b142d9460'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.660,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,8c6cda42-2b34-4cc5-946f-ba1920c0e3de,21,,,"[53.5, 66.9]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giovani dos Santos Ramírez,5987.0,Right Wing,3,Barcelona,217,['ac977341-fa48-40ad-934e-c742e30ca494'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.720,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,9c7d2539-73a4-4bbd-b662-9ddd2f815ae5,25,,,"[40.2, 56.1]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Center Defensive Midfield,3,Barcelona,217,['044f0fff-d7cc-4e3c-91f0-1694772a30d8'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.736,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,540c60f0-c94c-420f-9c2a-8caf729895ec,28,,,"[34.0, 29.0]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['32f82efc-bea2-4cd7-9777-59686e1886f4'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.864,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,f3e065c2-ee9a-4c03-b2b1-d2a6b8614887,31,,,"[48.7, 18.1]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Right Center Midfield,3,Barcelona,217,['fbe3fcdb-01fa-478d-98dc-7b0ab6ae2b96'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.301,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,db3f8feb-fc91-4ad3-9a19-d61784c6c176,34,,,"[55.0, 1.6]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['8d2f9a69-4b6b-4a5f-9527-ebc6e36e1a09'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.610,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,cf76c463-e677-42af-a538-83a3b1dfa637,38,,,"[34.3, 22.2]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['3970bda2-a2df-44ec-9465-1c1bf67be69b'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.631,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,48b11895-51cc-495e-87ef-ddc45244a927,41,,,"[37.2, 40.8]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['25b0a3f8-bbc2-48c0-b56f-c822f0092526'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.660,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,8fc615ff-7206-46e6-ba63-d4e26b6bc909,44,,,"[46.6, 10.3]",69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['ddc62d6a-decf-48b4-b7c5-2da603d686a8'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.422,Ball Receipt*,,2007/2008
